comp_price_id,comp_cd,siz_cd,siz_width,siz_height,min_qty,unit_price
4045,COMP_POSTER_ARTPRINT_PHOTO,SIZ_000321,,,,21600.00
4084,COMP_POSTER_ARTPAPER_MATTE,SIZ_000320,,,,21600.00
4091,COMP_POSTER_ARTPAPER_MATTE,SIZ_000321,,,,21600.00
4136,COMP_POSTER_WATERPROOF_PET,SIZ_000321,,,,21600.00
4188,COMP_POSTER_ADH_WATERPROOF_PVC,SIZ_000321,,,,21600.00
4240,COMP_POSTER_ADH_CLEAR_PVC,SIZ_000321,,,,59400.00
4292,COMP_POSTER_ARTFABRIC_GRAPHIC,SIZ_000321,,,,21600.00
4344,COMP_POSTER_LINEN_FABRIC,SIZ_000321,,,,32400.00
4396,COMP_POSTER_CANVAS_FABRIC,SIZ_000321,,,,37800.00
4448,COMP_POSTER_LEATHER_ARTPRINT,SIZ_000321,,,,37800.00
4500,COMP_POSTER_TYVEK_PRINT,SIZ_000321,,,,37800.00
4552,COMP_POSTER_MESH_PRINT,SIZ_000321,,,,37800.00
4612,COMP_POSTER_BANNER_NORMAL,SIZ_000323,,,,8000.00
4620,COMP_POSTER_BANNER_NORMAL,SIZ_000403,,,,12000.00
4622,COMP_POSTER_BANNER_NORMAL,SIZ_000320,,,,8640.00
4702,COMP_POSTER_BANNER_MESH,SIZ_000323,,,,20000.00
4708,COMP_POSTER_BANNER_MESH,SIZ_000320,,,,21600.00
