sql_stmt_seq,conflict_or_where_key,source_csv_row
1,"(prd_cd, proc_cd)",06_t_prd_product_processes.csv:row2 PRD_000018/PROC_000029
2,"(prd_cd, proc_cd)",06_t_prd_product_processes.csv:row3 PRD_000018/PROC_000030
3,"(prd_cd, proc_cd)",06_t_prd_product_processes.csv:row4 PRD_000018/PROC_000031
4,"(prd_cd, proc_cd)",06_t_prd_product_processes.csv:row5 PRD_000018/PROC_000032
5,"(prd_cd, proc_cd)",06_t_prd_product_processes.csv:row6 PRD_000041/PROC_000029
6,"(prd_cd, proc_cd)",06_t_prd_product_processes.csv:row7 PRD_000041/PROC_000030
7,"(prd_cd, proc_cd)",06_t_prd_product_processes.csv:row8 PRD_000041/PROC_000031
8,"(prd_cd, proc_cd)",06_t_prd_product_processes.csv:row9 PRD_000041/PROC_000032
9,"(prd_cd, proc_cd)",06_t_prd_product_processes.csv:row10 PRD_000042/PROC_000029
10,"(prd_cd, proc_cd)",06_t_prd_product_processes.csv:row11 PRD_000042/PROC_000030
11,"(prd_cd, proc_cd)",06_t_prd_product_processes.csv:row12 PRD_000042/PROC_000031
12,"(prd_cd, proc_cd)",06_t_prd_product_processes.csv:row13 PRD_000042/PROC_000032
13,"(prd_cd, proc_cd)",06_t_prd_product_processes.csv:row14 PRD_000027/PROC_000031
14,"(prd_cd, proc_cd)",06_t_prd_product_processes.csv:row15 PRD_000027/PROC_000032
15,"(prd_cd, proc_cd)",06_t_prd_product_processes.csv:row16 PRD_000029/PROC_000031
16,"(prd_cd, proc_cd)",06_t_prd_product_processes.csv:row17 PRD_000029/PROC_000032
17,"(prd_cd, proc_cd)",06_t_prd_product_processes.csv:row18 PRD_000031/PROC_000031
18,"(prd_cd, proc_cd)",06_t_prd_product_processes.csv:row19 PRD_000031/PROC_000032
19,"(prd_cd, proc_cd)",06_t_prd_product_processes.csv:row20 PRD_000033/PROC_000031
20,"(prd_cd, proc_cd)",06_t_prd_product_processes.csv:row21 PRD_000033/PROC_000032
21,"(prd_cd, proc_cd)",06_t_prd_product_processes.csv:row22 PRD_000047/PROC_000031
22,"(prd_cd, proc_cd)",06_t_prd_product_processes.csv:row23 PRD_000047/PROC_000032
23,"(prd_cd, proc_cd)",06_t_prd_product_processes.csv:row24 PRD_000048/PROC_000031
24,"(prd_cd, proc_cd)",06_t_prd_product_processes.csv:row25 PRD_000048/PROC_000032
25,"(prd_cd, proc_cd)",06_t_prd_product_processes.csv:row26 PRD_000049/PROC_000031
26,"(prd_cd, proc_cd)",06_t_prd_product_processes.csv:row27 PRD_000049/PROC_000032
27,"(prd_cd, proc_cd)",06_t_prd_product_processes.csv:row28 PRD_000069/PROC_000051
28,"(prd_cd, proc_cd)",06_t_prd_product_processes.csv:row29 PRD_000069/PROC_000052
29,"(prd_cd, proc_cd)",06_t_prd_product_processes.csv:row30 PRD_000070/PROC_000051
30,"(prd_cd, proc_cd)",06_t_prd_product_processes.csv:row31 PRD_000070/PROC_000052
31,"(prd_cd, proc_cd)",06_t_prd_product_processes.csv:row32 PRD_000173/PROC_000023
32,"(prd_cd, proc_cd)",06_t_prd_product_processes.csv:row33 PRD_000174/PROC_000023
33,"(prd_cd, proc_cd)",06_t_prd_product_processes.csv:row34 PRD_000177/PROC_000021
34,"(prd_cd, proc_cd)",06_t_prd_product_processes.csv:row35 PRD_000178/PROC_000021
35,"(prd_cd, proc_cd)",06_t_prd_product_processes.csv:row36 PRD_000179/PROC_000022
36,"(prd_cd, proc_cd)",06_t_prd_product_processes.csv:row37 PRD_000181/PROC_000018
37,"(prd_cd, proc_cd)",06_t_prd_product_processes.csv:row38 PRD_000172/PROC_000015
38,"(prd_cd, proc_cd)",06_t_prd_product_processes.csv:row39 PRD_000173/PROC_000015
39,"(prd_cd, proc_cd)",06_t_prd_product_processes.csv:row40 PRD_000176/PROC_000015
40,"(prd_cd, proc_cd)",06_t_prd_product_processes.csv:row41 PRD_000177/PROC_000015
41,"(prd_cd, proc_cd)",06_t_prd_product_processes.csv:row42 PRD_000178/PROC_000015
42,"(prd_cd, proc_cd)",06_t_prd_product_processes.csv:row43 PRD_000179/PROC_000015
43,"(prd_cd, proc_cd)",06_t_prd_product_processes.csv:row44 PRD_000181/PROC_000015
44,"(prd_cd, proc_cd)",06_t_prd_product_processes.csv:row45 PRD_000053/PROC_000008
45,"(prd_cd, proc_cd)",06_t_prd_product_processes.csv:row46 PRD_000054/PROC_000008
46,"(prd_cd, proc_cd)",06_t_prd_product_processes.csv:row47 PRD_000056/PROC_000008
47,"(prd_cd, proc_cd)",06_t_prd_product_processes.csv:row48 PRD_000122/PROC_000008
48,"(prd_cd, proc_cd)",06_t_prd_product_processes.csv:row49 PRD_000146/PROC_000002
49,"(prd_cd, proc_cd)",06_t_prd_product_processes.csv:row50 PRD_000147/PROC_000002
50,"(prd_cd, proc_cd)",06_t_prd_product_processes.csv:row51 PRD_000147/PROC_000081
51,"(prd_cd, proc_cd)",06_t_prd_product_processes.csv:row52 PRD_000148/PROC_000002
52,"(prd_cd, proc_cd)",06_t_prd_product_processes.csv:row53 PRD_000149/PROC_000002
53,"(prd_cd, proc_cd)",06_t_prd_product_processes.csv:row54 PRD_000150/PROC_000002
54,"(prd_cd, proc_cd)",06_t_prd_product_processes.csv:row55 PRD_000151/PROC_000002
55,"(prd_cd, proc_cd)",06_t_prd_product_processes.csv:row56 PRD_000152/PROC_000002
56,"(prd_cd, proc_cd)",06_t_prd_product_processes.csv:row57 PRD_000155/PROC_000002
57,"(prd_cd, proc_cd)",06_t_prd_product_processes.csv:row58 PRD_000157/PROC_000002
58,"(prd_cd, proc_cd)",06_t_prd_product_processes.csv:row59 PRD_000158/PROC_000002
59,"(prd_cd, proc_cd)",06_t_prd_product_processes.csv:row60 PRD_000160/PROC_000002
60,"(prd_cd, proc_cd)",06_t_prd_product_processes.csv:row61 PRD_000161/PROC_000002
61,"(prd_cd, proc_cd)",06_t_prd_product_processes.csv:row62 PRD_000162/PROC_000002
62,"(prd_cd, proc_cd)",06_t_prd_product_processes.csv:row63 PRD_000163/PROC_000002
