sql_stmt_seq,conflict_or_where_key,source_csv_row
1,"(prd_cd, mat_cd, usage_cd)",05_t_prd_product_materials.csv:row2 PRD_000016/MAT_000074/USAGE.07
2,"(prd_cd, mat_cd, usage_cd)",05_t_prd_product_materials.csv:row3 PRD_000016/MAT_000082/USAGE.07
3,"(prd_cd, mat_cd, usage_cd)",05_t_prd_product_materials.csv:row4 PRD_000016/MAT_000092/USAGE.07
4,"(prd_cd, mat_cd, usage_cd)",05_t_prd_product_materials.csv:row5 PRD_000016/MAT_000101/USAGE.07
5,"(prd_cd, mat_cd, usage_cd)",05_t_prd_product_materials.csv:row6 PRD_000016/MAT_000109/USAGE.07
6,"(prd_cd, mat_cd, usage_cd)",05_t_prd_product_materials.csv:row7 PRD_000016/MAT_000113/USAGE.07
7,"(prd_cd, mat_cd, usage_cd)",05_t_prd_product_materials.csv:row8 PRD_000016/MAT_000114/USAGE.07
8,"(prd_cd, mat_cd, usage_cd)",05_t_prd_product_materials.csv:row9 PRD_000016/MAT_000115/USAGE.07
9,"(prd_cd, mat_cd, usage_cd)",05_t_prd_product_materials.csv:row10 PRD_000016/MAT_000116/USAGE.07
10,"(prd_cd, mat_cd, usage_cd)",05_t_prd_product_materials.csv:row11 PRD_000016/MAT_000117/USAGE.07
11,"(prd_cd, mat_cd, usage_cd)",05_t_prd_product_materials.csv:row12 PRD_000016/MAT_000118/USAGE.07
12,"(prd_cd, mat_cd, usage_cd)",05_t_prd_product_materials.csv:row13 PRD_000016/MAT_000120/USAGE.07
13,"(prd_cd, mat_cd, usage_cd)",05_t_prd_product_materials.csv:row14 PRD_000016/MAT_000121/USAGE.07
14,"(prd_cd, mat_cd, usage_cd)",05_t_prd_product_materials.csv:row15 PRD_000016/MAT_000123/USAGE.07
15,"(prd_cd, mat_cd, usage_cd)",05_t_prd_product_materials.csv:row16 PRD_000016/MAT_000124/USAGE.07
16,"(prd_cd, mat_cd, usage_cd)",05_t_prd_product_materials.csv:row17 PRD_000016/MAT_000125/USAGE.07
17,"(prd_cd, mat_cd, usage_cd)",05_t_prd_product_materials.csv:row18 PRD_000016/MAT_000126/USAGE.07
18,"(prd_cd, mat_cd, usage_cd)",05_t_prd_product_materials.csv:row19 PRD_000016/MAT_000127/USAGE.07
19,"(prd_cd, mat_cd, usage_cd)",05_t_prd_product_materials.csv:row20 PRD_000016/MAT_000128/USAGE.07
20,"(prd_cd, mat_cd, usage_cd)",05_t_prd_product_materials.csv:row21 PRD_000016/MAT_000129/USAGE.07
21,"(prd_cd, mat_cd, usage_cd)",05_t_prd_product_materials.csv:row22 PRD_000016/MAT_000130/USAGE.07
22,"(prd_cd, mat_cd, usage_cd)",05_t_prd_product_materials.csv:row23 PRD_000018/MAT_000074/USAGE.07
23,"(prd_cd, mat_cd, usage_cd)",05_t_prd_product_materials.csv:row24 PRD_000018/MAT_000080/USAGE.07
24,"(prd_cd, mat_cd, usage_cd)",05_t_prd_product_materials.csv:row25 PRD_000018/MAT_000081/USAGE.07
25,"(prd_cd, mat_cd, usage_cd)",05_t_prd_product_materials.csv:row26 PRD_000018/MAT_000082/USAGE.07
26,"(prd_cd, mat_cd, usage_cd)",05_t_prd_product_materials.csv:row27 PRD_000018/MAT_000090/USAGE.07
27,"(prd_cd, mat_cd, usage_cd)",05_t_prd_product_materials.csv:row28 PRD_000018/MAT_000091/USAGE.07
28,"(prd_cd, mat_cd, usage_cd)",05_t_prd_product_materials.csv:row29 PRD_000018/MAT_000092/USAGE.07
29,"(prd_cd, mat_cd, usage_cd)",05_t_prd_product_materials.csv:row30 PRD_000027/MAT_000074/USAGE.07
