sql_stmt_seq,conflict_or_where_key,source_csv_row
62,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row63 PRD_000055→QTY_UNIT.02
63,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row64 PRD_000056→QTY_UNIT.02
64,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row65 PRD_000057→QTY_UNIT.02
65,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row66 PRD_000058→QTY_UNIT.02
66,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row67 PRD_000059→QTY_UNIT.02
67,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row68 PRD_000060→QTY_UNIT.02
68,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row69 PRD_000061→QTY_UNIT.02
69,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row70 PRD_000062→QTY_UNIT.02
70,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row71 PRD_000063→QTY_UNIT.02
71,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row72 PRD_000064→QTY_UNIT.02
72,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row73 PRD_000065→QTY_UNIT.02
73,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row74 PRD_000066→QTY_UNIT.02
74,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row75 PRD_000067→QTY_UNIT.02
75,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row76 PRD_000108→QTY_UNIT.01
76,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row77 PRD_000109→QTY_UNIT.01
77,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row78 PRD_000110→QTY_UNIT.01
78,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row79 PRD_000111→QTY_UNIT.01
79,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row80 PRD_000112→QTY_UNIT.01
80,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row81 PRD_000146→QTY_UNIT.01
81,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row82 PRD_000147→QTY_UNIT.01
82,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row83 PRD_000148→QTY_UNIT.01
