sql_stmt_seq,conflict_or_where_key,source_csv_row
1,(siz_cd),00_siz_sticker_circle.csv:row2 siz_cd=SIZ_000501
2,(siz_cd),00_siz_sticker_circle.csv:row3 siz_cd=SIZ_000502
3,(siz_cd),00_siz_sticker_circle.csv:row4 siz_cd=SIZ_000503
4,(siz_cd),00_siz_sticker_circle.csv:row5 siz_cd=SIZ_000504
5,(siz_cd),00_siz_sticker_circle.csv:row6 siz_cd=SIZ_000505
6,(siz_cd),00_siz_sticker_circle.csv:row8 siz_cd=SIZ_000506
7,(siz_cd),00_siz_sticker_circle.csv:row9 siz_cd=SIZ_000507
8,(siz_cd),00_siz_sticker_circle.csv:row10 siz_cd=SIZ_000508
9,(siz_cd),00_siz_sticker_circle.csv:row11 siz_cd=SIZ_000509
10,(siz_cd),00_siz_sticker_circle.csv:row12 siz_cd=SIZ_000510
