prd_cd,frm_cd
PRD_000016,PRF_DGP_A
PRD_000017,PRF_DGP_A
PRD_000018,PRF_DGP_A
PRD_000019,PRF_DGP_A
PRD_000020,PRF_DGP_A
PRD_000021,PRF_DGP_A
PRD_000022,PRF_DGP_A
PRD_000023,PRF_DGP_B
PRD_000024,PRF_PHOTOCARD_NORMAL
PRD_000025,PRF_PHOTOCARD_CLEAR
PRD_000026,PRF_DGP_A
PRD_000027,PRF_DGP_E
PRD_000027,PRF_DGP_E_FOIL
PRD_000028,PRF_DGP_E
PRD_000029,PRF_DGP_E
PRD_000029,PRF_DGP_E_FOIL
PRD_000030,PRF_DGP_C_6CR
PRD_000031,PRF_NAMECARD_PREMIUM
PRD_000031,PRF_NAMECARD_PREMIUM_FOIL
PRD_000032,PRF_NAMECARD_COAT
PRD_000033,PRF_NAMECARD_FIXED
PRD_000034,PRF_NAMECARD_PEARL
PRD_000034,PRF_NAMECARD_PEARL_FOIL
PRD_000035,PRF_NAMECARD_SHAPE
PRD_000036,PRF_NAMECARD_MINISHAPE
PRD_000037,PRF_NAMECARD_FOIL
PRD_000039,PRF_NAMECARD_CLEAR
PRD_000040,PRF_NAMECARD_WHITE
PRD_000041,PRF_DGP_A
PRD_000042,PRF_DGP_A
PRD_000042,PRF_DGP_A_FOIL
PRD_000043,PRF_DGP_C
PRD_000044,PRF_DGP_C
PRD_000045,PRF_DGP_C
PRD_000046,PRF_DGP_B
PRD_000047,PRF_DGP_D
PRD_000048,PRF_FOLD_SUM
PRD_000049,PRF_DGP_E
PRD_000050,PRF_ENV_MAKING
PRD_000051,PRF_DGP_F
PRD_000052,PRF_STK_FIXED
PRD_000053,PRF_STK_FIXED
PRD_000054,PRF_STK_FIXED
PRD_000055,PRF_STK_FIXED
PRD_000056,PRF_STK_FIXED
PRD_000057,PRF_STK_FIXED
PRD_000058,PRF_STK_FIXED
PRD_000059,PRF_STK_FIXED
PRD_000060,PRF_STK_FIXED
PRD_000061,PRF_STK_FIXED
PRD_000062,PRF_STK_FIXED
PRD_000063,PRF_STK_FIXED
PRD_000064,PRF_STK_FIXED
PRD_000065,PRF_STK_PACK
PRD_000066,PRF_GANGPAN_FIXED
PRD_000067,PRF_STK_TATTOO
PRD_000068,PRF_BIND_SUM
PRD_000069,PRF_BIND_MUSEON
PRD_000069,PRF_BIND_MUSEON_FOIL
PRD_000070,PRF_BIND_PUR
PRD_000070,PRF_BIND_PUR_FOIL
PRD_000071,PRF_BIND_TWINRING
PRD_000072,PRF_HC_MUSEON_SET
PRD_000077,PRF_HC_MUSEON_SET
PRD_000082,PRF_HC_TWINRING_SET
PRD_000088,PRF_LEATHER_RINGBINDER_SET
PRD_000094,PRF_PCB_FIXED
PRD_000097,PRF_TTEOKME_FIXED
PRD_000100,PRF_PHOTOBOOK_FIXED
PRD_000101,PRF_PHOTOBOOK_INNER
PRD_000108,PRF_DGP_CAL_DESK
PRD_000109,PRF_DGP_CAL_DESK
PRD_000110,PRF_DGP_INNER
PRD_000111,PRF_DGP_CAL_WIDE
PRD_000112,PRF_DGP_CAL_WIDE
PRD_000118,PRF_POSTER_ARTPRINT
PRD_000119,PRF_POSTER_ARTPAPER
PRD_000120,PRF_POSTER_WATERPROOF
PRD_000121,PRF_POSTER_ADH_WP
PRD_000122,PRF_POSTER_ADH_CLEAR
PRD_000123,PRF_POSTER_ARTFABRIC
PRD_000124,PRF_POSTER_LINEN
PRD_000125,PRF_POSTER_CANVAS
PRD_000126,PRF_POSTER_LEATHER_AP
PRD_000127,PRF_POSTER_TYVEK
PRD_000128,PRF_POSTER_MESH
PRD_000129,PRF_POSTER_FOAMBOARD
PRD_000130,PRF_POSTER_FOMEXBOARD
PRD_000131,PRF_POSTER_FRAMELESS
PRD_000132,PRF_POSTER_LEATHER_FRAME
PRD_000133,PRF_POSTER_CANVAS_HANGING
PRD_000134,PRF_POSTER_LINEN_WOODBONG
PRD_000135,PRF_POSTER_JOKJA
PRD_000136,PRF_POSTER_PET_BANNER
PRD_000137,PRF_POSTER_MESH_BANNER
PRD_000138,PRF_POSTER_BANNER_N
PRD_000139,PRF_POSTER_BANNER_M
PRD_000140,PRF_POSTER_SHEETCUT_MATTE
PRD_000141,PRF_POSTER_SHEETCUT_HOLO
PRD_000142,PRF_POSTER_ACRYLSTK_GLOSS
PRD_000143,PRF_POSTER_ACRYLSTK_MIRROR
PRD_000144,PRF_POSTER_MINI_STANDBOARD
PRD_000145,PRF_POSTER_MINI_BANNER
PRD_000146,PRF_CLR_ACRYL
PRD_000147,PRF_CLR_ACRYL
PRD_000148,PRF_CLR_ACRYL
PRD_000149,PRF_CLR_ACRYL
PRD_000150,PRF_CLR_ACRYL
PRD_000152,PRF_CLR_ACRYL
PRD_000153,PRF_ACRYL_NAMETAG_GS
PRD_000154,PRF_CLR_ACRYL
PRD_000155,PRF_ACRYL_BALLPEN
PRD_000156,PRF_ZIBITZ_ACRYL
PRD_000157,PRF_CLR_ACRYL
PRD_000158,PRF_CLR_ACRYL
PRD_000159,PRF_CLR_ACRYL
PRD_000160,PRF_ACRYL_FREESTAND
PRD_000161,PRF_CLR_ACRYL
PRD_000162,PRF_CLR_ACRYL
PRD_000163,PRF_ACRYL_MINIPART
PRD_000164,PRF_COROTTO_ACRYL
PRD_000165,PRF_ACRYL_PHCOROTTO_TBD
PRD_000166,PRF_ACRYL_CARABINER
PRD_000168,PRF_ACRYL_3DCOROTTO_TBD
PRD_000169,PRF_ACRYL_3DBLOCK_TBD
PRD_000170,PRF_ACRYL_SHAKER_TBD
PRD_000171,PRF_ZIBITZ_ACRYL
PRD_000172,PRF_STN_DIARY_SOFT
PRD_000173,PRF_STN_DIARY_HARD
PRD_000174,PRF_STN_DIARY_LHARD
PRD_000175,PRF_STN_DIARY_LSOFT
PRD_000176,PRF_STN_MONTHLY
PRD_000177,PRF_STN_SPRINGNOTE
PRD_000178,PRF_STN_SPRINGNOTEBK
PRD_000179,PRF_STN_MEMOPAD
PRD_000181,PRF_STN_JUNGCHEOL
PRD_000226,PRF_ACRYL_SHCOROTTO_TBD
PRD_000284,PRF_DGP_INNER
PRD_000285,PRF_DGP_INNER
PRD_000286,PRF_DGP_INNER
PRD_000287,PRF_DGP_INNER
PRD_000288,PRF_BOOK_COVER
PRD_000289,PRF_DGP_INNER
PRD_000290,PRF_BOOK_COVER
PRD_000291,PRF_DGP_INNER
PRD_000292,PRF_BOOK_COVER
