comp_price_id,comp_cd,apply_ymd,siz_cd,mat_cd,clr_cd,proc_cd,opt_cd,print_opt_cd,plt_siz_cd,coat_side_cnt,bdl_qty,min_qty,siz_width,siz_height,unit_price,dim_vals
5284,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,120.00,180.00,22700.00,
5285,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,120.00,50.00,8400.00,
5286,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,60.00,70.00,6600.00,
5287,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,60.00,80.00,7200.00,
5288,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,60.00,90.00,7800.00,
5289,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,60.00,100.00,8500.00,
5290,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,70.00,100.00,9500.00,
5291,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,100.00,40.00,6400.00,
5292,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,50.00,30.00,3800.00,
5293,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,60.00,40.00,4700.00,
5294,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,80.00,50.00,6400.00,
5332,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000042,,,,,,,,1,90.00,50.00,5520.00,
5333,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000042,,,,,,,,1,50.00,50.00,3840.00,
5334,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000042,,,,,,,,1,100.00,90.00,9360.00,
5335,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000042,,,,,,,,1,90.00,100.00,9360.00,
5336,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000042,,,,,,,,1,80.00,80.00,7120.00,
5337,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000042,,,,,,,,1,40.00,80.00,4400.00,
5338,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000042,,,,,,,,1,50.00,70.00,4640.00,
5339,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000042,,,,,,,,1,70.00,50.00,4640.00,
5340,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000042,,,,,,,,1,100.00,100.00,10160.00,
5341,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000042,,,,,,,,1,90.00,90.00,8560.00,
5342,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000042,,,,,,,,1,50.00,90.00,5520.00,
5343,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000042,,,,,,,,1,100.00,60.00,6800.00,
5344,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000042,,,,,,,,1,60.00,60.00,4720.00,
5345,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000042,,,,,,,,1,70.00,70.00,5840.00,
5346,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000042,,,,,,,,1,100.00,50.00,5920.00,
5347,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000042,,,,,,,,1,100.00,70.00,7600.00,
5348,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000042,,,,,,,,1,100.00,80.00,8480.00,
5349,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000042,,,,,,,,1,20.00,30.00,2160.00,
5350,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000042,,,,,,,,1,30.00,30.00,2480.00,
5351,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000042,,,,,,,,1,30.00,40.00,2720.00,
5352,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000042,,,,,,,,1,30.00,70.00,3440.00,
5353,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000042,,,,,,,,1,40.00,40.00,3040.00,
5354,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000042,,,,,,,,1,40.00,50.00,3360.00,
5355,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000042,,,,,,,,1,40.00,60.00,3760.00,
5356,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000042,,,,,,,,1,20.00,20.00,2000.00,
5357,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000042,,,,,,,,1,70.00,60.00,5280.00,
5358,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000042,,,,,,,,1,60.00,20.00,2720.00,
5359,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000042,,,,,,,,1,80.00,30.00,3760.00,
5360,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000042,,,,,,,,1,60.00,70.00,5280.00,
5361,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000042,,,,,,,,1,60.00,80.00,5760.00,
5362,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000042,,,,,,,,1,60.00,90.00,6240.00,
