prd_cd,bdl_qty,dflt_yn
PRD_000001,50,Y
PRD_000002,20,Y
PRD_000002,50,Y
PRD_000003,20,N
PRD_000003,30,N
PRD_000003,40,N
PRD_000003,100,N
PRD_000004,10,N
PRD_000005,10,N
PRD_000009,10,N
PRD_000011,20,N
PRD_000024,20,Y
PRD_000025,20,Y
PRD_000066,1,N
PRD_000066,2,N
PRD_000066,3,N
PRD_000066,6,N
PRD_000066,8,N
PRD_000097,50,Y
PRD_000097,100,Y
PRD_000160,2,Y
PRD_000160,3,N
PRD_000160,4,N
PRD_000160,5,N
PRD_000160,6,N
PRD_000163,10,Y
PRD_000198,1,N
PRD_000198,2,N
PRD_000283,20,Y
PRD_000283,30,N
PRD_000283,40,N
PRD_000283,100,N
