acryl_w,acryl_h,match,live_siz_cd,live_siz_nm,live_usage,decision
40,90,NONE,,,,SIZ_PENDING 등록대기
40,100,REVERSED,SIZ_000449,100x40,,에스컬레이션(의미축 HxW)
40,120,NONE,,,,SIZ_PENDING 등록대기
40,140,NONE,,,,SIZ_PENDING 등록대기
40,160,NONE,,,,SIZ_PENDING 등록대기
40,180,NONE,,,,SIZ_PENDING 등록대기
40,200,NONE,,,,SIZ_PENDING 등록대기
50,20,NONE,,,,SIZ_PENDING 등록대기
50,30,DIRECT,SIZ_000493,50x30,,실코드교체
50,40,REVERSED,SIZ_000334,40x50,,에스컬레이션(의미축 HxW)
50,50,DIRECT,SIZ_000011,50x50,"미니모양명함, 라벨택",실코드교체
50,60,NONE,,,,SIZ_PENDING 등록대기
50,70,DIRECT,SIZ_000061,50x70,소형반칼스티커,실코드교체
50,80,REVERSED,SIZ_000497,80x50,,에스컬레이션(의미축 HxW)
50,90,DIRECT,SIZ_000132,50x90,,실코드교체
50,100,REVERSED,SIZ_000243,100x50,,에스컬레이션(의미축 HxW)
50,120,REVERSED,SIZ_000365,120x50,,에스컬레이션(의미축 HxW)
50,140,NONE,,,,SIZ_PENDING 등록대기
50,160,NONE,,,,SIZ_PENDING 등록대기
50,180,NONE,,,,SIZ_PENDING 등록대기
50,200,NONE,,,,SIZ_PENDING 등록대기
60,20,DIRECT,SIZ_000346,60x20,,실코드교체
60,30,NONE,,,,SIZ_PENDING 등록대기
60,40,DIRECT,SIZ_000495,60x40,,실코드교체
60,50,NONE,,,,SIZ_PENDING 등록대기
60,60,DIRECT,SIZ_000148,60x60,,실코드교체
60,70,DIRECT,SIZ_000370,60x70,,실코드교체
60,80,DIRECT,SIZ_000371,60x80,,실코드교체
60,90,DIRECT,SIZ_000372,60x90,,실코드교체
60,100,DIRECT,SIZ_000373,60x100,,실코드교체
60,120,REVERSED,SIZ_000357,120x60,,에스컬레이션(의미축 HxW)
60,140,NONE,,,,SIZ_PENDING 등록대기
60,160,NONE,,,,SIZ_PENDING 등록대기
60,180,NONE,,,,SIZ_PENDING 등록대기
60,200,NONE,,,,SIZ_PENDING 등록대기
70,20,NONE,,,,SIZ_PENDING 등록대기
70,30,REVERSED,SIZ_000332,30x70,,에스컬레이션(의미축 HxW)
70,40,NONE,,,,SIZ_PENDING 등록대기
70,50,DIRECT,SIZ_000062,70x50,소형반칼스티커,실코드교체
70,60,DIRECT,SIZ_000344,70x60,,실코드교체
70,70,DIRECT,SIZ_000211,70x70,,실코드교체
70,80,NONE,,,,SIZ_PENDING 등록대기
70,90,NONE,,,,SIZ_PENDING 등록대기
70,100,DIRECT,SIZ_000448,70x100,,실코드교체
70,120,DIRECT,SIZ_000266,70x120,,실코드교체
70,140,NONE,,,,SIZ_PENDING 등록대기
70,160,NONE,,,,SIZ_PENDING 등록대기
70,180,NONE,,,,SIZ_PENDING 등록대기
70,200,NONE,,,,SIZ_PENDING 등록대기
80,20,NONE,,,,SIZ_PENDING 등록대기
80,30,DIRECT,SIZ_000350,80x30,,실코드교체
80,40,REVERSED,SIZ_000047,40x80,라벨택,에스컬레이션(의미축 HxW)
80,50,DIRECT,SIZ_000497,80x50,,실코드교체
80,60,REVERSED,SIZ_000371,60x80,,에스컬레이션(의미축 HxW)
80,70,NONE,,,,SIZ_PENDING 등록대기
80,80,DIRECT,SIZ_000043,80x80,인쇄해더택,실코드교체
80,90,NONE,,,,SIZ_PENDING 등록대기
80,100,REVERSED,SIZ_000248,100x80,,에스컬레이션(의미축 HxW)
80,120,NONE,,,,SIZ_PENDING 등록대기
80,140,REVERSED,SIZ_000045,140x80,인쇄해더택,에스컬레이션(의미축 HxW)
80,160,REVERSED,SIZ_000046,160x80,인쇄해더택,에스컬레이션(의미축 HxW)
80,180,NONE,,,,SIZ_PENDING 등록대기
80,200,NONE,,,,SIZ_PENDING 등록대기
90,20,NONE,,,,SIZ_PENDING 등록대기
90,30,NONE,,,,SIZ_PENDING 등록대기
90,40,NONE,,,,SIZ_PENDING 등록대기
90,50,DIRECT,SIZ_000008,90x50,명함,실코드교체
90,60,REVERSED,SIZ_000372,60x90,,에스컬레이션(의미축 HxW)
90,70,NONE,,,,SIZ_PENDING 등록대기
90,80,NONE,,,,SIZ_PENDING 등록대기
90,90,DIRECT,SIZ_000119,90x90,,실코드교체
90,100,DIRECT,SIZ_000018,90x100,미니접지카드,실코드교체
90,120,REVERSED,SIZ_000358,120x90,,에스컬레이션(의미축 HxW)
90,140,NONE,,,,SIZ_PENDING 등록대기
90,160,NONE,,,,SIZ_PENDING 등록대기
90,180,NONE,,,,SIZ_PENDING 등록대기
90,200,NONE,,,,SIZ_PENDING 등록대기
100,20,NONE,,,,SIZ_PENDING 등록대기
100,30,NONE,,,,SIZ_PENDING 등록대기
100,40,DIRECT,SIZ_000449,100x40,,실코드교체
100,50,DIRECT,SIZ_000243,100x50,,실코드교체
100,60,DIRECT,SIZ_000147,100x60,,실코드교체
100,70,DIRECT,SIZ_000246,100x70,,실코드교체
100,80,DIRECT,SIZ_000248,100x80,,실코드교체
100,90,DIRECT,SIZ_000017,100x90,미니접지카드,실코드교체
100,100,DIRECT,SIZ_000113,100x100,,실코드교체
100,120,NONE,,,,SIZ_PENDING 등록대기
100,140,DIRECT,SIZ_000058,100x140,반칼스티커,실코드교체
100,160,NONE,,,,SIZ_PENDING 등록대기
100,180,NONE,,,,SIZ_PENDING 등록대기
100,200,NONE,,,,SIZ_PENDING 등록대기
120,20,NONE,,,,SIZ_PENDING 등록대기
120,30,NONE,,,,SIZ_PENDING 등록대기
120,40,NONE,,,,SIZ_PENDING 등록대기
120,50,DIRECT,SIZ_000365,120x50,,실코드교체
120,60,DIRECT,SIZ_000357,120x60,,실코드교체
120,70,REVERSED,SIZ_000266,70x120,,에스컬레이션(의미축 HxW)
120,80,NONE,,,,SIZ_PENDING 등록대기
120,90,DIRECT,SIZ_000358,120x90,,실코드교체
120,100,NONE,,,,SIZ_PENDING 등록대기
120,120,DIRECT,SIZ_000359,120x120,,실코드교체
120,140,NONE,,,,SIZ_PENDING 등록대기
120,160,NONE,,,,SIZ_PENDING 등록대기
120,180,DIRECT,SIZ_000361,120x180,,실코드교체
120,200,NONE,,,,SIZ_PENDING 등록대기
140,20,NONE,,,,SIZ_PENDING 등록대기
140,30,NONE,,,,SIZ_PENDING 등록대기
140,40,NONE,,,,SIZ_PENDING 등록대기
140,50,NONE,,,,SIZ_PENDING 등록대기
140,60,NONE,,,,SIZ_PENDING 등록대기
140,70,NONE,,,,SIZ_PENDING 등록대기
140,80,DIRECT,SIZ_000045,140x80,인쇄해더택,실코드교체
140,90,NONE,,,,SIZ_PENDING 등록대기
140,100,DIRECT,SIZ_000067,140x100,소형반칼스티커,실코드교체
140,120,NONE,,,,SIZ_PENDING 등록대기
140,140,NONE,,,,SIZ_PENDING 등록대기
140,160,NONE,,,,SIZ_PENDING 등록대기
140,180,NONE,,,,SIZ_PENDING 등록대기
140,200,NONE,,,,SIZ_PENDING 등록대기
160,20,NONE,,,,SIZ_PENDING 등록대기
160,30,NONE,,,,SIZ_PENDING 등록대기
160,40,NONE,,,,SIZ_PENDING 등록대기
160,50,NONE,,,,SIZ_PENDING 등록대기
160,60,NONE,,,,SIZ_PENDING 등록대기
160,70,NONE,,,,SIZ_PENDING 등록대기
160,80,DIRECT,SIZ_000046,160x80,인쇄해더택,실코드교체
160,90,NONE,,,,SIZ_PENDING 등록대기
160,100,NONE,,,,SIZ_PENDING 등록대기
160,120,NONE,,,,SIZ_PENDING 등록대기
160,140,NONE,,,,SIZ_PENDING 등록대기
160,160,NONE,,,,SIZ_PENDING 등록대기
160,180,NONE,,,,SIZ_PENDING 등록대기
160,200,NONE,,,,SIZ_PENDING 등록대기
180,20,NONE,,,,SIZ_PENDING 등록대기
180,30,NONE,,,,SIZ_PENDING 등록대기
180,40,NONE,,,,SIZ_PENDING 등록대기
180,50,NONE,,,,SIZ_PENDING 등록대기
180,60,NONE,,,,SIZ_PENDING 등록대기
180,70,NONE,,,,SIZ_PENDING 등록대기
180,80,NONE,,,,SIZ_PENDING 등록대기
180,90,NONE,,,,SIZ_PENDING 등록대기
180,100,NONE,,,,SIZ_PENDING 등록대기
180,120,REVERSED,SIZ_000361,120x180,,에스컬레이션(의미축 HxW)
180,140,NONE,,,,SIZ_PENDING 등록대기
180,160,NONE,,,,SIZ_PENDING 등록대기
180,180,NONE,,,,SIZ_PENDING 등록대기
180,200,NONE,,,,SIZ_PENDING 등록대기
200,20,NONE,,,,SIZ_PENDING 등록대기
200,30,NONE,,,,SIZ_PENDING 등록대기
200,40,NONE,,,,SIZ_PENDING 등록대기
200,50,NONE,,,,SIZ_PENDING 등록대기
200,60,NONE,,,,SIZ_PENDING 등록대기
200,70,NONE,,,,SIZ_PENDING 등록대기
200,80,NONE,,,,SIZ_PENDING 등록대기
200,90,NONE,,,,SIZ_PENDING 등록대기
200,100,NONE,,,,SIZ_PENDING 등록대기
200,120,NONE,,,,SIZ_PENDING 등록대기
200,140,NONE,,,,SIZ_PENDING 등록대기
200,160,NONE,,,,SIZ_PENDING 등록대기
200,180,NONE,,,,SIZ_PENDING 등록대기
200,200,NONE,,,,SIZ_PENDING 등록대기
