comp_price_id,comp_cd,apply_ymd,siz_cd,clr_cd,mat_cd,coat_side_cnt,bdl_qty,min_qty,unit_price,note
1713,COMP_ENV_MAKING,2026-06-01,SIZ_000191,,MAT_000159,,,1000,96000,[siz: ENV_TICKET→SIZ_000191] 봉투제작/티켓봉투/모조 120g 제작수량≥1000 (완제품가 .06)
1714,COMP_ENV_MAKING,2026-06-01,SIZ_000191,,MAT_000168,,,1000,111000,"[siz: ENV_TICKET→SIZ_000191] 봉투제작/티켓봉투/레자크체크백색 110g / 레자크줄무늬백색 110g 제작수량≥1000 (완제품가 .06) [레자크체크=줄무늬 동일단가, mat=MAT_000168 대표]"
1715,COMP_ENV_MAKING,2026-06-01,SIZ_000192,,MAT_000159,,,1000,48000,[siz: ENV_SMALL→SIZ_000192] 봉투제작/소봉투/모조 120g 제작수량≥1000 (완제품가 .06)
1716,COMP_ENV_MAKING,2026-06-01,SIZ_000192,,MAT_000168,,,1000,58000,"[siz: ENV_SMALL→SIZ_000192] 봉투제작/소봉투/레자크체크백색 110g / 레자크줄무늬백색 110g 제작수량≥1000 (완제품가 .06) [레자크체크=줄무늬 동일단가, mat=MAT_000168 대표]"
1717,COMP_ENV_MAKING,2026-06-01,SIZ_000193,,MAT_000159,,,1000,48000,[siz: ENV_JACKET→SIZ_000193] 봉투제작/자켓봉투/모조 120g 제작수량≥1000 (완제품가 .06)
1718,COMP_ENV_MAKING,2026-06-01,SIZ_000193,,MAT_000168,,,1000,58000,"[siz: ENV_JACKET→SIZ_000193] 봉투제작/자켓봉투/레자크체크백색 110g / 레자크줄무늬백색 110g 제작수량≥1000 (완제품가 .06) [레자크체크=줄무늬 동일단가, mat=MAT_000168 대표]"
1719,COMP_ENV_MAKING,2026-06-01,SIZ_000194,,MAT_000159,,,1000,134000,[siz: ENV_LARGE→SIZ_000194] 봉투제작/대봉투/모조 120g 제작수량≥1000 (완제품가 .06)
1720,COMP_ENV_MAKING,2026-06-01,SIZ_000194,,MAT_000168,,,1000,152000,"[siz: ENV_LARGE→SIZ_000194] 봉투제작/대봉투/레자크체크백색 110g / 레자크줄무늬백색 110g 제작수량≥1000 (완제품가 .06) [레자크체크=줄무늬 동일단가, mat=MAT_000168 대표]"
1721,COMP_ENV_MAKING,2026-06-01,SIZ_000191,,MAT_000159,,,2000,192000,[siz: ENV_TICKET→SIZ_000191] 봉투제작/티켓봉투/모조 120g 제작수량≥2000 (완제품가 .06)
1722,COMP_ENV_MAKING,2026-06-01,SIZ_000191,,MAT_000168,,,2000,222000,"[siz: ENV_TICKET→SIZ_000191] 봉투제작/티켓봉투/레자크체크백색 110g / 레자크줄무늬백색 110g 제작수량≥2000 (완제품가 .06) [레자크체크=줄무늬 동일단가, mat=MAT_000168 대표]"
1723,COMP_ENV_MAKING,2026-06-01,SIZ_000192,,MAT_000159,,,2000,96000,[siz: ENV_SMALL→SIZ_000192] 봉투제작/소봉투/모조 120g 제작수량≥2000 (완제품가 .06)
1724,COMP_ENV_MAKING,2026-06-01,SIZ_000192,,MAT_000168,,,2000,116000,"[siz: ENV_SMALL→SIZ_000192] 봉투제작/소봉투/레자크체크백색 110g / 레자크줄무늬백색 110g 제작수량≥2000 (완제품가 .06) [레자크체크=줄무늬 동일단가, mat=MAT_000168 대표]"
1725,COMP_ENV_MAKING,2026-06-01,SIZ_000193,,MAT_000159,,,2000,96000,[siz: ENV_JACKET→SIZ_000193] 봉투제작/자켓봉투/모조 120g 제작수량≥2000 (완제품가 .06)
1726,COMP_ENV_MAKING,2026-06-01,SIZ_000193,,MAT_000168,,,2000,116000,"[siz: ENV_JACKET→SIZ_000193] 봉투제작/자켓봉투/레자크체크백색 110g / 레자크줄무늬백색 110g 제작수량≥2000 (완제품가 .06) [레자크체크=줄무늬 동일단가, mat=MAT_000168 대표]"
1727,COMP_ENV_MAKING,2026-06-01,SIZ_000194,,MAT_000159,,,2000,272000,[siz: ENV_LARGE→SIZ_000194] 봉투제작/대봉투/모조 120g 제작수량≥2000 (완제품가 .06)
1728,COMP_ENV_MAKING,2026-06-01,SIZ_000194,,MAT_000168,,,2000,304000,"[siz: ENV_LARGE→SIZ_000194] 봉투제작/대봉투/레자크체크백색 110g / 레자크줄무늬백색 110g 제작수량≥2000 (완제품가 .06) [레자크체크=줄무늬 동일단가, mat=MAT_000168 대표]"
1729,COMP_ENV_MAKING,2026-06-01,SIZ_000191,,MAT_000159,,,3000,288000,[siz: ENV_TICKET→SIZ_000191] 봉투제작/티켓봉투/모조 120g 제작수량≥3000 (완제품가 .06)
1730,COMP_ENV_MAKING,2026-06-01,SIZ_000191,,MAT_000168,,,3000,333000,"[siz: ENV_TICKET→SIZ_000191] 봉투제작/티켓봉투/레자크체크백색 110g / 레자크줄무늬백색 110g 제작수량≥3000 (완제품가 .06) [레자크체크=줄무늬 동일단가, mat=MAT_000168 대표]"
1731,COMP_ENV_MAKING,2026-06-01,SIZ_000192,,MAT_000159,,,3000,144000,[siz: ENV_SMALL→SIZ_000192] 봉투제작/소봉투/모조 120g 제작수량≥3000 (완제품가 .06)
1732,COMP_ENV_MAKING,2026-06-01,SIZ_000192,,MAT_000168,,,3000,174000,"[siz: ENV_SMALL→SIZ_000192] 봉투제작/소봉투/레자크체크백색 110g / 레자크줄무늬백색 110g 제작수량≥3000 (완제품가 .06) [레자크체크=줄무늬 동일단가, mat=MAT_000168 대표]"
1733,COMP_ENV_MAKING,2026-06-01,SIZ_000193,,MAT_000159,,,3000,144000,[siz: ENV_JACKET→SIZ_000193] 봉투제작/자켓봉투/모조 120g 제작수량≥3000 (완제품가 .06)
1734,COMP_ENV_MAKING,2026-06-01,SIZ_000193,,MAT_000168,,,3000,174000,"[siz: ENV_JACKET→SIZ_000193] 봉투제작/자켓봉투/레자크체크백색 110g / 레자크줄무늬백색 110g 제작수량≥3000 (완제품가 .06) [레자크체크=줄무늬 동일단가, mat=MAT_000168 대표]"
1735,COMP_ENV_MAKING,2026-06-01,SIZ_000194,,MAT_000159,,,3000,400000,[siz: ENV_LARGE→SIZ_000194] 봉투제작/대봉투/모조 120g 제작수량≥3000 (완제품가 .06)
1736,COMP_ENV_MAKING,2026-06-01,SIZ_000194,,MAT_000168,,,3000,456000,"[siz: ENV_LARGE→SIZ_000194] 봉투제작/대봉투/레자크체크백색 110g / 레자크줄무늬백색 110g 제작수량≥3000 (완제품가 .06) [레자크체크=줄무늬 동일단가, mat=MAT_000168 대표]"
1737,COMP_ENV_MAKING,2026-06-01,SIZ_000191,,MAT_000159,,,4000,384000,[siz: ENV_TICKET→SIZ_000191] 봉투제작/티켓봉투/모조 120g 제작수량≥4000 (완제품가 .06)
1738,COMP_ENV_MAKING,2026-06-01,SIZ_000191,,MAT_000168,,,4000,444000,"[siz: ENV_TICKET→SIZ_000191] 봉투제작/티켓봉투/레자크체크백색 110g / 레자크줄무늬백색 110g 제작수량≥4000 (완제품가 .06) [레자크체크=줄무늬 동일단가, mat=MAT_000168 대표]"
1739,COMP_ENV_MAKING,2026-06-01,SIZ_000192,,MAT_000159,,,4000,192000,[siz: ENV_SMALL→SIZ_000192] 봉투제작/소봉투/모조 120g 제작수량≥4000 (완제품가 .06)
1740,COMP_ENV_MAKING,2026-06-01,SIZ_000192,,MAT_000168,,,4000,232000,"[siz: ENV_SMALL→SIZ_000192] 봉투제작/소봉투/레자크체크백색 110g / 레자크줄무늬백색 110g 제작수량≥4000 (완제품가 .06) [레자크체크=줄무늬 동일단가, mat=MAT_000168 대표]"
1741,COMP_ENV_MAKING,2026-06-01,SIZ_000193,,MAT_000159,,,4000,192000,[siz: ENV_JACKET→SIZ_000193] 봉투제작/자켓봉투/모조 120g 제작수량≥4000 (완제품가 .06)
1742,COMP_ENV_MAKING,2026-06-01,SIZ_000193,,MAT_000168,,,4000,232000,"[siz: ENV_JACKET→SIZ_000193] 봉투제작/자켓봉투/레자크체크백색 110g / 레자크줄무늬백색 110g 제작수량≥4000 (완제품가 .06) [레자크체크=줄무늬 동일단가, mat=MAT_000168 대표]"
1743,COMP_ENV_MAKING,2026-06-01,SIZ_000194,,MAT_000159,,,4000,536000,[siz: ENV_LARGE→SIZ_000194] 봉투제작/대봉투/모조 120g 제작수량≥4000 (완제품가 .06)
1744,COMP_ENV_MAKING,2026-06-01,SIZ_000194,,MAT_000168,,,4000,608000,"[siz: ENV_LARGE→SIZ_000194] 봉투제작/대봉투/레자크체크백색 110g / 레자크줄무늬백색 110g 제작수량≥4000 (완제품가 .06) [레자크체크=줄무늬 동일단가, mat=MAT_000168 대표]"
1745,COMP_ENV_MAKING,2026-06-01,SIZ_000191,,MAT_000159,,,5000,480000,[siz: ENV_TICKET→SIZ_000191] 봉투제작/티켓봉투/모조 120g 제작수량≥5000 (완제품가 .06)
1746,COMP_ENV_MAKING,2026-06-01,SIZ_000191,,MAT_000168,,,5000,555000,"[siz: ENV_TICKET→SIZ_000191] 봉투제작/티켓봉투/레자크체크백색 110g / 레자크줄무늬백색 110g 제작수량≥5000 (완제품가 .06) [레자크체크=줄무늬 동일단가, mat=MAT_000168 대표]"
1747,COMP_ENV_MAKING,2026-06-01,SIZ_000192,,MAT_000159,,,5000,240000,[siz: ENV_SMALL→SIZ_000192] 봉투제작/소봉투/모조 120g 제작수량≥5000 (완제품가 .06)
1748,COMP_ENV_MAKING,2026-06-01,SIZ_000192,,MAT_000168,,,5000,290000,"[siz: ENV_SMALL→SIZ_000192] 봉투제작/소봉투/레자크체크백색 110g / 레자크줄무늬백색 110g 제작수량≥5000 (완제품가 .06) [레자크체크=줄무늬 동일단가, mat=MAT_000168 대표]"
1749,COMP_ENV_MAKING,2026-06-01,SIZ_000193,,MAT_000159,,,5000,240000,[siz: ENV_JACKET→SIZ_000193] 봉투제작/자켓봉투/모조 120g 제작수량≥5000 (완제품가 .06)
1750,COMP_ENV_MAKING,2026-06-01,SIZ_000193,,MAT_000168,,,5000,290000,"[siz: ENV_JACKET→SIZ_000193] 봉투제작/자켓봉투/레자크체크백색 110g / 레자크줄무늬백색 110g 제작수량≥5000 (완제품가 .06) [레자크체크=줄무늬 동일단가, mat=MAT_000168 대표]"
1751,COMP_ENV_MAKING,2026-06-01,SIZ_000194,,MAT_000159,,,5000,672000,[siz: ENV_LARGE→SIZ_000194] 봉투제작/대봉투/모조 120g 제작수량≥5000 (완제품가 .06)
1752,COMP_ENV_MAKING,2026-06-01,SIZ_000194,,MAT_000168,,,5000,760000,"[siz: ENV_LARGE→SIZ_000194] 봉투제작/대봉투/레자크체크백색 110g / 레자크줄무늬백색 110g 제작수량≥5000 (완제품가 .06) [레자크체크=줄무늬 동일단가, mat=MAT_000168 대표]"
