prd_cd,prd_nm,key,src_token,rule_id
PRD_000016,프리미엄엽서,__IMPORT__21종,*별도설정,R-MAT-2
PRD_000017,코팅엽서,__NOMAT__아트250,아트250,R-MAT-1-nomaster
PRD_000017,코팅엽서,__NOMAT__아트300,아트300,R-MAT-1-nomaster
PRD_000018,스탠다드엽서,__IMPORT__7종,*별도설정,R-MAT-2
PRD_000019,투명엽서,MAT_000144,투명PET 260g,R-MAT-1
PRD_000019,투명엽서,MAT_000147,반투명PET 260g,R-MAT-1
PRD_000020,화이트인쇄엽서,MAT_000141,큐리어스스킨 블랙 270g,R-MAT-1
PRD_000020,화이트인쇄엽서,MAT_000138,큐리어스스킨 레드 270g,R-MAT-1
PRD_000020,화이트인쇄엽서,MAT_000140,큐리어스스킨 바이올렛 270g,R-MAT-1
PRD_000020,화이트인쇄엽서,MAT_000139,큐리어스스킨 다크블루 270g,R-MAT-1
PRD_000021,핑크별색엽서,MAT_000107,몽블랑190,R-MAT-1
PRD_000021,핑크별색엽서,MAT_000109,몽블랑240,R-MAT-1
PRD_000021,핑크별색엽서,MAT_000113,아코팩(웜화이트)250,R-MAT-1
PRD_000022,금은별색엽서,MAT_000107,몽블랑190,R-MAT-1
PRD_000022,금은별색엽서,MAT_000109,몽블랑240,R-MAT-1
PRD_000022,금은별색엽서,MAT_000113,아코팩(웜화이트)250,R-MAT-1
PRD_000023,모양엽서,MAT_000107,몽블랑190,R-MAT-1
PRD_000023,모양엽서,MAT_000109,몽블랑240,R-MAT-1
PRD_000023,모양엽서,MAT_000113,아코팩(웜화이트)250,R-MAT-1
PRD_000024,포토카드,__NOMAT__아트300,아트300,R-MAT-1-nomaster
PRD_000025,투명포토카드,MAT_000144,투명PET 260g,R-MAT-1
PRD_000025,투명포토카드,MAT_000147,반투명PET 260g,R-MAT-1
PRD_000026,종이슬로건,__NOMAT__아트300,아트300,R-MAT-1-nomaster
PRD_000027,2단접지카드,__IMPORT__14종,*별도설정,R-MAT-2
PRD_000028,미니접지카드,__IMPORT__14종,*별도설정,R-MAT-2
PRD_000029,3단접지카드,__IMPORT__14종,*별도설정,R-MAT-2
PRD_000030,지그재그엽서,MAT_000105,몽블랑130g,R-MAT-1
PRD_000031,프리미엄명함,__IMPORT__16종,*별도설정,R-MAT-2
PRD_000032,코팅명함,__NOMAT__아트250,아트250,R-MAT-1-nomaster
PRD_000032,코팅명함,__NOMAT__아트300,아트300,R-MAT-1-nomaster
PRD_000033,스탠다드명함,__NOMAT__백모조220,백모조220,R-MAT-1-nomaster
PRD_000033,스탠다드명함,__NOMAT__아트250,아트250,R-MAT-1-nomaster
PRD_000033,스탠다드명함,__NOMAT__아트300,아트300,R-MAT-1-nomaster
PRD_000033,스탠다드명함,__NOMAT__스노우250,스노우250,R-MAT-1-nomaster
PRD_000033,스탠다드명함,__NOMAT__스노우300,스노우300,R-MAT-1-nomaster
PRD_000034,펄명함,MAT_000240,스타드림(다이아)240,R-MAT-1
PRD_000034,펄명함,MAT_000128,스타드림(실버)240,R-MAT-1
PRD_000034,펄명함,MAT_000129,스타드림(골드)240,R-MAT-1
PRD_000034,펄명함,MAT_000241,스타드림(로츠쿼츠)240,R-MAT-1
PRD_000035,모양명함,MAT_000109,몽블랑240,R-MAT-1
PRD_000036,미니모양명함,MAT_000109,몽블랑240,R-MAT-1
PRD_000037,오리지널박명함,MAT_000137,큐리어스스킨 화이트 270g,R-MAT-1
PRD_000037,오리지널박명함,MAT_000141,큐리어스스킨 블랙 270g,R-MAT-1
PRD_000037,오리지널박명함,MAT_000138,큐리어스스킨 레드 270g,R-MAT-1
PRD_000037,오리지널박명함,MAT_000140,큐리어스스킨 바이올렛 270g,R-MAT-1
PRD_000037,오리지널박명함,MAT_000139,큐리어스스킨 다크블루 270g,R-MAT-1
PRD_000038,형압명함,__IMPORT__0종(부재),*별도설정,R-MAT-2-gap
PRD_000039,투명명함,MAT_000144,투명PET 260g,R-MAT-1
PRD_000039,투명명함,MAT_000147,반투명PET 260g,R-MAT-1
PRD_000040,화이트인쇄명함,MAT_000141,큐리어스스킨 블랙 270g,R-MAT-1
PRD_000040,화이트인쇄명함,MAT_000138,큐리어스스킨 레드 270g,R-MAT-1
PRD_000040,화이트인쇄명함,MAT_000140,큐리어스스킨 바이올렛 270g,R-MAT-1
PRD_000040,화이트인쇄명함,MAT_000139,큐리어스스킨 다크블루 270g,R-MAT-1
PRD_000041,스탠다드 쿠폰/상품권,MAT_000072,백색모조지 100g,R-MAT-1
PRD_000041,스탠다드 쿠폰/상품권,MAT_000078,아트지 150g,R-MAT-1
PRD_000041,스탠다드 쿠폰/상품권,MAT_000088,스노우지 150g,R-MAT-1
PRD_000041,스탠다드 쿠폰/상품권,MAT_000105,몽블랑 130g,R-MAT-1
PRD_000042,프리미엄 쿠폰/상품권,MAT_000107,몽블랑190,R-MAT-1
PRD_000042,프리미엄 쿠폰/상품권,MAT_000240,스타드림(다이아)240,R-MAT-1
PRD_000042,프리미엄 쿠폰/상품권,MAT_000128,스타드림(실버)240,R-MAT-1
PRD_000042,프리미엄 쿠폰/상품권,MAT_000129,스타드림(골드)240,R-MAT-1
PRD_000042,프리미엄 쿠폰/상품권,MAT_000241,스타드림(로츠쿼츠)240,R-MAT-1
PRD_000042,프리미엄 쿠폰/상품권,MAT_000118,클래식 크래스트 스티플 270,R-MAT-1
PRD_000042,프리미엄 쿠폰/상품권,MAT_000125,한지170,R-MAT-1
PRD_000042,프리미엄 쿠폰/상품권,MAT_000121,켄도250,R-MAT-1
PRD_000043,인쇄배경지(OPP봉투타입),__NOMAT__스노우250,스노우250,R-MAT-1-nomaster
PRD_000044,인쇄배경지(투명케이스타입),__NOMAT__스노우250,스노우250,R-MAT-1-nomaster
PRD_000045,인쇄헤더택,__NOMAT__스노우250,스노우250,R-MAT-1-nomaster
PRD_000046,라벨/택,MAT_000109,몽블랑240,R-MAT-1
PRD_000047,소량전단지,__IMPORT__47종,*별도설정,R-MAT-2
PRD_000048,접지리플렛,__IMPORT__47종,*별도설정,R-MAT-2
PRD_000049,와이드 접지리플렛,MAT_000078,아트지 150g,R-MAT-1
PRD_000049,와이드 접지리플렛,MAT_000091,스노우지 250g,R-MAT-1
PRD_000049,와이드 접지리플렛,MAT_000105,몽블랑 130g,R-MAT-1
PRD_000049,와이드 접지리플렛,MAT_000107,몽블랑 190g,R-MAT-1
PRD_000049,와이드 접지리플렛,MAT_000109,몽블랑 240g,R-MAT-1
PRD_000050,봉투제작,MAT_000159,모조 120g,R-MAT-1
PRD_000050,봉투제작,MAT_000168,레자크체크백색 110g,R-MAT-1
PRD_000050,봉투제작,MAT_000169,레자크줄무늬백색 110g,R-MAT-1
PRD_000051,썬캡,MAT_000149,아이보리300,R-MAT-1
PRD_000052,반칼 자유형 스티커,MAT_000153,유포스티커,R-MAT-1
PRD_000052,반칼 자유형 스티커,MAT_000242,미색스티커,R-MAT-1
PRD_000053,반칼 자유형 투명스티커,MAT_000162,투명스티커,R-MAT-1
PRD_000054,반칼 자유형 홀로그램스티커,MAT_000163,홀로그램스티커,R-MAT-1
PRD_000055,낱장 자유형 스티커,MAT_000154,유포지+엠보코팅,R-MAT-1
PRD_000056,낱장 자유형 투명스티커,MAT_000243,투명전용지,R-MAT-1
PRD_000057,대형 자유형 스티커,MAT_000154,유포지+엠보코팅,R-MAT-1
PRD_000058,반칼원형스티커,MAT_000153,유포스티커,R-MAT-1
PRD_000058,반칼원형스티커,MAT_000242,미색스티커,R-MAT-1
PRD_000059,반칼정사각스티커,MAT_000153,유포스티커,R-MAT-1
PRD_000059,반칼정사각스티커,MAT_000242,미색스티커,R-MAT-1
PRD_000060,반칼직사각스티커,MAT_000153,유포스티커,R-MAT-1
PRD_000060,반칼직사각스티커,MAT_000242,미색스티커,R-MAT-1
PRD_000061,반칼띠지스티커,MAT_000153,유포스티커,R-MAT-1
PRD_000061,반칼띠지스티커,MAT_000242,미색스티커,R-MAT-1
PRD_000062,반칼팬시스티커,MAT_000153,유포스티커,R-MAT-1
PRD_000062,반칼팬시스티커,MAT_000242,미색스티커,R-MAT-1
