prd_cd,prd_nm,key,src_token,rule_id
PRD_000016,프리미엄엽서,PROC_000029,|줄수블록,R-PROC-2
PRD_000016,프리미엄엽서,PROC_000030,|줄수블록,R-PROC-2
PRD_000016,프리미엄엽서,PROC_000031,|개수블록,R-PROC-2
PRD_000016,프리미엄엽서,PROC_000032,|개수블록,R-PROC-2
PRD_000016,프리미엄엽서,PROC_000027,직각,R-PROC-1/4/5/6
PRD_000016,프리미엄엽서,PROC_000028,둥근,R-PROC-1/4/5/6
PRD_000017,코팅엽서,PROC_000015,무광코팅(단면),R-PROC-5
PRD_000017,코팅엽서,PROC_000014,유광코팅(단면),R-PROC-5
PRD_000017,코팅엽서,PROC_000027,직각,R-PROC-1/4/5/6
PRD_000017,코팅엽서,PROC_000028,둥근,R-PROC-1/4/5/6
PRD_000018,스탠다드엽서,PROC_000029,|줄수블록,R-PROC-2
PRD_000018,스탠다드엽서,PROC_000030,|줄수블록,R-PROC-2
PRD_000018,스탠다드엽서,PROC_000031,|개수블록,R-PROC-2
PRD_000018,스탠다드엽서,PROC_000032,|개수블록,R-PROC-2
PRD_000018,스탠다드엽서,PROC_000027,직각,R-PROC-1/4/5/6
PRD_000018,스탠다드엽서,PROC_000028,둥근,R-PROC-1/4/5/6
PRD_000019,투명엽서,PROC_000027,직각,R-PROC-1/4/5/6
PRD_000019,투명엽서,PROC_000028,둥근,R-PROC-1/4/5/6
PRD_000024,포토카드,PROC_000015,무광코팅(양면),R-PROC-5
PRD_000024,포토카드,PROC_000014,유광코팅(양면),R-PROC-5
PRD_000024,포토카드,PROC_000027,직각,R-PROC-1/4/5/6
PRD_000024,포토카드,PROC_000028,둥근,R-PROC-1/4/5/6
PRD_000025,투명포토카드,PROC_000027,직각,R-PROC-1/4/5/6
PRD_000025,투명포토카드,PROC_000028,둥근,R-PROC-1/4/5/6
PRD_000026,종이슬로건,PROC_000015,무광코팅(양면),R-PROC-5
PRD_000026,종이슬로건,PROC_000014,유광코팅(양면),R-PROC-5
PRD_000027,2단접지카드,PROC_000031,|개수블록,R-PROC-2
PRD_000027,2단접지카드,PROC_000032,|개수블록,R-PROC-2
PRD_000027,2단접지카드,PROC_000038,금유광,R-PROC-1/4/5/6
PRD_000027,2단접지카드,PROC_000039,은유광,R-PROC-1/4/5/6
PRD_000027,2단접지카드,PROC_000041,동박,R-PROC-1/4/5/6
PRD_000027,2단접지카드,PROC_000040,먹유광,R-PROC-1/4/5/6
PRD_000027,2단접지카드,PROC_000043,청박,R-PROC-1/4/5/6
PRD_000027,2단접지카드,PROC_000042,적박,R-PROC-1/4/5/6
PRD_000027,2단접지카드,PROC_000037,홀로그램,R-PROC-1/4/5/6
PRD_000027,2단접지카드,PROC_000044,트윙클,R-PROC-1/4/5/6
PRD_000028,미니접지카드,PROC_000031,|개수블록,R-PROC-2
PRD_000028,미니접지카드,PROC_000032,|개수블록,R-PROC-2
PRD_000029,3단접지카드,PROC_000031,|개수블록,R-PROC-2
PRD_000029,3단접지카드,PROC_000032,|개수블록,R-PROC-2
PRD_000029,3단접지카드,PROC_000038,금유광,R-PROC-1/4/5/6
PRD_000029,3단접지카드,PROC_000039,은유광,R-PROC-1/4/5/6
PRD_000029,3단접지카드,PROC_000041,동박,R-PROC-1/4/5/6
PRD_000029,3단접지카드,PROC_000040,먹유광,R-PROC-1/4/5/6
PRD_000029,3단접지카드,PROC_000043,청박,R-PROC-1/4/5/6
PRD_000029,3단접지카드,PROC_000042,적박,R-PROC-1/4/5/6
PRD_000029,3단접지카드,PROC_000037,홀로그램,R-PROC-1/4/5/6
PRD_000029,3단접지카드,PROC_000044,트윙클,R-PROC-1/4/5/6
PRD_000030,지그재그엽서,PROC_000073,6단오시접지,R-PROC-1/4/5/6
PRD_000030,지그재그엽서,PROC_000074,6단미싱접지,R-PROC-1/4/5/6
PRD_000031,프리미엄명함,PROC_000031,|개수블록,R-PROC-2
PRD_000031,프리미엄명함,PROC_000032,|개수블록,R-PROC-2
PRD_000031,프리미엄명함,PROC_000027,직각,R-PROC-1/4/5/6
PRD_000031,프리미엄명함,PROC_000028,둥근,R-PROC-1/4/5/6
PRD_000031,프리미엄명함,PROC_000038,금유광,R-PROC-1/4/5/6
PRD_000031,프리미엄명함,PROC_000039,은유광,R-PROC-1/4/5/6
PRD_000031,프리미엄명함,PROC_000041,동박,R-PROC-1/4/5/6
PRD_000031,프리미엄명함,PROC_000040,먹유광,R-PROC-1/4/5/6
PRD_000031,프리미엄명함,PROC_000043,청박,R-PROC-1/4/5/6
PRD_000031,프리미엄명함,PROC_000042,적박,R-PROC-1/4/5/6
PRD_000031,프리미엄명함,PROC_000037,홀로그램,R-PROC-1/4/5/6
PRD_000031,프리미엄명함,PROC_000044,트윙클,R-PROC-1/4/5/6
PRD_000032,코팅명함,PROC_000015,무광코팅(단면),R-PROC-5
PRD_000032,코팅명함,PROC_000014,유광코팅(단면),R-PROC-5
PRD_000032,코팅명함,PROC_000027,직각,R-PROC-1/4/5/6
PRD_000032,코팅명함,PROC_000028,둥근,R-PROC-1/4/5/6
PRD_000033,스탠다드명함,PROC_000031,|개수블록,R-PROC-2
PRD_000033,스탠다드명함,PROC_000032,|개수블록,R-PROC-2
PRD_000033,스탠다드명함,PROC_000027,직각,R-PROC-1/4/5/6
PRD_000033,스탠다드명함,PROC_000028,둥근,R-PROC-1/4/5/6
PRD_000034,펄명함,PROC_000027,직각,R-PROC-1/4/5/6
PRD_000034,펄명함,PROC_000028,둥근,R-PROC-1/4/5/6
