prd_cd,prd_nm,key,src_token,rule_id
PRD_000016,프리미엄엽서,73x98,73 x 98 mm,R-SIZE-1
PRD_000016,프리미엄엽서,98x98,98 x 98 mm,R-SIZE-1
PRD_000016,프리미엄엽서,100x150,100 x 150 mm,R-SIZE-1
PRD_000016,프리미엄엽서,135x135,135 x 135 mm,R-SIZE-1
PRD_000016,프리미엄엽서,95x210,95 x 210 mm,R-SIZE-1
PRD_000016,프리미엄엽서,110x170,110 x 170 mm,R-SIZE-1
PRD_000016,프리미엄엽서,148x210,148 x 210 mm,R-SIZE-1
PRD_000017,코팅엽서,73x98,73 x 98 mm,R-SIZE-1
PRD_000017,코팅엽서,98x98,98 x 98 mm,R-SIZE-1
PRD_000017,코팅엽서,100x150,100 x 150 mm,R-SIZE-1
PRD_000017,코팅엽서,135x135,135 x 135 mm,R-SIZE-1
PRD_000017,코팅엽서,95x210,95 x 210 mm,R-SIZE-1
PRD_000017,코팅엽서,110x170,110 x 170 mm,R-SIZE-1
PRD_000017,코팅엽서,148x210,148 x 210 mm,R-SIZE-1
PRD_000018,스탠다드엽서,73x98,73 x 98 mm,R-SIZE-1
PRD_000018,스탠다드엽서,98x98,98 x 98 mm,R-SIZE-1
PRD_000018,스탠다드엽서,100x150,100 x 150 mm,R-SIZE-1
PRD_000018,스탠다드엽서,135x135,135 x 135 mm,R-SIZE-1
PRD_000018,스탠다드엽서,148x210,148 x 210 mm,R-SIZE-1
PRD_000019,투명엽서,98x98,98 x 98 mm,R-SIZE-1
PRD_000019,투명엽서,100x150,100 x 150 mm,R-SIZE-1
PRD_000019,투명엽서,135x135,135 x 135 mm,R-SIZE-1
PRD_000019,투명엽서,148x210,148 x 210 mm,R-SIZE-1
PRD_000020,화이트인쇄엽서,98x98,98 x 98 mm,R-SIZE-1
PRD_000020,화이트인쇄엽서,100x150,100 x 150 mm,R-SIZE-1
PRD_000020,화이트인쇄엽서,135x135,135 x 135 mm,R-SIZE-1
PRD_000020,화이트인쇄엽서,148x210,148 x 210 mm,R-SIZE-1
PRD_000021,핑크별색엽서,98x98,98 x 98 mm,R-SIZE-1
PRD_000021,핑크별색엽서,100x150,100 x 150 mm,R-SIZE-1
PRD_000021,핑크별색엽서,135x135,135 x 135 mm,R-SIZE-1
PRD_000021,핑크별색엽서,148x210,148 x 210 mm,R-SIZE-1
PRD_000022,금은별색엽서,98x98,98 x 98 mm,R-SIZE-1
PRD_000022,금은별색엽서,100x150,100 x 150 mm,R-SIZE-1
PRD_000022,금은별색엽서,135x135,135 x 135 mm,R-SIZE-1
PRD_000022,금은별색엽서,148x210,148 x 210 mm,R-SIZE-1
PRD_000023,모양엽서,90x90,90 x 90 mm,R-SIZE-1
PRD_000024,포토카드,55x86,55 x 86 mm,R-SIZE-1
PRD_000025,투명포토카드,55x86,55 x 86 mm,R-SIZE-1
PRD_000026,종이슬로건,300x100,300 x 100 mm,R-SIZE-1
PRD_000026,종이슬로건,400x145,400 x 145 mm,R-SIZE-1
PRD_000027,2단접지카드,100x150,100 x 150 mm,R-SIZE-1
PRD_000027,2단접지카드,150x100,150 x 100 mm,R-SIZE-1
PRD_000027,2단접지카드,135x135,135 x 135 mm,R-SIZE-1
PRD_000027,2단접지카드,110x170,110 x 170 mm,R-SIZE-1
PRD_000027,2단접지카드,170x110,170 x 110 mm,R-SIZE-1
PRD_000028,미니접지카드,90x50,90 x 50 mm,R-SIZE-1
PRD_000028,미니접지카드,50x90,50 x 90 mm,R-SIZE-1
PRD_000028,미니접지카드,86x52,86 x 52 mm,R-SIZE-1
PRD_000028,미니접지카드,52x86,52 x  86 mm,R-SIZE-1
PRD_000029,3단접지카드,100x150,100 x 150 mm,R-SIZE-1
PRD_000029,3단접지카드,150x100,150 x 100 mm,R-SIZE-1
PRD_000029,3단접지카드,135x135,135 x 135 mm,R-SIZE-1
PRD_000029,3단접지카드,135x135,135 x 135 mm,R-SIZE-1
PRD_000030,지그재그엽서,600x150,600 x 150 mm,R-SIZE-1
PRD_000030,지그재그엽서,150x600,150 x 600 mm,R-SIZE-1
PRD_000031,프리미엄명함,90x50,90 x 50 mm,R-SIZE-1
PRD_000031,프리미엄명함,90x55,90 x 55 mm,R-SIZE-1
PRD_000031,프리미엄명함,86x52,86 x 52 mm,R-SIZE-1
PRD_000032,코팅명함,90x50,90 x 50 mm,R-SIZE-1
PRD_000032,코팅명함,86x52,86 x 52 mm,R-SIZE-1
PRD_000033,스탠다드명함,90x50,90 x 50 mm,R-SIZE-1
PRD_000033,스탠다드명함,86x52,86 x 52 mm,R-SIZE-1
PRD_000034,펄명함,90x50,90 x 50 mm,R-SIZE-1
PRD_000035,모양명함,90x50,90 x 50 mm,R-SIZE-1
