sql_file,sql_block_no,source_csv,source_row_no,natural_key
00_resync_sequence.sql,1,(live diagnosis: comp_price_id seq stale),0,setval t_prc_component_prices_comp_price_id_seq
01_t_prc_price_formulas.sql,1,t_prc_price_formulas_DGP.csv,2,PRF_DGP_A
01_t_prc_price_formulas.sql,2,t_prc_price_formulas_DGP.csv,3,PRF_DGP_B
01_t_prc_price_formulas.sql,3,t_prc_price_formulas_DGP.csv,4,PRF_DGP_C
01_t_prc_price_formulas.sql,4,t_prc_price_formulas_DGP.csv,5,PRF_DGP_D
01_t_prc_price_formulas.sql,5,t_prc_price_formulas_DGP.csv,6,PRF_DGP_E
01_t_prc_price_formulas.sql,6,t_prc_price_formulas_DGP.csv,7,PRF_DGP_F
02_t_prc_price_components.sql,1,t_prc_price_components_PAPER.csv,2,COMP_PAPER
03_t_prc_formula_components.sql,1,t_prc_formula_components_DGP.csv,2,PRF_DGP_A|COMP_PRINT_DIGITAL_S1
03_t_prc_formula_components.sql,2,t_prc_formula_components_DGP.csv,3,PRF_DGP_A|COMP_PRINT_DIGITAL_S2
03_t_prc_formula_components.sql,3,t_prc_formula_components_DGP.csv,4,PRF_DGP_A|COMP_PRINT_SPOT_WHITE_S1
03_t_prc_formula_components.sql,4,t_prc_formula_components_DGP.csv,5,PRF_DGP_A|COMP_PRINT_SPOT_WHITE_S2
03_t_prc_formula_components.sql,5,t_prc_formula_components_DGP.csv,6,PRF_DGP_A|COMP_PRINT_SPOT_CLEAR_S1
03_t_prc_formula_components.sql,6,t_prc_formula_components_DGP.csv,7,PRF_DGP_A|COMP_PRINT_SPOT_CLEAR_S2
03_t_prc_formula_components.sql,7,t_prc_formula_components_DGP.csv,8,PRF_DGP_A|COMP_PRINT_SPOT_PINK_S1
03_t_prc_formula_components.sql,8,t_prc_formula_components_DGP.csv,9,PRF_DGP_A|COMP_PRINT_SPOT_PINK_S2
03_t_prc_formula_components.sql,9,t_prc_formula_components_DGP.csv,10,PRF_DGP_A|COMP_PRINT_SPOT_GOLD_S1
03_t_prc_formula_components.sql,10,t_prc_formula_components_DGP.csv,11,PRF_DGP_A|COMP_PRINT_SPOT_GOLD_S2
03_t_prc_formula_components.sql,11,t_prc_formula_components_DGP.csv,12,PRF_DGP_A|COMP_PRINT_SPOT_SILVER_S1
03_t_prc_formula_components.sql,12,t_prc_formula_components_DGP.csv,13,PRF_DGP_A|COMP_PRINT_SPOT_SILVER_S2
03_t_prc_formula_components.sql,13,t_prc_formula_components_DGP.csv,14,PRF_DGP_A|COMP_COAT_GLOSSY
03_t_prc_formula_components.sql,14,t_prc_formula_components_DGP.csv,15,PRF_DGP_A|COMP_COAT_MATTE
03_t_prc_formula_components.sql,15,t_prc_formula_components_DGP.csv,16,PRF_DGP_A|COMP_PAPER
03_t_prc_formula_components.sql,16,t_prc_formula_components_DGP.csv,17,PRF_DGP_A|COMP_PP_CREASE_1L
03_t_prc_formula_components.sql,17,t_prc_formula_components_DGP.csv,18,PRF_DGP_A|COMP_PP_CREASE_2L
03_t_prc_formula_components.sql,18,t_prc_formula_components_DGP.csv,19,PRF_DGP_A|COMP_PP_CREASE_3L
