적용일,공정,수량(이상),고정,비고
,PROC_000059,1,5000.0,
,PROC_000060,1,6000.0,
,PROC_000073,1,6000.0,
,PROC_000074,1,6000.0,
,PROC_000059,2,3000.0,
,PROC_000060,2,4000.0,
,PROC_000073,2,5600.0,
,PROC_000074,2,5600.0,
,PROC_000059,3,2000.0,
,PROC_000060,3,3000.0,
,PROC_000073,3,5100.0,
,PROC_000074,3,5100.0,
,PROC_000059,4,1500.0,
,PROC_000060,4,2000.0,
,PROC_000073,4,4600.0,
,PROC_000074,4,4600.0,
,PROC_000059,5,1000.0,
,PROC_000060,5,1500.0,
,PROC_000073,5,4000.0,
,PROC_000074,5,4000.0,
,PROC_000059,6,900.0,
,PROC_000060,6,1400.0,
,PROC_000073,6,3500.0,
,PROC_000074,6,3500.0,
,PROC_000059,7,900.0,
,PROC_000060,7,1300.0,
,PROC_000073,7,3000.0,
,PROC_000074,7,3000.0,
,PROC_000059,8,800.0,
,PROC_000060,8,1100.0,
,PROC_000073,8,2500.0,
,PROC_000074,8,2500.0,
,PROC_000059,9,800.0,
,PROC_000060,9,1000.0,
,PROC_000073,9,2000.0,
,PROC_000074,9,2000.0,
,PROC_000059,10,700.0,
,PROC_000060,10,800.0,
,PROC_000073,10,1500.0,
,PROC_000074,10,1500.0,
,PROC_000059,15,650.0,
,PROC_000060,15,750.0,
,PROC_000073,15,1375.0,
,PROC_000074,15,1375.0,
,PROC_000059,20,600.0,
,PROC_000060,20,700.0,
,PROC_000073,20,1250.0,
,PROC_000074,20,1250.0,
,PROC_000059,25,550.0,
,PROC_000060,25,650.0,
,PROC_000073,25,1125.0,
,PROC_000074,25,1125.0,
,PROC_000059,30,500.0,
,PROC_000060,30,600.0,
,PROC_000073,30,1000.0,
,PROC_000074,30,1000.0,
,PROC_000059,35,480.0,
,PROC_000060,35,570.0,
,PROC_000073,35,875.0,
,PROC_000074,35,875.0,
,PROC_000059,40,460.0,
,PROC_000060,40,540.0,
,PROC_000073,40,750.0,
,PROC_000074,40,750.0,
,PROC_000059,45,440.0,
,PROC_000060,45,510.0,
,PROC_000073,45,625.0,
,PROC_000074,45,625.0,
,PROC_000059,50,420.0,
,PROC_000060,50,480.0,
,PROC_000073,50,500.0,
,PROC_000074,50,500.0,
,PROC_000059,60,390.0,
,PROC_000060,60,450.0,
,PROC_000073,60,460.0,
,PROC_000074,60,460.0,
,PROC_000059,70,360.0,
,PROC_000060,70,420.0,
,PROC_000073,70,420.0,
,PROC_000074,70,420.0,
,PROC_000059,80,330.0,
,PROC_000060,80,390.0,
,PROC_000073,80,380.0,
,PROC_000074,80,380.0,
,PROC_000059,90,300.0,
,PROC_000060,90,360.0,
,PROC_000073,90,340.0,
,PROC_000074,90,340.0,
