적용일,공정,앞면코팅,뒷면코팅,판형사이즈,코팅면수,수량(이상),단가,비고
,PROC_000015,,,SIZ_000499,1,1,2000.0,
,PROC_000015,,,SIZ_000499,2,1,4000.0,
,PROC_000014,,,SIZ_000499,1,1,2000.0,
,PROC_000014,,,SIZ_000499,2,1,4000.0,
,PROC_000015,,,SIZ_000499,1,2,1500.0,
,PROC_000015,,,SIZ_000499,2,2,3000.0,
,PROC_000014,,,SIZ_000499,1,2,1500.0,
,PROC_000014,,,SIZ_000499,2,2,3000.0,
,PROC_000015,,,SIZ_000499,1,5,1200.0,
,PROC_000015,,,SIZ_000499,2,5,2400.0,
,PROC_000014,,,SIZ_000499,1,5,1200.0,
,PROC_000014,,,SIZ_000499,2,5,2400.0,
,PROC_000015,,,SIZ_000499,1,10,1000.0,
,PROC_000015,,,SIZ_000499,2,10,2000.0,
,PROC_000014,,,SIZ_000499,1,10,1000.0,
,PROC_000014,,,SIZ_000499,2,10,2000.0,
,PROC_000015,,,SIZ_000499,1,20,800.0,
,PROC_000015,,,SIZ_000499,2,20,1600.0,
,PROC_000014,,,SIZ_000499,1,20,800.0,
,PROC_000014,,,SIZ_000499,2,20,1600.0,
,PROC_000015,,,SIZ_000499,1,30,800.0,
,PROC_000015,,,SIZ_000499,2,30,1600.0,
,PROC_000014,,,SIZ_000499,1,30,800.0,
,PROC_000014,,,SIZ_000499,2,30,1600.0,
,PROC_000015,,,SIZ_000499,1,40,700.0,
,PROC_000015,,,SIZ_000499,2,40,1400.0,
,PROC_000014,,,SIZ_000499,1,40,700.0,
,PROC_000014,,,SIZ_000499,2,40,1400.0,
,PROC_000015,,,SIZ_000499,1,50,700.0,
,PROC_000015,,,SIZ_000499,2,50,1400.0,
,PROC_000014,,,SIZ_000499,1,50,700.0,
,PROC_000014,,,SIZ_000499,2,50,1400.0,
,PROC_000015,,,SIZ_000499,1,70,600.0,
,PROC_000015,,,SIZ_000499,2,70,1200.0,
,PROC_000014,,,SIZ_000499,1,70,600.0,
,PROC_000014,,,SIZ_000499,2,70,1200.0,
,PROC_000015,,,SIZ_000499,1,100,500.0,
,PROC_000015,,,SIZ_000499,2,100,1000.0,
,PROC_000014,,,SIZ_000499,1,100,500.0,
,PROC_000014,,,SIZ_000499,2,100,1000.0,
,PROC_000015,,,SIZ_000499,1,150,400.0,
,PROC_000015,,,SIZ_000499,2,150,800.0,
,PROC_000014,,,SIZ_000499,1,150,400.0,
,PROC_000014,,,SIZ_000499,2,150,800.0,
,PROC_000015,,,SIZ_000499,1,200,300.0,
,PROC_000015,,,SIZ_000499,2,200,600.0,
,PROC_000014,,,SIZ_000499,1,200,300.0,
,PROC_000014,,,SIZ_000499,2,200,600.0,
,PROC_000015,,,SIZ_000499,1,250,300.0,
,PROC_000015,,,SIZ_000499,2,250,600.0,
,PROC_000014,,,SIZ_000499,1,250,300.0,
,PROC_000014,,,SIZ_000499,2,250,600.0,
,PROC_000015,,,SIZ_000499,1,300,250.0,
,PROC_000015,,,SIZ_000499,2,300,500.0,
,PROC_000014,,,SIZ_000499,1,300,250.0,
,PROC_000014,,,SIZ_000499,2,300,500.0,
,PROC_000015,,,SIZ_000499,1,400,200.0,
,PROC_000015,,,SIZ_000499,2,400,400.0,
,PROC_000014,,,SIZ_000499,1,400,200.0,
,PROC_000014,,,SIZ_000499,2,400,400.0,
,PROC_000015,,,SIZ_000499,1,500,180.0,
,PROC_000015,,,SIZ_000499,2,500,360.0,
,PROC_000014,,,SIZ_000499,1,500,180.0,
,PROC_000014,,,SIZ_000499,2,500,360.0,
,PROC_000015,,,SIZ_000499,1,700,160.0,
,PROC_000015,,,SIZ_000499,2,700,320.0,
,PROC_000014,,,SIZ_000499,1,700,160.0,
,PROC_000014,,,SIZ_000499,2,700,320.0,
,PROC_000015,,,SIZ_000499,1,900,140.0,
,PROC_000015,,,SIZ_000499,2,900,280.0,
,PROC_000014,,,SIZ_000499,1,900,140.0,
,PROC_000014,,,SIZ_000499,2,900,280.0,
,PROC_000015,,,SIZ_000499,1,1000,130.0,
,PROC_000015,,,SIZ_000499,2,1000,260.0,
,PROC_000014,,,SIZ_000499,1,1000,130.0,
,PROC_000014,,,SIZ_000499,2,1000,260.0,
,PROC_000015,,,SIZ_000499,1,1500,120.0,
,PROC_000015,,,SIZ_000499,2,1500,240.0,
,PROC_000014,,,SIZ_000499,1,1500,120.0,
,PROC_000014,,,SIZ_000499,2,1500,240.0,
,PROC_000015,,,SIZ_000499,1,2500,110.0,
,PROC_000015,,,SIZ_000499,2,2500,220.0,
,PROC_000014,,,SIZ_000499,1,2500,110.0,
,PROC_000014,,,SIZ_000499,2,2500,220.0,
,PROC_000015,,,SIZ_000499,1,5000,100.0,
,PROC_000015,,,SIZ_000499,2,5000,200.0,
,PROC_000014,,,SIZ_000499,1,5000,100.0,
,PROC_000014,,,SIZ_000499,2,5000,200.0,
,PROC_000015,,,SIZ_000499,1,1000000,100.0,
,PROC_000015,,,SIZ_000499,2,1000000,200.0,
,PROC_000014,,,SIZ_000499,1,1000000,100.0,
,PROC_000014,,,SIZ_000499,2,1000000,200.0,
