적용일,공정,앞면코팅,뒷면코팅,판형사이즈,코팅면수,수량(이상),단가,비고
,PROC_000015,,,SIZ_000475,1,1,3000.0,
,PROC_000015,,,SIZ_000475,2,1,6000.0,
,PROC_000014,,,SIZ_000475,1,1,3000.0,
,PROC_000014,,,SIZ_000475,2,1,6000.0,
,PROC_000015,,,SIZ_000475,1,2,2500.0,
,PROC_000015,,,SIZ_000475,2,2,5000.0,
,PROC_000014,,,SIZ_000475,1,2,2500.0,
,PROC_000014,,,SIZ_000475,2,2,5000.0,
,PROC_000015,,,SIZ_000475,1,5,2000.0,
,PROC_000015,,,SIZ_000475,2,5,4000.0,
,PROC_000014,,,SIZ_000475,1,5,2000.0,
,PROC_000014,,,SIZ_000475,2,5,4000.0,
,PROC_000015,,,SIZ_000475,1,10,1500.0,
,PROC_000015,,,SIZ_000475,2,10,3000.0,
,PROC_000014,,,SIZ_000475,1,10,1500.0,
,PROC_000014,,,SIZ_000475,2,10,3000.0,
,PROC_000015,,,SIZ_000475,1,20,1200.0,
,PROC_000015,,,SIZ_000475,2,20,2400.0,
,PROC_000014,,,SIZ_000475,1,20,1200.0,
,PROC_000014,,,SIZ_000475,2,20,2400.0,
,PROC_000015,,,SIZ_000475,1,30,1200.0,
,PROC_000015,,,SIZ_000475,2,30,2400.0,
,PROC_000014,,,SIZ_000475,1,30,1200.0,
,PROC_000014,,,SIZ_000475,2,30,2400.0,
,PROC_000015,,,SIZ_000475,1,40,1050.0,
,PROC_000015,,,SIZ_000475,2,40,2100.0,
,PROC_000014,,,SIZ_000475,1,40,1050.0,
,PROC_000014,,,SIZ_000475,2,40,2100.0,
,PROC_000015,,,SIZ_000475,1,50,1050.0,
,PROC_000015,,,SIZ_000475,2,50,2100.0,
,PROC_000014,,,SIZ_000475,1,50,1050.0,
,PROC_000014,,,SIZ_000475,2,50,2100.0,
,PROC_000015,,,SIZ_000475,1,70,900.0,
,PROC_000015,,,SIZ_000475,2,70,1800.0,
,PROC_000014,,,SIZ_000475,1,70,900.0,
,PROC_000014,,,SIZ_000475,2,70,1800.0,
,PROC_000015,,,SIZ_000475,1,100,750.0,
,PROC_000015,,,SIZ_000475,2,100,1500.0,
,PROC_000014,,,SIZ_000475,1,100,750.0,
,PROC_000014,,,SIZ_000475,2,100,1500.0,
,PROC_000015,,,SIZ_000475,1,150,600.0,
,PROC_000015,,,SIZ_000475,2,150,1200.0,
,PROC_000014,,,SIZ_000475,1,150,600.0,
,PROC_000014,,,SIZ_000475,2,150,1200.0,
,PROC_000015,,,SIZ_000475,1,200,450.0,
,PROC_000015,,,SIZ_000475,2,200,900.0,
,PROC_000014,,,SIZ_000475,1,200,450.0,
,PROC_000014,,,SIZ_000475,2,200,900.0,
,PROC_000015,,,SIZ_000475,1,250,450.0,
,PROC_000015,,,SIZ_000475,2,250,900.0,
,PROC_000014,,,SIZ_000475,1,250,450.0,
,PROC_000014,,,SIZ_000475,2,250,900.0,
,PROC_000015,,,SIZ_000475,1,300,380.0,
,PROC_000015,,,SIZ_000475,2,300,760.0,
,PROC_000014,,,SIZ_000475,1,300,380.0,
,PROC_000014,,,SIZ_000475,2,300,760.0,
,PROC_000015,,,SIZ_000475,1,400,300.0,
,PROC_000015,,,SIZ_000475,2,400,600.0,
,PROC_000014,,,SIZ_000475,1,400,300.0,
,PROC_000014,,,SIZ_000475,2,400,600.0,
,PROC_000015,,,SIZ_000475,1,500,270.0,
,PROC_000015,,,SIZ_000475,2,500,540.0,
,PROC_000014,,,SIZ_000475,1,500,270.0,
,PROC_000014,,,SIZ_000475,2,500,540.0,
,PROC_000015,,,SIZ_000475,1,700,240.0,
,PROC_000015,,,SIZ_000475,2,700,480.0,
,PROC_000014,,,SIZ_000475,1,700,240.0,
,PROC_000014,,,SIZ_000475,2,700,480.0,
,PROC_000015,,,SIZ_000475,1,900,210.0,
,PROC_000015,,,SIZ_000475,2,900,420.0,
,PROC_000014,,,SIZ_000475,1,900,210.0,
,PROC_000014,,,SIZ_000475,2,900,420.0,
,PROC_000015,,,SIZ_000475,1,1000,200.0,
,PROC_000015,,,SIZ_000475,2,1000,400.0,
,PROC_000014,,,SIZ_000475,1,1000,200.0,
,PROC_000014,,,SIZ_000475,2,1000,400.0,
,PROC_000015,,,SIZ_000475,1,1500,180.0,
,PROC_000015,,,SIZ_000475,2,1500,360.0,
,PROC_000014,,,SIZ_000475,1,1500,180.0,
,PROC_000014,,,SIZ_000475,2,1500,360.0,
,PROC_000015,,,SIZ_000475,1,2500,170.0,
,PROC_000015,,,SIZ_000475,2,2500,340.0,
,PROC_000014,,,SIZ_000475,1,2500,170.0,
,PROC_000014,,,SIZ_000475,2,2500,340.0,
,PROC_000015,,,SIZ_000475,1,5000,150.0,
,PROC_000015,,,SIZ_000475,2,5000,300.0,
,PROC_000014,,,SIZ_000475,1,5000,150.0,
,PROC_000014,,,SIZ_000475,2,5000,300.0,
,PROC_000015,,,SIZ_000475,1,1000000,150.0,
,PROC_000015,,,SIZ_000475,2,1000000,300.0,
,PROC_000014,,,SIZ_000475,1,1000000,150.0,
,PROC_000014,,,SIZ_000475,2,1000000,300.0,
