적용일,판형사이즈,공정,앞면별색,뒷면별색,별색면수,수량(이상),단가,비고
,SIZ_000499,PROC_000009,,,1,20,1300.0,
,SIZ_000499,PROC_000009,,,2,20,2600.0,
,SIZ_000499,PROC_000010,,,1,20,1450.0,
,SIZ_000499,PROC_000010,,,2,20,2900.0,
,SIZ_000499,PROC_000011,,,1,20,1450.0,
,SIZ_000499,PROC_000011,,,2,20,2900.0,
,SIZ_000499,PROC_000012,,,1,20,1450.0,
,SIZ_000499,PROC_000012,,,2,20,2900.0,
,SIZ_000499,PROC_000008,,,1,25,1250.0,
,SIZ_000499,PROC_000008,,,2,25,2500.0,
,SIZ_000499,PROC_000009,,,1,25,1250.0,
,SIZ_000499,PROC_000009,,,2,25,2500.0,
,SIZ_000499,PROC_000010,,,1,25,1400.0,
,SIZ_000499,PROC_000010,,,2,25,2800.0,
,SIZ_000499,PROC_000011,,,1,25,1400.0,
,SIZ_000499,PROC_000011,,,2,25,2800.0,
,SIZ_000499,PROC_000012,,,1,25,1400.0,
,SIZ_000499,PROC_000012,,,2,25,2800.0,
,SIZ_000499,PROC_000008,,,1,30,1200.0,
,SIZ_000499,PROC_000008,,,2,30,2400.0,
,SIZ_000499,PROC_000009,,,1,30,1200.0,
,SIZ_000499,PROC_000009,,,2,30,2400.0,
,SIZ_000499,PROC_000010,,,1,30,1350.0,
,SIZ_000499,PROC_000010,,,2,30,2700.0,
,SIZ_000499,PROC_000011,,,1,30,1350.0,
,SIZ_000499,PROC_000011,,,2,30,2700.0,
,SIZ_000499,PROC_000012,,,1,30,1350.0,
,SIZ_000499,PROC_000012,,,2,30,2700.0,
,SIZ_000499,PROC_000008,,,1,35,1150.0,
,SIZ_000499,PROC_000008,,,2,35,2300.0,
,SIZ_000499,PROC_000009,,,1,35,1150.0,
,SIZ_000499,PROC_000009,,,2,35,2300.0,
,SIZ_000499,PROC_000010,,,1,35,1300.0,
,SIZ_000499,PROC_000010,,,2,35,2600.0,
,SIZ_000499,PROC_000011,,,1,35,1300.0,
,SIZ_000499,PROC_000011,,,2,35,2600.0,
,SIZ_000499,PROC_000012,,,1,35,1300.0,
,SIZ_000499,PROC_000012,,,2,35,2600.0,
,SIZ_000499,PROC_000008,,,1,40,1100.0,
,SIZ_000499,PROC_000008,,,2,40,2200.0,
,SIZ_000499,PROC_000009,,,1,40,1100.0,
,SIZ_000499,PROC_000009,,,2,40,2200.0,
,SIZ_000499,PROC_000010,,,1,40,1250.0,
,SIZ_000499,PROC_000010,,,2,40,2500.0,
,SIZ_000499,PROC_000011,,,1,40,1250.0,
,SIZ_000499,PROC_000011,,,2,40,2500.0,
,SIZ_000499,PROC_000012,,,1,40,1250.0,
,SIZ_000499,PROC_000012,,,2,40,2500.0,
,SIZ_000499,PROC_000008,,,1,45,1050.0,
,SIZ_000499,PROC_000008,,,2,45,2100.0,
,SIZ_000499,PROC_000009,,,1,45,1050.0,
,SIZ_000499,PROC_000009,,,2,45,2100.0,
,SIZ_000499,PROC_000010,,,1,45,1200.0,
,SIZ_000499,PROC_000010,,,2,45,2400.0,
,SIZ_000499,PROC_000011,,,1,45,1200.0,
,SIZ_000499,PROC_000011,,,2,45,2400.0,
,SIZ_000499,PROC_000012,,,1,45,1200.0,
,SIZ_000499,PROC_000012,,,2,45,2400.0,
,SIZ_000499,PROC_000008,,,1,50,1000.0,
,SIZ_000499,PROC_000008,,,2,50,2000.0,
,SIZ_000499,PROC_000009,,,1,50,1000.0,
,SIZ_000499,PROC_000009,,,2,50,2000.0,
,SIZ_000499,PROC_000010,,,1,50,1150.0,
,SIZ_000499,PROC_000010,,,2,50,2300.0,
,SIZ_000499,PROC_000011,,,1,50,1150.0,
,SIZ_000499,PROC_000011,,,2,50,2300.0,
,SIZ_000499,PROC_000012,,,1,50,1150.0,
,SIZ_000499,PROC_000012,,,2,50,2300.0,
,SIZ_000499,PROC_000008,,,1,60,1000.0,
,SIZ_000499,PROC_000008,,,2,60,2000.0,
,SIZ_000499,PROC_000009,,,1,60,1000.0,
,SIZ_000499,PROC_000009,,,2,60,2000.0,
,SIZ_000499,PROC_000010,,,1,60,1150.0,
,SIZ_000499,PROC_000010,,,2,60,2300.0,
,SIZ_000499,PROC_000011,,,1,60,1150.0,
,SIZ_000499,PROC_000011,,,2,60,2300.0,
,SIZ_000499,PROC_000012,,,1,60,1150.0,
,SIZ_000499,PROC_000012,,,2,60,2300.0,
,SIZ_000499,PROC_000008,,,1,70,950.0,
,SIZ_000499,PROC_000008,,,2,70,1900.0,
,SIZ_000499,PROC_000009,,,1,70,950.0,
,SIZ_000499,PROC_000009,,,2,70,1900.0,
,SIZ_000499,PROC_000010,,,1,70,1100.0,
,SIZ_000499,PROC_000010,,,2,70,2200.0,
,SIZ_000499,PROC_000011,,,1,70,1100.0,
,SIZ_000499,PROC_000011,,,2,70,2200.0,
,SIZ_000499,PROC_000012,,,1,70,1100.0,
,SIZ_000499,PROC_000012,,,2,70,2200.0,
,SIZ_000499,PROC_000008,,,1,80,900.0,
,SIZ_000499,PROC_000008,,,2,80,1800.0,
,SIZ_000499,PROC_000009,,,1,80,900.0,
,SIZ_000499,PROC_000009,,,2,80,1800.0,
,SIZ_000499,PROC_000010,,,1,80,1050.0,
,SIZ_000499,PROC_000010,,,2,80,2100.0,
