적용일,공정,줄수 (줄),수량(이상),고정,비고
2026-06-01,PROC_000086,1,1,5000.00,미싱/1줄 주문수량 1건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000086,2,1,6000.00,미싱/2줄 주문수량 1건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000086,3,1,7000.00,미싱/3줄 주문수량 1건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000086,1,50,5000.00,미싱/1줄 주문수량 50건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000086,2,50,6000.00,미싱/2줄 주문수량 50건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000086,3,50,7000.00,미싱/3줄 주문수량 50건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000086,1,100,10000.00,미싱/1줄 주문수량 100건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000086,2,100,12000.00,미싱/2줄 주문수량 100건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000086,3,100,14000.00,미싱/3줄 주문수량 100건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000086,1,300,15000.00,미싱/1줄 주문수량 300건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000086,2,300,17000.00,미싱/2줄 주문수량 300건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000086,3,300,19000.00,미싱/3줄 주문수량 300건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000086,1,301,17000.00,미싱/1줄 주문수량 301건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000086,2,301,19000.00,미싱/2줄 주문수량 301건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000086,3,301,21000.00,미싱/3줄 주문수량 301건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000086,1,1000,25000.00,미싱/1줄 주문수량 1000건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000086,2,1000,29000.00,미싱/2줄 주문수량 1000건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000086,3,1000,33000.00,미싱/3줄 주문수량 1000건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000086,1,2000,45000.00,미싱/1줄 주문수량 2000건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000086,2,2000,49000.00,미싱/2줄 주문수량 2000건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000086,3,2000,53000.00,미싱/3줄 주문수량 2000건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000086,1,3000,65000.00,미싱/1줄 주문수량 3000건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000086,2,3000,69000.00,미싱/2줄 주문수량 3000건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000086,3,3000,73000.00,미싱/3줄 주문수량 3000건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000086,1,4000,85000.00,미싱/1줄 주문수량 4000건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000086,2,4000,89000.00,미싱/2줄 주문수량 4000건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000086,3,4000,93000.00,미싱/3줄 주문수량 4000건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000086,1,5000,105000.00,미싱/1줄 주문수량 5000건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000086,2,5000,109000.00,미싱/2줄 주문수량 5000건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000086,3,5000,113000.00,미싱/3줄 주문수량 5000건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000086,1,6000,125000.00,미싱/1줄 주문수량 6000건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000086,2,6000,129000.00,미싱/2줄 주문수량 6000건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000086,3,6000,133000.00,미싱/3줄 주문수량 6000건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000086,1,7000,145000.00,미싱/1줄 주문수량 7000건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000086,2,7000,149000.00,미싱/2줄 주문수량 7000건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000086,3,7000,153000.00,미싱/3줄 주문수량 7000건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000086,1,8000,165000.00,미싱/1줄 주문수량 8000건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000086,2,8000,169000.00,미싱/2줄 주문수량 8000건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000086,3,8000,173000.00,미싱/3줄 주문수량 8000건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000086,1,9000,185000.00,미싱/1줄 주문수량 9000건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000086,2,9000,189000.00,미싱/2줄 주문수량 9000건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000086,3,9000,193000.00,미싱/3줄 주문수량 9000건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000086,1,10000,205000.00,미싱/1줄 주문수량 10000건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000086,2,10000,209000.00,미싱/2줄 주문수량 10000건 이상 / 작업 1건 고정 금액
2026-06-01,PROC_000086,3,10000,213000.00,미싱/3줄 주문수량 10000건 이상 / 작업 1건 고정 금액
