적용일	사이즈	인쇄옵션	옵션코드	수량(이상)	단가	비고
	SIZ_000003	POPT_000001	OPV_000491	1	11000	권위 엽서북떡메 B01 B5
	SIZ_000003	POPT_000001	OPV_000492	1	11500	권위 엽서북떡메 B01 C5
	SIZ_000003	POPT_000002	OPV_000491	1	11500	권위 엽서북떡메 B01 D5
	SIZ_000003	POPT_000002	OPV_000492	1	12500	권위 엽서북떡메 B01 E5
	SIZ_000103	POPT_000001	OPV_000491	1	11000	권위 엽서북떡메 B01 B5
	SIZ_000103	POPT_000001	OPV_000492	1	11500	권위 엽서북떡메 B01 C5
	SIZ_000103	POPT_000002	OPV_000491	1	11500	권위 엽서북떡메 B01 D5
	SIZ_000103	POPT_000002	OPV_000492	1	12500	권위 엽서북떡메 B01 E5
	SIZ_000004	POPT_000001	OPV_000491	1	12000	권위 엽서북떡메 B01 J5
	SIZ_000004	POPT_000001	OPV_000492	1	12500	권위 엽서북떡메 B01 K5
	SIZ_000004	POPT_000002	OPV_000491	1	12500	권위 엽서북떡메 B01 L5
	SIZ_000004	POPT_000002	OPV_000492	1	13500	권위 엽서북떡메 B01 M5
