category,cell,col,row,type,raw,norm
01 엽서,A2,A,2,section,▶︎엽서,엽서
02 스티커,B2,B,2,section,▶︎자유형 스티커,자유형스티커
03 인쇄홍보물,C2,C,2,section,▶︎명함,명함
04 포스터,D2,D,2,section,▶︎아트포스터,아트포스터
05 사인,E2,E,2,section,▶︎배너/현수막,배너현수막
06 책자,F2,F,2,section,▶︎책자,책자
07 캘린더,G2,G,2,section,▶︎탁상형캘린더,탁상형캘린더
08 문구,H2,H,2,section,▶︎플래너,플래너
09 아크릴,I2,I,2,section,▶︎단품형,단품형
10 라이프,J2,J,2,section,▶︎소품,소품
11 에코백,K2,K,2,section,▶︎레더파우치,레더파우치
12 포장,L2,L,2,section,▶︎포장재,포장재
01 엽서,A3,A,3,product,프리미엄엽서,프리미엄엽서
02 스티커,B3,B,3,product,반칼 자유형 스티커,반칼자유형스티커
03 인쇄홍보물,C3,C,3,product,프리미엄명함,프리미엄명함
04 포스터,D3,D,3,product,아트프린트포스터,아트프린트포스터
05 사인,E3,E,3,product,PET배너,PET배너
06 책자,F3,F,3,product,중철책자,중철책자
07 캘린더,G3,G,3,product,탁상형캘린더,탁상형캘린더
08 문구,H3,H,3,product,만년다이어리(레더소프트커버),만년다이어리레더소프트커버
09 아크릴,I3,I,3,product,아크릴키링,아크릴키링
10 라이프,J3,J,3,product,틴거울,틴거울
11 에코백,K3,K,3,product,레더 플랫 파우치,레더플랫파우치
12 포장,L3,L,3,product,인쇄배경지(OPP봉투타입),인쇄배경지OPP봉투타입
01 엽서,A4,A,4,product,코팅엽서,코팅엽서
02 스티커,B4,B,4,product,반칼 자유형 투명스티커,반칼자유형투명스티커
03 인쇄홍보물,C4,C,4,product,코팅명함,코팅명함
04 포스터,D4,D,4,product,아트페이퍼포스터,아트페이퍼포스터
05 사인,E4,E,4,product,메쉬배너,메쉬배너
06 책자,F4,F,4,product,무선책자,무선책자
07 캘린더,G4,G,4,product,미니탁상형캘린더,미니탁상형캘린더
