category,cell,col,row,type,raw,norm,sheet_grade,sheet_match,live_grade,live_prd_cd,live_opt_n,live_priced,status,reason
07 캘린더,G14,G,14,alias,→우드행거,우드행거,exact,우드행거,exact,PRD_000014,,,◆교차참조,별칭(→) — 본체 타 카테고리
08 문구,H14,H,14,product,중철노트,중철노트,exact,문구:중철노트,exact,PRD_000181,0,N,🟡신규출시,라이브 존재(PRD_000181)·결손:옵션0/가격사슬X
09 아크릴,I14,I,14,product,아크릴포카키링,아크릴포카키링,exact,아크릴:아크릴 포카키링,exact,PRD_000158,0,N,🟡신규출시,라이브 존재(PRD_000158)·결손:옵션0/가격사슬X
10 라이프,J14,J,14,product,우드코스터,우드코스터,exact,굿즈파우치:우드코스터,exact,PRD_000190,0,N,🟡신규출시,라이브 존재(PRD_000190)·결손:옵션0/가격사슬X
11 에코백,K14,K,14,product,캔버스 플랫 파우치,캔버스플랫파우치,exact,굿즈파우치:캔버스 플랫 파우치,exact,PRD_000239,0,N,🟡신규출시,라이브 존재(PRD_000239)·결손:옵션0/가격사슬X
01 엽서,A15,A,15,product,미니접지카드,미니접지카드,exact,디지털인쇄:미니접지카드,exact,PRD_000028,0,Y,🟡신규출시,라이브 존재(PRD_000028)·결손:옵션0
02 스티커,B15,B,15,product,반칼띠지스티커,반칼띠지스티커,exact,스티커:반칼띠지스티커,exact,PRD_000061,0,Y,🟡신규출시,라이브 존재(PRD_000061)·결손:옵션0
03 인쇄홍보물,C15,C,15,product,소량전단지,소량전단지,exact,디지털인쇄:소량전단지,exact,PRD_000047,53,Y,✅정상등록가능,라이브 opt=53·price사슬=Y
04 포스터,D15,D,15,product,레더아트프린트,레더아트프린트,exact,실사:레더아트프린트,exact,PRD_000126,0,Y,🟡신규출시,라이브 존재(PRD_000126)·결손:옵션0
05 사인,E15,E,15,section,▶︎POP,POP,-,➖N/A(section),-,,,,➖N/A,섹션 헤더(비상품)
06 책자,F15,F,15,product,여행포토북,여행포토북,none,,none,,,,❌미출시,데이터시트 0 AND 라이브 0
08 문구,H15,H,15,product,떡메모지,떡메모지,exact,책자:떡메모지,exact,PRD_000097,0,N,🟡신규출시,라이브 존재(PRD_000097)·결손:옵션0/가격사슬X
09 아크릴,I15,I,15,product,아크릴코스터,아크릴코스터,exact,아크릴:아크릴 코스터,exact,PRD_000159,0,N,🟡신규출시,라이브 존재(PRD_000159)·결손:옵션0/가격사슬X
10 라이프,J15,J,15,product,규조토코스터,규조토코스터,exact,굿즈파우치:규조토코스터,exact,PRD_000192,0,N,🟡신규출시,라이브 존재(PRD_000192)·결손:옵션0/가격사슬X
11 에코백,K15,K,15,product,캔버스 삼각 파우치,캔버스삼각파우치,exact,굿즈파우치:캔버스 삼각 파우치,exact,PRD_000240,0,N,🟡신규출시,라이브 존재(PRD_000240)·결손:옵션0/가격사슬X
12 포장,L15,L,15,section,▶︎라벨/포장스티커,라벨포장스티커,-,➖N/A(section),-,,,,➖N/A,섹션 헤더(비상품)
01 엽서,A16,A,16,product,지그재그엽서,지그재그엽서,exact,디지털인쇄:지그재그엽서,exact,PRD_000030,0,N,🟡신규출시,라이브 존재(PRD_000030)·결손:옵션0/가격사슬X
02 스티커,B16,B,16,product,반칼팬시스티커,반칼팬시스티커,exact,스티커:반칼팬시스티커,exact,PRD_000062,0,Y,🟡신규출시,라이브 존재(PRD_000062)·결손:옵션0
03 인쇄홍보물,C16,C,16,product,접지리플렛,접지리플렛,exact,디지털인쇄:접지리플렛,exact,PRD_000048,0,Y,🟡신규출시,라이브 존재(PRD_000048)·결손:옵션0
04 포스터,D16,D,16,product,타이벡프린트,타이벡프린트,exact,실사:타이벡프린트,exact,PRD_000127,0,Y,🟡신규출시,라이브 존재(PRD_000127)·결손:옵션0
05 사인,E16,E,16,product,미니스탠딩보드,미니스탠딩보드,alias,실사:미니보드스탠딩,alias,PRD_000144,0,Y,🟡신규출시,D-4 명명변형(어순) 재분류: 라이브 PRD_000144 opt0/priced=Y
06 책자,F16,F,16,product,큐티키즈포토북,큐티키즈포토북,none,,none,,,,❌미출시,데이터시트 0 AND 라이브 0
07 캘린더,G16,G,16,section,▶︎디자인캘린더,디자인캘린더,-,➖N/A(section),-,,,,➖N/A,섹션 헤더(비상품)
09 아크릴,I16,I,16,product,아크릴머리끈,아크릴머리끈,exact,아크릴:아크릴 머리끈,exact,PRD_000154,0,N,🟡신규출시,라이브 존재(PRD_000154)·결손:옵션0/가격사슬X
10 라이프,J16,J,16,product,린넨코스터,린넨코스터,alias,굿즈파우치:린넨패브릭코스터,alias,PRD_000191,0,N,🟡신규출시,D-4 명명변형 재분류: 라이브 PRD_000191 opt0/priced=0
11 에코백,K16,K,16,product,캔버스 스트랩 라벨파우치,캔버스스트랩라벨파우치,exact,굿즈파우치:캔버스 스트랩 라벨파우치,exact,PRD_000241,0,N,🟡신규출시,라이브 존재(PRD_000241)·결손:옵션0/가격사슬X
12 포장,L16,L,16,product,라벨/택,라벨택,exact,디지털인쇄:라벨/택,exact,PRD_000046,0,Y,🟡신규출시,라이브 존재(PRD_000046)·결손:옵션0
02 스티커,B17,B,17,product,반칼팬시투명스티커,반칼팬시투명스티커,exact,스티커:반칼팬시투명스티커,exact,PRD_000063,0,Y,🟡신규출시,라이브 존재(PRD_000063)·결손:옵션0
03 인쇄홍보물,C17,C,17,product,와이드접지리플랫,와이드접지리플랫,none,,none,,,,❌미출시,데이터시트 0 AND 라이브 0
