sheet,type,row_seq,ref,col,fill_rgb,fill_meaning,font_rgb,comment_author,comment_text,has_constraint_star,is_formula,formula,hyperlink,col_hidden,text
디자인캘린더(가격포함),cell,4,P4,인쇄사양,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,4,Q4,페이지사양,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,4,R4,캘린더사양_캘린더가공,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,4,S4,캘린더사양_링칼라,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,4,U4,제작수량(필수)_최소,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,4,V4,제작수량(필수)_최대,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,4,W4,제작수량(필수)_증가,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,4,X4,개별포장(옵션),,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,4,Y4,추가상품(옵션)_추가상품,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,4,Z4,추가상품(옵션)_추가가격,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,4,AA4,가이드파일,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,4,AB4,템플릿,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,4,AC4,디자인보유,,,FF31859B,,,,,,,,
디자인캘린더(가격포함),cell,4,AD4,AD,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,4,AE4,AE,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,4,AF4,AF,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,4,AG4,AG,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,4,AH4,AH,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,4,AI4,AI,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,4,AJ4,AJ,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,5,A5,구분,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,5,B5,ID,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,5,C5,MES ITEM_CD,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,5,D5,상품명,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,5,E5,사이즈(필수),,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,5,F5,파일사양_블리드,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,5,G5,파일사양_작업사이즈,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,5,H5,파일사양_재단사이즈,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,5,I5,파일사양_출력용지규격,,,Values must be of type <class 'str'>,,,,,,,true,
디자인캘린더(가격포함),cell,5,J5,파일사양_파일명약어,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,5,K5,파일사양_출력파일,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,5,L5,파일사양_폴더,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,5,M5,주문방법(필수)_업로드,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,5,N5,주문방법(필수)_편집기,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,5,O5,종이사양,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,5,P5,인쇄사양,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,5,Q5,페이지사양,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,5,R5,캘린더사양_캘린더가공,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,5,S5,캘린더사양_링칼라,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,5,U5,제작수량(필수)_최소,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,5,V5,제작수량(필수)_최대,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,5,W5,제작수량(필수)_증가,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,5,X5,개별포장(옵션),,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,5,Y5,추가상품(옵션)_추가상품,,,Values must be of type <class 'str'>,,,true,,,,,
디자인캘린더(가격포함),cell,5,Z5,추가상품(옵션)_추가가격,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,5,AA5,가이드파일,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,5,AB5,템플릿,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,5,AC5,디자인보유,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,5,AD5,AD,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,5,AE5,AE,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,5,AF5,AF,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,5,AG5,AG,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,5,AH5,AH,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,5,AI5,AI,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,5,AJ5,AJ,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,6,A6,구분,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,6,B6,ID,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,6,C6,MES ITEM_CD,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,6,D6,상품명,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,6,E6,사이즈(필수),,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,6,F6,파일사양_블리드,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,6,G6,파일사양_작업사이즈,,,Values must be of type <class 'str'>,,,,,,,,
