prd_cd,siz_cd,siz_nm,min_qty,max_qty,qty_incr,disp_seq,dflt_yn
PRD_000001,SIZ_000088,230x350mm,,,,1,Y
PRD_000001,SIZ_000087,160x230mm,,,,1,Y
PRD_000001,SIZ_000086,130x200mm,,,,1,Y
PRD_000001,SIZ_000085,110x160mm,,,,1,Y
PRD_000001,SIZ_000080,80x120mm,,,,1,Y
PRD_000001,SIZ_000079,80x100mm,,,,1,Y
PRD_000001,SIZ_000078,70x200mm,,,,1,Y
PRD_000001,SIZ_000084,100x200mm,,,,1,Y
PRD_000001,SIZ_000081,80x180mm,,,,1,Y
PRD_000001,SIZ_000082,90x120mm,,,,1,Y
PRD_000001,SIZ_000083,100x100mm,,,,1,Y
PRD_000002,SIZ_000079,80x100mm,,,,1,Y
PRD_000002,SIZ_000372,60x90mm,,,,1,Y
PRD_000002,SIZ_000095,160x250mm,,,,1,Y
PRD_000002,SIZ_000092,140x180mm,,,,1,Y
PRD_000002,SIZ_000091,110x250mm,,,,1,Y
PRD_000002,SIZ_000085,110x160mm,,,,1,Y
PRD_000002,SIZ_000081,80x180mm,,,,1,Y
PRD_000002,SIZ_000094,150x150mm,,,,1,Y
PRD_000002,SIZ_000093,140x200mm,,,,1,Y
PRD_000002,SIZ_000080,80x120mm,,,,1,Y
PRD_000003,SIZ_000103,70x100mm(100장),,,,1,Y
PRD_000003,SIZ_000096,160x110mm,,,,1,Y
PRD_000003,SIZ_000097,160x110mm(40장),,,,1,Y
PRD_000003,SIZ_000098,160x110mm(100장),,,,1,Y
PRD_000003,SIZ_000099,100x100mm(20장),,,,1,Y
PRD_000003,SIZ_000100,100x100mm(40장),,,,1,Y
PRD_000003,SIZ_000101,100x100mm(100장),,,,1,Y
PRD_000003,SIZ_000102,70x100mm,,,,1,Y
PRD_000004,SIZ_000104,165x115mm,,,,1,Y
PRD_000005,SIZ_000106,240x230mm,,,,1,Y
PRD_000005,SIZ_000107,150x310mm,,,,1,Y
PRD_000009,SIZ_000108,42x57x20mm,,,,1,Y
PRD_000009,SIZ_000110,75x110x15mm,,,,1,Y
PRD_000009,SIZ_000109,75x75x15mm,,,,1,Y
PRD_000011,SIZ_000111,20x20(20개입),,,,1,Y
PRD_000012,SIZ_000528,120mm,,,,1,Y
PRD_000013,SIZ_000529,270mm,,,,1,N
PRD_000013,SIZ_000530,360mm,,,,2,N
PRD_000013,SIZ_000531,480mm,,,,3,N
PRD_000016,SIZ_000004,135x135,,,,1,Y
PRD_000016,SIZ_000001,73x98,15,1000,15,1,Y
PRD_000016,SIZ_000005,95x210,,,,1,Y
PRD_000016,SIZ_000007,148x210,,,,1,Y
PRD_000016,SIZ_000006,110x170,,,,1,Y
PRD_000016,SIZ_000002,98x98,12,1000,12,1,Y
PRD_000016,SIZ_000003,100x150,,,,1,Y
PRD_000017,SIZ_000006,110x170,,,,1,Y
PRD_000017,SIZ_000002,98x98,,,,1,Y
PRD_000017,SIZ_000003,100x150,,,,1,Y
PRD_000017,SIZ_000004,135x135,,,,1,Y
PRD_000017,SIZ_000005,95x210,,,,1,Y
PRD_000017,SIZ_000007,148x210,,,,1,Y
PRD_000017,SIZ_000001,73x98,,,,1,Y
PRD_000018,SIZ_000007,148x210,,,,1,Y
PRD_000018,SIZ_000001,73x98,,,,1,Y
PRD_000018,SIZ_000003,100x150,,,,1,Y
PRD_000018,SIZ_000004,135x135,,,,1,Y
PRD_000018,SIZ_000002,98x98,,,,1,Y
PRD_000019,SIZ_000002,98x98,,,,1,Y
PRD_000019,SIZ_000003,100x150,,,,1,Y
PRD_000019,SIZ_000004,135x135,,,,1,Y
PRD_000019,SIZ_000007,148x210,,,,1,Y
PRD_000020,SIZ_000003,100x150,,,,1,Y
PRD_000020,SIZ_000002,98x98,,,,1,Y
PRD_000020,SIZ_000007,148x210,,,,1,Y
PRD_000020,SIZ_000004,135x135,,,,1,Y
PRD_000021,SIZ_000002,98x98,,,,1,Y
