prd_cd,prd_nm,min_qty,max_qty,qty_incr,dflt_qty
PRD_000001,OPP접착봉투,1,100,1,
PRD_000002,OPP비접착봉투,1,100,1,
PRD_000004,카드봉투,1,100,1,
PRD_000005,캘린더봉투,1,100,1,
PRD_000006,볼체인,1,100,1,
PRD_000007,와이어링,1,100,1,
PRD_000008,천정고리,1,100,1,
PRD_000009,투명케이스,1,100,1,
PRD_000010,행택끈,1,100,1,
PRD_000011,자석고정용고무판,1,100,1,
PRD_000012,우드거치대,1,100,1,
PRD_000013,우드봉,1,100,1,
PRD_000014,우드행거,1,100,1,
PRD_000015,만년스탬프 리필잉크,1,100,1,
PRD_000016,프리미엄엽서,15,10000,15,
PRD_000017,코팅엽서,15,10000,15,
PRD_000018,스탠다드엽서,15,10000,15,
PRD_000019,투명엽서,12,10000,12,
PRD_000020,화이트인쇄엽서,12,10000,12,
PRD_000021,핑크별색엽서,12,10000,12,
PRD_000022,금은별색엽서,12,10000,12,
PRD_000023,모양엽서,12,10000,12,
PRD_000024,포토카드,20,10000,20,
PRD_000025,투명포토카드,20,10000,20,
PRD_000026,종이슬로건,4,10000,4,
PRD_000027,2단접지카드,8,10000,8,
PRD_000028,미니접지카드,30,10000,30,
PRD_000029,3단접지카드,8,10000,8,
PRD_000030,지그재그엽서,2,10000,2,
PRD_000031,프리미엄명함,100,10000,100,
PRD_000032,코팅명함,100,10000,100,
PRD_000033,스탠다드명함,100,10000,100,
PRD_000034,펄명함,100,10000,100,
PRD_000035,모양명함,100,10000,100,
PRD_000036,미니모양명함,100,10000,100,
PRD_000037,오리지널박명함,200,1000,100,
PRD_000038,형압명함,100,10000,100,
PRD_000039,투명명함,100,10000,100,
PRD_000040,화이트인쇄명함,100,10000,100,
PRD_000041,스탠다드 쿠폰/상품권,12,10000,12,
PRD_000042,프리미엄 쿠폰/상품권,12,10000,12,
PRD_000043,인쇄배경지(OPP봉투타입),20,1000,20,
PRD_000044,인쇄배경지(투명케이스타입),20,1000,20,
PRD_000045,인쇄헤더택,20,1000,20,
PRD_000046,라벨/택,20,1000,20,
PRD_000047,소량전단지,2,100000,1,
PRD_000048,접지리플렛,2,100000,1,
PRD_000049,와이드 접지리플렛,2,100000,1,
PRD_000050,봉투제작,1000,5000,1000,
PRD_000051,썬캡,10,1000,10,
PRD_000052,반칼 자유형 스티커,8,10000,8,
PRD_000053,반칼 자유형 투명스티커,8,10000,8,
PRD_000054,반칼 자유형 홀로그램스티커,8,10000,8,
PRD_000055,낱장 자유형 스티커,1,10000,1,
PRD_000056,낱장 자유형 투명스티커,1,10000,1,
PRD_000057,대형 자유형 스티커,1,10000,1,
PRD_000058,반칼원형스티커,4,10000,4,
PRD_000059,반칼정사각스티커,4,10000,4,
PRD_000060,반칼직사각스티커,4,10000,4,
PRD_000061,반칼띠지스티커,4,10000,4,
PRD_000062,반칼팬시스티커,8,10000,8,
PRD_000063,반칼팬시투명스티커,8,10000,8,
PRD_000064,소량자유형스티커,32,1000,32,
PRD_000065,스티커팩,1,1000,1,
PRD_000066,합판도무송스티커,1000,5000,1000,
PRD_000067,타투스티커,3,1000,3,
PRD_000068,중철책자,2,1000,1,
PRD_000069,무선책자,2,1000,1,
PRD_000070,PUR책자,2,1000,1,
PRD_000071,트윈링책자,1,1000,1,
PRD_000072,하드커버책자,1,1000,1,
PRD_000073,하드커버책자-표지(전용지),,,,
PRD_000074,하드커버책자-면지(화이트면지),,,,
PRD_000075,하드커버책자-면지(블랙면지),,,,
PRD_000076,하드커버책자-면지(그레이면지),,,,
PRD_000077,레더 하드커버책자,1,1000,1,
PRD_000078,레더 하드커버책자-표지(레더(화이트)),,,,
PRD_000079,레더 하드커버책자-면지(화이트면지),,,,
PRD_000080,레더 하드커버책자-면지(블랙면지),,,,
PRD_000081,레더 하드커버책자-면지(그레이면지),,,,
PRD_000082,하드커버 링책자,1,1000,1,
PRD_000083,하드커버 링책자-표지(전용지),,,,
PRD_000084,하드커버 링책자-면지(화이트면지),,,,
PRD_000085,하드커버 링책자-면지(블랙면지),,,,
PRD_000086,하드커버 링책자-면지(그레이면지),,,,
PRD_000087,하드커버 링책자-면지(인쇄면지),,,,
PRD_000088,레더 링바인더,1,1000,1,
PRD_000089,레더 링바인더-표지(레더(화이트)),,,,
PRD_000090,레더 링바인더-면지(화이트면지),,,,
PRD_000091,레더 링바인더-면지(블랙면지),,,,
PRD_000092,레더 링바인더-면지(그레이면지),,,,
PRD_000093,레더 링바인더-면지(인쇄면지),,,,
PRD_000094,엽서북,2,10000,1,
PRD_000095,엽서북-내지(몽블랑240),,,,
PRD_000096,엽서북-표지(스노우300),,,,
PRD_000097,떡메모지,6,1000,3,
PRD_000098,떡메모지-내지(백모조120),,,,
PRD_000100,포토북 [디자인명],1,1000,1,
PRD_000101,포토북 [디자인명]-내지(몽블랑130),,,,
PRD_000102,포토북 [디자인명]-표지(하드커버),,,,
PRD_000103,포토북 [디자인명]-표지(아트250+무광코팅),,,,
PRD_000104,포토북 [디자인명]-면지(그레이),,,,
PRD_000105,포토북 [디자인명]-표지(레더하드커버),,,,
PRD_000106,포토북 [디자인명]-표지(레더),,,,
PRD_000107,포토북 [디자인명]-표지(소프트커버),,,,
PRD_000108,탁상형캘린더,1,10000,1,
PRD_000109,미니탁상형캘린더,1,10000,1,
PRD_000110,엽서캘린더,1,10000,1,
PRD_000111,벽걸이캘린더,1,10000,1,
PRD_000112,와이드벽걸이캘린더,1,10000,1,
PRD_000118,아트프린트포스터,1,1000,1,
PRD_000119,아트페이퍼포스터,1,1000,1,
PRD_000120,방수포스터,1,1000,1,
PRD_000121,접착방수포스터,1,1000,1,
PRD_000122,접착투명포스터,1,1000,1,
PRD_000123,아트패브릭포스터,1,1000,1,
PRD_000124,린넨패브릭포스터,1,10000,1,
PRD_000125,캔버스패브릭포스터,1,10000,1,
PRD_000126,레더아트프린트,1,10000,1,
PRD_000127,타이벡프린트,1,10000,1,
PRD_000128,메쉬프린트,1,10000,1,
PRD_000129,폼보드,1,10000,1,
PRD_000130,포맥스보드,1,10000,1,
PRD_000131,프레임리스우드액자,1,1000,1,
PRD_000132,레더아트액자,1,1000,1,
PRD_000133,캔버스 행잉포스터,1,10000,1,
PRD_000134,린넨 우드봉 족자,1,10000,1,
PRD_000135,족자포스터,1,10000,1,
PRD_000136,PET배너,1,10000,1,
PRD_000137,메쉬배너,1,10000,1,
PRD_000138,일반현수막,1,10000,1,
PRD_000139,메쉬현수막,,,,
PRD_000140,무광시트커팅,1,10000,1,
PRD_000141,홀로그램 시트커팅,,,,
PRD_000142,유광아크릴스티커,,,,
PRD_000143,미러아크릴스티커,1,10000,1,
PRD_000144,미니보드스탠딩,1,10000,1,
PRD_000145,미니배너,1,10000,1,
PRD_000146,아크릴키링,1,10000,1,
PRD_000147,아크릴마그넷,1,10000,1,
PRD_000148,아크릴뱃지,1,10000,1,
PRD_000149,아크릴집게,1,10000,1,
PRD_000150,아크릴스마트톡,1,10000,1,
PRD_000151,맥세이프 스마트톡,1,10000,1,
PRD_000152,아크릴명찰,1,10000,1,
PRD_000153,아크릴명찰(골드실버),1,10000,1,
PRD_000154,아크릴 머리끈,1,10000,1,
PRD_000155,아크릴볼펜,1,10000,1,
PRD_000156,아크릴지비츠,1,10000,1,100
PRD_000157,아크릴네임택,1,10000,1,
PRD_000158,아크릴 포카키링,1,10000,1,
PRD_000159,아크릴 코스터,1,10000,1,
PRD_000160,아크릴자유형스탠드,1,10000,1,
PRD_000161,판아크릴,1,10000,1,
PRD_000162,아크릴포카스탠드,1,10000,1,
PRD_000163,아크릴미니파츠,1,10000,1,
PRD_000164,아크릴코롯토,1,10000,1,
PRD_000165,포카코롯토,1,10000,1,
PRD_000166,아크릴카라비너,1,10000,1,
PRD_000168,아크릴입체코롯토,,,,
PRD_000169,아크릴입체블럭,,,,
PRD_000170,아크릴쉐이커★,,,,
PRD_000171,지비츠★,,,,
PRD_000172,만년다이어리(소프트커버),1,500,1,
PRD_000173,만년다이어리(하드커버),1,500,1,
PRD_000174,만년다이어리(레더하드커버),1,500,1,
PRD_000175,만년다이어리(레더소프트커버),1,500,1,
PRD_000176,먼슬리플래너,1,500,1,
PRD_000177,스프링노트,1,1000,1,
PRD_000178,스프링수첩,4,500,4,
PRD_000179,메모패드,1,1000,1,
PRD_000180,메모패드(내지커스텀) 준비중,,,,
