sheet,change_type,key,prd_nm,variant_idx,column,before,after,base_cell,new_cell,confidence
아크릴,MODIFIED,14636,아크릴미니파츠,18,상품명,아크릴코롯토,,140,,LOW
아크릴,MODIFIED,14636,아크릴미니파츠,18,소재(필수),투명아크릴(8T),,140,,LOW
아크릴,MODIFIED,14636,아크릴미니파츠,19,사이즈(필수),사용자입력,,141,,LOW
아크릴,MODIFIED,14636,아크릴미니파츠,20,상품명,아크릴입체코롯토,,143,,LOW
아크릴,MODIFIED,14636,아크릴미니파츠,21,사이즈(필수),사용자입력,,144,,LOW
아크릴,MODIFIED,14636,아크릴미니파츠,22,사이즈(필수),80*80,,146,,LOW
아크릴,MODIFIED,14636,아크릴미니파츠,22,상품명,아크릴입체블럭,,146,,LOW
아크릴,MODIFIED,14636,아크릴미니파츠,22,소재(필수),투명아크릴라미(10T),,146,,LOW
아크릴,MODIFIED,14636,아크릴미니파츠,23,사이즈(필수),100*150,,147,,LOW
아크릴,MODIFIED,14636,아크릴미니파츠,24,가격,20000,,152,,LOW
아크릴,MODIFIED,14636,아크릴미니파츠,24,가공(옵션)_가공,파츠(없음),,152,,LOW
아크릴,MODIFIED,14636,아크릴미니파츠,24,사이즈(필수),50 x 50 mm,,152,,LOW
아크릴,MODIFIED,14636,아크릴미니파츠,24,상품명,아크릴쉐이커★,,152,,LOW
아크릴,MODIFIED,14636,아크릴미니파츠,24,제작수량(필수)_최소,●,,152,,LOW
아크릴,MODIFIED,14636,아크릴미니파츠,25,가공(옵션)_가공,파츠(디자인A),,153,,LOW
아크릴,MODIFIED,14636,아크릴미니파츠,25,사이즈(필수),60 x 70 mm,,153,,LOW
아크릴,MODIFIED,14636,아크릴미니파츠,26,가공(옵션)_가공,파츠(디자인B),,154,,LOW
아크릴,MODIFIED,14636,아크릴미니파츠,26,사이즈(필수),60 x 80 mm,,154,,LOW
아크릴,MODIFIED,14636,아크릴미니파츠,27,가공(옵션)_가공,파츠(디자인C),,155,,LOW
아크릴,MODIFIED,14636,아크릴미니파츠,27,사이즈(필수),60 x 90 mm,,155,,LOW
아크릴,MODIFIED,14636,아크릴미니파츠,28,사이즈(필수),60 x 100 mm,,156,,LOW
아크릴,MODIFIED,14636,아크릴미니파츠,29,사이즈(필수),60 x 110 mm,,157,,LOW
아크릴,MODIFIED,14636,아크릴미니파츠,30,가격,2300,,159,,LOW
아크릴,MODIFIED,14636,아크릴미니파츠,30,가공(옵션)_가격,500,,159,,LOW
아크릴,MODIFIED,14636,아크릴미니파츠,30,가공(옵션)_가공,투명,,159,,LOW
아크릴,MODIFIED,14636,아크릴미니파츠,30,사이즈(필수),15mm x 15mm,,159,,LOW
아크릴,MODIFIED,14636,아크릴미니파츠,30,상품명,지비츠★,,159,,LOW
아크릴,MODIFIED,14636,아크릴미니파츠,30,소재(필수),투명아크릴(3T)◀,,159,,LOW
아크릴,MODIFIED,14636,아크릴미니파츠,30,인쇄사양,투명테두리★,,159,,LOW
아크릴,MODIFIED,14636,아크릴미니파츠,30,제작수량(필수)_증가,●,,159,,LOW
아크릴,MODIFIED,14636,아크릴미니파츠,30,제작수량(필수)_최소,●,,159,,LOW
아크릴,MODIFIED,14636,아크릴미니파츠,30,추가상품(옵션)_추가가격,500,,159,,LOW
아크릴,MODIFIED,14636,아크릴미니파츠,31,가격,2300,,160,,LOW
아크릴,MODIFIED,14636,아크릴미니파츠,31,사이즈(필수),20mm x 20mm,,160,,LOW
아크릴,MODIFIED,14636,아크릴미니파츠,31,제작수량(필수)_증가,●,,160,,LOW
아크릴,MODIFIED,14636,아크릴미니파츠,32,가격,2800,,161,,LOW
아크릴,MODIFIED,14636,아크릴미니파츠,32,사이즈(필수),25mm x 25mm,,161,,LOW
아크릴,MODIFIED,14636,아크릴미니파츠,32,제작수량(필수)_증가,●,,161,,LOW
아크릴,MODIFIED,14636,아크릴미니파츠,33,가격,3100,,162,,LOW
아크릴,MODIFIED,14636,아크릴미니파츠,33,사이즈(필수),30mm x 30mm,,162,,LOW
아크릴,MODIFIED,14636,아크릴미니파츠,33,제작수량(필수)_증가,●,,162,,LOW
