tmpl_cd,tmpl_nm,unit_price
TMPL-000014,자석부착(네오디움12mm),800.00
TMPL-000019,원형핀,600.00
TMPL-000020,1구자석,1000.00
TMPL-000021,투명집게,700.00
TMPL-000022,화이트바디,2600.00
TMPL-000023,투명바디,3000.00
TMPL-000024,일자핀,700.00
TMPL-000025,2구자석,1700.00
TMPL-000026,블랙머리끈,500.00
TMPL-000056,칼라볼체인(오렌지) 3개1팩,1000.00
TMPL-000057,칼라볼체인(핑크) 3개1팩,1000.00
TMPL-000058,칼라볼체인(민트그린) 3개1팩,1000.00
TMPL-000059,칼라볼체인(바이올렛) 3개1팩,1000.00
TMPL-000060,칼라볼체인(블루) 3개1팩,1000.00
TMPL-000061,칼라볼체인(핫핑크) 3개1팩,1000.00
TMPL-000062,칼라볼체인(화이트) 3개1팩,1000.00
TMPL-000063,칼라볼체인(블랙) 3개1팩,1000.00
