prd_cd,frm_cd,comp_cd,prc_typ_cd,use_dims,price_rows,min_price,max_price
PRD_000146,PRF_CLR_ACRYL,COMP_ACRYL_CLEAR3T,PRICE_TYPE.02,"[""mat_cd"", ""siz_width"", ""siz_height"", ""min_qty""]",277,2000.00,32700.00
PRD_000147,PRF_ACRYL_MAGNET,COMP_ACRYL_CLEAR3T,PRICE_TYPE.02,"[""mat_cd"", ""siz_width"", ""siz_height"", ""min_qty""]",277,2000.00,32700.00
PRD_000147,PRF_ACRYL_MAGNET,COMP_ACRYL_MAGNET,PRICE_TYPE.01,"[""opt_cd"", ""min_qty"", ""opt_grp:OPT_000074""]",1,800.00,800.00
PRD_000148,PRF_CLR_ACRYL,COMP_ACRYL_CLEAR3T,PRICE_TYPE.02,"[""mat_cd"", ""siz_width"", ""siz_height"", ""min_qty""]",277,2000.00,32700.00
PRD_000149,PRF_ACRYL_CLIP,COMP_ACRYL_CLEAR3T,PRICE_TYPE.02,"[""mat_cd"", ""siz_width"", ""siz_height"", ""min_qty""]",277,2000.00,32700.00
PRD_000149,PRF_ACRYL_CLIP,COMP_ACRYL_CLIP,PRICE_TYPE.01,"[""opt_cd"", ""min_qty"", ""opt_grp:OPT_000076""]",1,700.00,700.00
PRD_000150,PRF_CLR_ACRYL,COMP_ACRYL_CLEAR3T,PRICE_TYPE.02,"[""mat_cd"", ""siz_width"", ""siz_height"", ""min_qty""]",277,2000.00,32700.00
PRD_000151,PRF_CLR_ACRYL,COMP_ACRYL_CLEAR3T,PRICE_TYPE.02,"[""mat_cd"", ""siz_width"", ""siz_height"", ""min_qty""]",277,2000.00,32700.00
PRD_000152,PRF_CLR_ACRYL,COMP_ACRYL_CLEAR3T,PRICE_TYPE.02,"[""mat_cd"", ""siz_width"", ""siz_height"", ""min_qty""]",277,2000.00,32700.00
PRD_000153,PRF_ACRYL_NAMETAG_GS,COMP_ACRYL_NAMETAG_GS,PRICE_TYPE.02,"[""siz_cd"", ""min_qty""]",3,3400.00,4700.00
PRD_000154,PRF_ACRYL_HAIRBAND,COMP_ACRYL_BLACK_HAIR_BAND,PRICE_TYPE.01,"[""opt_cd"", ""min_qty"", ""opt_grp:OPT-000014""]",1,500.00,500.00
PRD_000154,PRF_ACRYL_HAIRBAND,COMP_ACRYL_CLEAR3T,PRICE_TYPE.02,"[""mat_cd"", ""siz_width"", ""siz_height"", ""min_qty""]",277,2000.00,32700.00
PRD_000155,PRF_ACRYL_BALLPEN,COMP_ACRYL_BALLPEN,PRICE_TYPE.02,"[""siz_cd"", ""min_qty""]",3,1800.00,2700.00
PRD_000156,PRF_ZIBITZ_ACRYL,COMP_ACRYL_ZIBITZ,PRICE_TYPE.01,"[""opt_cd"", ""min_qty"", ""opt_grp:OPT_000083""]",2,200.00,600.00
PRD_000157,PRF_CLR_ACRYL,COMP_ACRYL_CLEAR3T,PRICE_TYPE.02,"[""mat_cd"", ""siz_width"", ""siz_height"", ""min_qty""]",277,2000.00,32700.00
PRD_000158,PRF_CLR_ACRYL,COMP_ACRYL_CLEAR3T,PRICE_TYPE.02,"[""mat_cd"", ""siz_width"", ""siz_height"", ""min_qty""]",277,2000.00,32700.00
PRD_000159,PRF_CLR_ACRYL,COMP_ACRYL_CLEAR3T,PRICE_TYPE.02,"[""mat_cd"", ""siz_width"", ""siz_height"", ""min_qty""]",277,2000.00,32700.00
PRD_000160,PRF_ACRYL_FREESTAND,COMP_ACRYL_FREESTAND,PRICE_TYPE.02,"[""siz_cd"", ""min_qty""]",5,8800.00,22600.00
PRD_000161,PRF_CLR_ACRYL,COMP_ACRYL_CLEAR3T,PRICE_TYPE.02,"[""mat_cd"", ""siz_width"", ""siz_height"", ""min_qty""]",277,2000.00,32700.00
PRD_000162,PRF_CLR_ACRYL,COMP_ACRYL_CLEAR3T,PRICE_TYPE.02,"[""mat_cd"", ""siz_width"", ""siz_height"", ""min_qty""]",277,2000.00,32700.00
PRD_000163,PRF_ACRYL_MINIPART,COMP_ACRYL_MINIPART_TBD,PRICE_TYPE.02,"[""siz_cd"", ""min_qty""]",1,10000.00,10000.00
PRD_000164,PRF_COROTTO_ACRYL,COMP_ACRYL_COROTTO,PRICE_TYPE.01,"[""siz_width"", ""siz_height""]",36,3600.00,8400.00
PRD_000165,PRF_ACRYL_PHCOROTTO_TBD,COMP_ACRYL_PENDING_TBD,PRICE_TYPE.02,"[""min_qty""]",0,,
PRD_000166,PRF_ACRYL_CARABINER,COMP_ACRYL_CARABINER,PRICE_TYPE.02,"[""siz_cd"", ""min_qty""]",4,5800.00,6900.00
PRD_000168,PRF_ACRYL_3DCOROTTO_TBD,COMP_ACRYL_PENDING_TBD,PRICE_TYPE.02,"[""min_qty""]",0,,
PRD_000169,PRF_ACRYL_3DBLOCK_TBD,COMP_ACRYL_PENDING_TBD,PRICE_TYPE.02,"[""min_qty""]",0,,
PRD_000170,PRF_ACRYL_SHAKER_TBD,COMP_ACRYL_PENDING_TBD,PRICE_TYPE.02,"[""min_qty""]",0,,
PRD_000171,PRF_ZIBITZ_ACRYL,COMP_ACRYL_ZIBITZ,PRICE_TYPE.01,"[""opt_cd"", ""min_qty"", ""opt_grp:OPT_000083""]",2,200.00,600.00
PRD_000226,PRF_GOODS_FIXED_SIZ,COMP_GOODS_FIXED_SIZ,PRICE_TYPE.01,"[""siz_cd""]",77,200.00,60000.00
