prd_cd,mat_cd,usage_cd,dflt_yn,del_yn
PRD_000146,MAT_000051,USAGE.07,N,N
PRD_000146,MAT_000043,USAGE.07,Y,N
PRD_000146,MAT_000456,USAGE.07,N,N
PRD_000146,MAT_000052,USAGE.07,N,N
PRD_000146,MAT_000386,USAGE.07,N,Y
PRD_000146,MAT_000042,USAGE.07,Y,Y
PRD_000147,MAT_000050,USAGE.07,N,N
PRD_000147,MAT_000043,USAGE.07,Y,N
PRD_000148,MAT_000047,USAGE.07,N,N
PRD_000148,MAT_000043,USAGE.07,Y,N
PRD_000148,MAT_000048,USAGE.07,N,N
PRD_000149,MAT_000043,USAGE.07,Y,N
PRD_000149,MAT_000056,USAGE.07,N,N
PRD_000150,MAT_000043,USAGE.07,Y,N
PRD_000150,MAT_000054,USAGE.07,N,N
PRD_000150,MAT_000053,USAGE.07,N,N
PRD_000151,MAT_000043,USAGE.07,Y,N
PRD_000152,MAT_000043,USAGE.07,Y,N
PRD_000152,MAT_000046,USAGE.07,N,N
PRD_000152,MAT_000049,USAGE.07,N,N
PRD_000153,MAT_000196,USAGE.07,Y,N
PRD_000153,MAT_000195,USAGE.07,Y,N
PRD_000154,MAT_000057,USAGE.07,N,N
PRD_000154,MAT_000043,USAGE.07,Y,N
PRD_000155,MAT_000043,USAGE.07,Y,N
PRD_000156,MAT_000043,USAGE.07,Y,N
PRD_000157,MAT_000043,USAGE.07,Y,N
PRD_000158,MAT_000043,USAGE.07,Y,N
PRD_000159,MAT_000043,USAGE.07,Y,N
PRD_000160,MAT_000043,USAGE.07,Y,N
PRD_000161,MAT_000043,USAGE.07,Y,N
PRD_000162,MAT_000043,USAGE.07,Y,N
PRD_000163,MAT_000042,USAGE.07,Y,N
PRD_000164,MAT_000044,USAGE.07,Y,N
PRD_000165,MAT_000044,USAGE.07,Y,N
PRD_000166,MAT_000043,USAGE.07,Y,N
PRD_000169,MAT_000192,USAGE.07,Y,N
PRD_000171,MAT_000192,USAGE.07,Y,Y
PRD_000226,MAT_000313,USAGE.07,Y,Y
PRD_000226,MAT_000314,USAGE.07,Y,N
PRD_000226,MAT_000311,USAGE.07,Y,Y
PRD_000226,MAT_000310,USAGE.07,Y,N
PRD_000226,MAT_000309,USAGE.07,Y,Y
PRD_000226,MAT_000312,USAGE.07,Y,N
PRD_000226,MAT_000315,USAGE.07,Y,N
