prd_cd,proc_cd,mand_proc_yn,del_yn
PRD_000146,PROC_000111,Y,N
PRD_000146,PROC_000124,Y,N
PRD_000146,PROC_000151,Y,N
PRD_000146,PROC_000002,Y,Y
PRD_000147,PROC_000002,Y,N
PRD_000147,PROC_000081,N,N
PRD_000148,PROC_000002,Y,N
PRD_000149,PROC_000002,Y,N
PRD_000150,PROC_000002,Y,N
PRD_000151,PROC_000081,N,N
PRD_000151,PROC_000002,Y,N
PRD_000152,PROC_000002,Y,N
PRD_000155,PROC_000002,Y,N
PRD_000157,PROC_000002,Y,N
PRD_000158,PROC_000002,Y,N
PRD_000160,PROC_000002,Y,N
PRD_000161,PROC_000002,Y,N
PRD_000162,PROC_000002,Y,N
PRD_000163,PROC_000002,Y,N
PRD_000169,PROC_000083,Y,N
