prd_cd,unit_price,prices_rows,formula_rows,frm_cds,reg_dt,prd_typ,use_yn,del_yn,classify
PRD_000001,,0,0,,,PRD_TYPE.03,Y,N,NEITHER
PRD_000002,,0,0,,,PRD_TYPE.03,Y,N,NEITHER
PRD_000005,,0,0,,,PRD_TYPE.03,Y,N,NEITHER
PRD_000011,,0,0,,,PRD_TYPE.03,Y,N,NEITHER
PRD_000015,,0,0,,,PRD_TYPE.03,Y,N,NEITHER
PRD_000050,,0,1,PRF_ENV_MAKING,,PRD_TYPE.01,Y,N,FORMULA
PRD_000183,3000.00,1,0,,2026-07-03,PRD_TYPE.01,Y,N,FIXED-LOOKUP
PRD_000184,3600.00,1,0,,2026-07-03,PRD_TYPE.01,Y,N,FIXED-LOOKUP
PRD_000185,2500.00,1,0,,2026-06-22,PRD_TYPE.01,Y,N,FIXED-LOOKUP
PRD_000186,,0,0,,,PRD_TYPE.01,Y,N,NEITHER
PRD_000187,,0,0,,,PRD_TYPE.01,Y,N,NEITHER
PRD_000188,3300.00,1,0,,2026-07-03,PRD_TYPE.01,Y,N,FIXED-LOOKUP
PRD_000189,3000.00,1,0,,2026-07-03,PRD_TYPE.01,Y,N,FIXED-LOOKUP
PRD_000190,7000.00,1,0,,2026-07-03,PRD_TYPE.01,Y,N,FIXED-LOOKUP
PRD_000191,4500.00,1,0,,2026-07-03,PRD_TYPE.01,Y,N,FIXED-LOOKUP
PRD_000192,5000.00,1,0,,2026-07-03,PRD_TYPE.01,Y,N,FIXED-LOOKUP
PRD_000193,,0,0,,,PRD_TYPE.01,Y,N,NEITHER
PRD_000194,,0,0,,,PRD_TYPE.01,Y,N,NEITHER
PRD_000195,,0,0,,,PRD_TYPE.01,Y,N,NEITHER
PRD_000196,5000.00,1,0,,2026-06-22,PRD_TYPE.01,Y,N,FIXED-LOOKUP
PRD_000197,16000.00,1,0,,2026-07-03,PRD_TYPE.01,Y,N,FIXED-LOOKUP
PRD_000198,,0,0,,,PRD_TYPE.01,Y,N,NEITHER
PRD_000199,,0,0,,,PRD_TYPE.01,N,N,NEITHER
PRD_000200,,0,0,,,PRD_TYPE.01,Y,N,NEITHER
PRD_000201,,0,0,,,PRD_TYPE.01,Y,N,NEITHER
PRD_000202,,0,0,,,PRD_TYPE.01,N,N,NEITHER
PRD_000203,,0,0,,,PRD_TYPE.01,N,N,NEITHER
PRD_000204,,0,0,,,PRD_TYPE.01,N,N,NEITHER
PRD_000205,3000.00,1,0,,2026-06-22,PRD_TYPE.01,Y,N,FIXED-LOOKUP
PRD_000206,12000.00,1,0,,2026-07-03,PRD_TYPE.01,Y,N,FIXED-LOOKUP
PRD_000207,,0,0,,,PRD_TYPE.01,N,N,NEITHER
PRD_000208,12000.00,1,0,,2026-07-03,PRD_TYPE.01,N,N,FIXED-LOOKUP
PRD_000209,35000.00,1,0,,2026-07-03,PRD_TYPE.01,Y,N,FIXED-LOOKUP
PRD_000210,5000.00,1,0,,2026-06-22,PRD_TYPE.01,Y,N,FIXED-LOOKUP
PRD_000211,18000.00,1,0,,2026-06-22,PRD_TYPE.01,Y,N,FIXED-LOOKUP
PRD_000212,2500.00,1,0,,2026-06-22,PRD_TYPE.01,Y,N,FIXED-LOOKUP
PRD_000213,3600.00,1,0,,2026-07-03,PRD_TYPE.01,Y,N,FIXED-LOOKUP
PRD_000214,2500.00,1,0,,2026-07-03,PRD_TYPE.01,Y,N,FIXED-LOOKUP
PRD_000215,,0,0,,,PRD_TYPE.01,Y,N,NEITHER
PRD_000216,,0,0,,,PRD_TYPE.01,Y,N,NEITHER
PRD_000217,,0,0,,,PRD_TYPE.01,Y,N,NEITHER
PRD_000218,,0,0,,,PRD_TYPE.03,Y,N,NEITHER
PRD_000219,4500.00,1,0,,2026-06-22,PRD_TYPE.01,Y,N,FIXED-LOOKUP
PRD_000220,,0,0,,,PRD_TYPE.01,Y,N,NEITHER
PRD_000221,10000.00,1,0,,2026-07-03,PRD_TYPE.01,Y,N,FIXED-LOOKUP
PRD_000222,,0,0,,,PRD_TYPE.01,N,N,NEITHER
PRD_000223,14000.00,1,0,,2026-06-22,PRD_TYPE.01,Y,N,FIXED-LOOKUP
PRD_000224,12000.00,1,0,,2026-06-22,PRD_TYPE.01,Y,N,FIXED-LOOKUP
PRD_000225,14500.00,1,0,,2026-06-22,PRD_TYPE.01,Y,N,FIXED-LOOKUP
PRD_000226,,0,1,PRF_ACRYL_SHCOROTTO_TBD,,PRD_TYPE.01,N,N,FORMULA
PRD_000227,4500.00,1,0,,2026-07-03,PRD_TYPE.01,N,N,FIXED-LOOKUP
PRD_000228,8500.00,1,0,,2026-07-03,PRD_TYPE.01,N,N,FIXED-LOOKUP
PRD_000229,,0,0,,,PRD_TYPE.01,Y,N,NEITHER
PRD_000230,,0,0,,,PRD_TYPE.01,Y,N,NEITHER
PRD_000231,,0,0,,,PRD_TYPE.01,Y,N,NEITHER
PRD_000232,,0,0,,,PRD_TYPE.01,Y,N,NEITHER
PRD_000233,,0,0,,,PRD_TYPE.01,Y,N,NEITHER
PRD_000234,15000.00,1,0,,2026-07-03,PRD_TYPE.01,Y,N,FIXED-LOOKUP
PRD_000235,16500.00,1,0,,2026-06-22,PRD_TYPE.01,Y,N,FIXED-LOOKUP
PRD_000236,18000.00,1,0,,2026-06-22,PRD_TYPE.01,Y,N,FIXED-LOOKUP
PRD_000237,20000.00,1,0,,2026-06-22,PRD_TYPE.01,Y,N,FIXED-LOOKUP
PRD_000238,,0,0,,,PRD_TYPE.01,Y,N,NEITHER
PRD_000239,,0,0,,,PRD_TYPE.01,Y,N,NEITHER
PRD_000240,,0,1,PRF_GOODS_FIXED_SIZ,,PRD_TYPE.01,Y,N,FORMULA
PRD_000241,8500.00,1,0,,2026-07-03,PRD_TYPE.01,Y,N,FIXED-LOOKUP
PRD_000242,7000.00,1,0,,2026-07-03,PRD_TYPE.01,Y,N,FIXED-LOOKUP
PRD_000243,,0,0,,,PRD_TYPE.01,Y,N,NEITHER
PRD_000244,,0,0,,,PRD_TYPE.01,Y,N,NEITHER
PRD_000245,,0,0,,,PRD_TYPE.01,Y,N,NEITHER
PRD_000246,,0,0,,,PRD_TYPE.01,Y,N,NEITHER
PRD_000247,,0,0,,,PRD_TYPE.01,Y,N,NEITHER
PRD_000248,12500.00,1,0,,2026-06-22,PRD_TYPE.01,Y,N,FIXED-LOOKUP
PRD_000249,,0,0,,,PRD_TYPE.01,Y,N,NEITHER
PRD_000250,15000.00,1,0,,2026-07-03,PRD_TYPE.01,Y,N,FIXED-LOOKUP
PRD_000251,6500.00,1,0,,2026-06-22,PRD_TYPE.01,Y,N,FIXED-LOOKUP
PRD_000252,,0,0,,,PRD_TYPE.01,Y,N,NEITHER
PRD_000253,7200.00,1,0,,2026-06-22,PRD_TYPE.01,Y,N,FIXED-LOOKUP
PRD_000254,,0,0,,,PRD_TYPE.01,Y,N,NEITHER
PRD_000255,10000.00,1,0,,2026-07-03,PRD_TYPE.01,Y,N,FIXED-LOOKUP
PRD_000256,7500.00,1,0,,2026-06-22,PRD_TYPE.01,Y,N,FIXED-LOOKUP
PRD_000257,8500.00,1,0,,2026-06-22,PRD_TYPE.01,Y,N,FIXED-LOOKUP
PRD_000258,8500.00,1,0,,2026-06-22,PRD_TYPE.01,Y,N,FIXED-LOOKUP
PRD_000259,9500.00,1,0,,2026-06-22,PRD_TYPE.01,Y,N,FIXED-LOOKUP
PRD_000260,10500.00,1,0,,2026-06-22,PRD_TYPE.01,Y,N,FIXED-LOOKUP
PRD_000261,7500.00,1,0,,2026-07-03,PRD_TYPE.01,Y,N,FIXED-LOOKUP
PRD_000262,9000.00,1,0,,2026-07-03,PRD_TYPE.01,Y,N,FIXED-LOOKUP
PRD_000263,31000.00,1,0,,2026-06-22,PRD_TYPE.01,Y,N,FIXED-LOOKUP
PRD_000264,58000.00,1,0,,2026-07-03,PRD_TYPE.01,Y,N,FIXED-LOOKUP
PRD_000265,16500.00,1,0,,2026-06-22,PRD_TYPE.01,Y,N,FIXED-LOOKUP
PRD_000266,24000.00,1,0,,2026-06-22,PRD_TYPE.01,Y,N,FIXED-LOOKUP
PRD_000267,28000.00,1,0,,2026-07-03,PRD_TYPE.01,Y,N,FIXED-LOOKUP
PRD_000268,17600.00,1,0,,2026-07-03,PRD_TYPE.01,Y,N,FIXED-LOOKUP
PRD_000269,16500.00,1,0,,2026-07-03,PRD_TYPE.01,Y,N,FIXED-LOOKUP
PRD_000270,35200.00,1,0,,2026-07-03,PRD_TYPE.01,Y,N,FIXED-LOOKUP
PRD_000271,59500.00,1,0,,2026-07-03,PRD_TYPE.01,Y,N,FIXED-LOOKUP
PRD_000272,58000.00,1,0,,2026-06-22,PRD_TYPE.01,Y,N,FIXED-LOOKUP
PRD_000273,,0,0,,,PRD_TYPE.01,Y,N,NEITHER
PRD_000274,,0,0,,,PRD_TYPE.01,Y,N,NEITHER
PRD_000275,25000.00,1,0,,2026-06-22,PRD_TYPE.01,Y,N,FIXED-LOOKUP
PRD_000276,22500.00,1,0,,2026-07-03,PRD_TYPE.01,Y,N,FIXED-LOOKUP
PRD_000277,28000.00,1,0,,2026-07-03,PRD_TYPE.01,Y,N,FIXED-LOOKUP
PRD_000278,20500.00,1,0,,2026-07-03,PRD_TYPE.01,Y,N,FIXED-LOOKUP
PRD_000279,25500.00,1,0,,2026-07-03,PRD_TYPE.01,Y,N,FIXED-LOOKUP
PRD_000283,,0,0,,,PRD_TYPE.03,Y,N,NEITHER
