MAT_000090	스노우지 200g	MAT_TYPE.01	디지털인쇄용지	MAT_000085	316.00	467.00			10	1	Y	Y
MAT_000091	스노우지 250g	MAT_TYPE.01	디지털인쇄용지	MAT_000085	316.00	467.00			14	1	Y	Y
MAT_000092	스노우지 300g	MAT_TYPE.01	디지털인쇄용지	MAT_000085	316.00	467.00			12	1	Y	Y
MAT_000093	스노우지 250g (3절)	MAT_TYPE.01	디지털인쇄용지	MAT_000085	316.00	467.00			1	0	N	Y
MAT_000095	앙상블 100g	MAT_TYPE.01	디지털인쇄용지	MAT_000094	316.00	467.00			5	1	Y	Y
MAT_000096	앙상블 130g	MAT_TYPE.01	디지털인쇄용지	MAT_000094	316.00	467.00			5	1	Y	Y
MAT_000097	앙상블 160g	MAT_TYPE.01	디지털인쇄용지	MAT_000094	316.00	467.00			5	1	Y	Y
MAT_000098	앙상블 190g	MAT_TYPE.01	디지털인쇄용지	MAT_000094	316.00	467.00			5	1	Y	Y
MAT_000099	앙상블 210g	MAT_TYPE.01	디지털인쇄용지	MAT_000094	316.00	467.00			5	1	Y	Y
MAT_000101	랑데뷰 WH 240g	MAT_TYPE.01	디지털인쇄용지	MAT_000100	316.00	467.00			7	1	Y	Y
MAT_000102	랑데뷰 WH 310g	MAT_TYPE.01	디지털인쇄용지	MAT_000100	316.00	467.00			3	1	Y	Y
MAT_000104	몽블랑 100g	MAT_TYPE.01	디지털인쇄용지	MAT_000103	316.00	467.00			7	1	Y	Y
MAT_000105	몽블랑 130g	MAT_TYPE.01	디지털인쇄용지	MAT_000103	316.00	467.00			13	1	Y	Y
MAT_000106	몽블랑 160g	MAT_TYPE.01	디지털인쇄용지	MAT_000103	316.00	467.00			6	1	Y	Y
MAT_000107	몽블랑 190g	MAT_TYPE.01	디지털인쇄용지	MAT_000103	316.00	467.00			14	1	Y	Y
MAT_000108	몽블랑 210g	MAT_TYPE.01	디지털인쇄용지	MAT_000103	316.00	467.00			8	1	Y	Y
MAT_000109	몽블랑 240g	MAT_TYPE.01	디지털인쇄용지	MAT_000103	316.00	467.00			17	1	Y	Y
MAT_000110	몽블랑 130g (3절)	MAT_TYPE.01	디지털인쇄용지	MAT_000103	316.00	467.00			0	0	N	Y
MAT_000111	몽블랑 190g (3절)	MAT_TYPE.01	디지털인쇄용지	MAT_000103	316.00	467.00			1	0	N	Y
MAT_000112	몽블랑 240g (3절)	MAT_TYPE.01	디지털인쇄용지	MAT_000103	316.00	467.00			1	0	N	Y
MAT_000113	아코팩(웜화이트) 250g	MAT_TYPE.01	디지털인쇄용지		316.00	467.00			14	1	Y	Y
MAT_000114	리사이클러스 240g	MAT_TYPE.01	디지털인쇄용지		316.00	467.00			11	1	Y	Y
MAT_000115	매쉬멜로우 233g	MAT_TYPE.01	디지털인쇄용지		316.00	467.00			11	1	Y	Y
MAT_000116	린넨커버 216g	MAT_TYPE.01	디지털인쇄용지		316.00	467.00			11	1	Y	Y
MAT_000117	스타화이트(하이테크) 238g	MAT_TYPE.01	디지털인쇄용지		316.00	467.00			4	1	Y	Y
MAT_000118	클래식 크래스트 스티플 270g	MAT_TYPE.01	디지털인쇄용지		316.00	467.00			7	1	Y	Y
MAT_000120	매직터치(백색) 250g	MAT_TYPE.01	디지털인쇄용지		316.00	467.00			3	1	Y	Y
MAT_000121	켄도 250g	MAT_TYPE.01	디지털인쇄용지		316.00	467.00			4	1	Y	Y
MAT_000123	띤또레또 200g	MAT_TYPE.01	디지털인쇄용지	MAT_000122	464.00	320.00			10	1	Y	Y
MAT_000124	띤또레또 250g	MAT_TYPE.01	디지털인쇄용지	MAT_000122	464.00	320.00			4	1	Y	Y
MAT_000125	한지 170g	MAT_TYPE.01	디지털인쇄용지		316.00	467.00			8	1	Y	Y
MAT_000126	스코트랜드 220g	MAT_TYPE.01	디지털인쇄용지		316.00	467.00			4	1	Y	Y
MAT_000127	스타드림(다이아몬드) 240g	MAT_TYPE.01	디지털인쇄용지		316.00	467.00			7	3	Y	Y
MAT_000128	스타드림(실버) 240g	MAT_TYPE.01	디지털인쇄용지		316.00	467.00			5	1	Y	Y
MAT_000129	스타드림(골드) 240g	MAT_TYPE.01	디지털인쇄용지		316.00	467.00			5	1	Y	Y
MAT_000130	스타드림(로즈쿼츠) 240g	MAT_TYPE.01	디지털인쇄용지		316.00	467.00			3	3	Y	Y
MAT_000131	인바이런먼트 아이론 352g	MAT_TYPE.01	디지털인쇄용지						0	0	N	Y
