frm_cd,frm_nm,frm_typ_cd,note,use_yn
PRF_POSTER_ARTPRINT_PHOTO,"포스터/실사 상품별 완제품가 단순형 [아트프린트포스터]",FRM_TYPE.02,"D-WIRE 재모델: PRD_000118 아트프린트포스터 전용 공식(PRF_POSTER_FIXED 분리)",Y
PRF_POSTER_ARTPAPER_MATTE,"포스터/실사 상품별 완제품가 단순형 [아트페이퍼포스터]",FRM_TYPE.02,"D-WIRE 재모델: PRD_000119 아트페이퍼포스터 전용 공식(PRF_POSTER_FIXED 분리)",Y
PRF_POSTER_WATERPROOF_PET,"포스터/실사 상품별 완제품가 단순형 [방수포스터]",FRM_TYPE.02,"D-WIRE 재모델: PRD_000120 방수포스터 전용 공식(PRF_POSTER_FIXED 분리)",Y
PRF_POSTER_ADH_WATERPROOF_PVC,"포스터/실사 상품별 완제품가 단순형 [접착방수포스터]",FRM_TYPE.02,"D-WIRE 재모델: PRD_000121 접착방수포스터 전용 공식(PRF_POSTER_FIXED 분리)",Y
PRF_POSTER_ADH_CLEAR_PVC,"포스터/실사 상품별 완제품가 단순형 [접착투명포스터]",FRM_TYPE.02,"D-WIRE 재모델: PRD_000122 접착투명포스터 전용 공식(PRF_POSTER_FIXED 분리)",Y
PRF_POSTER_ARTFABRIC_GRAPHIC,"포스터/실사 상품별 완제품가 단순형 [아트패브릭포스터]",FRM_TYPE.02,"D-WIRE 재모델: PRD_000123 아트패브릭포스터 전용 공식(PRF_POSTER_FIXED 분리)",Y
PRF_POSTER_LINEN_FABRIC,"포스터/실사 상품별 완제품가 단순형 [린넨패브릭포스터]",FRM_TYPE.02,"D-WIRE 재모델: PRD_000124 린넨패브릭포스터 전용 공식(PRF_POSTER_FIXED 분리)",Y
PRF_POSTER_CANVAS_FABRIC,"포스터/실사 상품별 완제품가 단순형 [캔버스패브릭포스터]",FRM_TYPE.02,"D-WIRE 재모델: PRD_000125 캔버스패브릭포스터 전용 공식(PRF_POSTER_FIXED 분리)",Y
PRF_POSTER_LEATHER_ARTPRINT,"포스터/실사 상품별 완제품가 단순형 [레더아트프린트]",FRM_TYPE.02,"D-WIRE 재모델: PRD_000126 레더아트프린트 전용 공식(PRF_POSTER_FIXED 분리)",Y
PRF_POSTER_TYVEK_PRINT,"포스터/실사 상품별 완제품가 단순형 [타이벡프린트]",FRM_TYPE.02,"D-WIRE 재모델: PRD_000127 타이벡프린트 전용 공식(PRF_POSTER_FIXED 분리)",Y
PRF_POSTER_MESH_PRINT,"포스터/실사 상품별 완제품가 단순형 [메쉬프린트]",FRM_TYPE.02,"D-WIRE 재모델: PRD_000128 메쉬프린트 전용 공식(PRF_POSTER_FIXED 분리)",Y
PRF_POSTER_FOAMBOARD,"포스터/실사 상품별 완제품가 단순형 [폼보드]",FRM_TYPE.02,"D-WIRE 재모델: PRD_000129 폼보드 전용 공식(PRF_POSTER_FIXED 분리)",Y
PRF_POSTER_FOMEXBOARD,"포스터/실사 상품별 완제품가 단순형 [포맥스보드]",FRM_TYPE.02,"D-WIRE 재모델: PRD_000130 포맥스보드 전용 공식(PRF_POSTER_FIXED 분리)",Y
PRF_POSTER_FRAMELESS_WOOD,"포스터/실사 상품별 완제품가 단순형 [프레임리스우드액자]",FRM_TYPE.02,"D-WIRE 재모델: PRD_000131 프레임리스우드액자 전용 공식(PRF_POSTER_FIXED 분리)",Y
PRF_POSTER_LEATHER_FRAME,"포스터/실사 상품별 완제품가 단순형 [레더아트액자]",FRM_TYPE.02,"D-WIRE 재모델: PRD_000132 레더아트액자 전용 공식(PRF_POSTER_FIXED 분리)",Y
PRF_POSTER_CANVAS_HANGING,"포스터/실사 상품별 완제품가 단순형 [캔버스 행잉포스터]",FRM_TYPE.02,"D-WIRE 재모델: PRD_000133 캔버스 행잉포스터 전용 공식(PRF_POSTER_FIXED 분리)",Y
PRF_POSTER_LINEN_WOODBONG,"포스터/실사 상품별 완제품가 단순형 [린넨 우드봉 족자]",FRM_TYPE.02,"D-WIRE 재모델: PRD_000134 린넨 우드봉 족자 전용 공식(PRF_POSTER_FIXED 분리)",Y
PRF_POSTER_JOKJA,"포스터/실사 상품별 완제품가 단순형 [족자포스터]",FRM_TYPE.02,"D-WIRE 재모델: PRD_000135 족자포스터 전용 공식(PRF_POSTER_FIXED 분리)",Y
PRF_POSTER_PET_BANNER,"포스터/실사 상품별 완제품가 단순형 [PET배너]",FRM_TYPE.02,"D-WIRE 재모델: PRD_000136 PET배너 전용 공식(PRF_POSTER_FIXED 분리)",Y
PRF_POSTER_MESH_BANNER,"포스터/실사 상품별 완제품가 단순형 [메쉬배너]",FRM_TYPE.02,"D-WIRE 재모델: PRD_000137 메쉬배너 전용 공식(PRF_POSTER_FIXED 분리)",Y
PRF_POSTER_BANNER_NORMAL,"포스터/실사 상품별 완제품가 단순형 [일반현수막]",FRM_TYPE.02,"D-WIRE 재모델: PRD_000138 일반현수막 전용 공식(PRF_POSTER_FIXED 분리)",Y
PRF_POSTER_BANNER_MESH,"포스터/실사 상품별 완제품가 단순형 [메쉬현수막]",FRM_TYPE.02,"D-WIRE 재모델: PRD_000139 메쉬현수막 전용 공식(PRF_POSTER_FIXED 분리)",Y
