prd_cd	prd_nm	siz_cd	siz_nm	impos_yn
PRD_000179	메모패드	SIZ_000007	148x210	N
PRD_000179	메모패드	SIZ_000381	186x261	N
PRD_000050	봉투제작	SIZ_000191	225x193	N
PRD_000050	봉투제작	SIZ_000192	238x262	N
PRD_000050	봉투제작	SIZ_000193	262x238	N
PRD_000050	봉투제작	SIZ_000194	510x387	N
PRD_000181	중철노트	SIZ_000382	216x154	N
PRD_000177	스프링노트	SIZ_000171	152x214	N
PRD_000178	스프링수첩	SIZ_000378	94x149	N
PRD_000067	타투스티커	SIZ_000050	A4 (210X297)	N
PRD_000176	먼슬리플래너	SIZ_000180	302x216	N
PRD_000176	먼슬리플래너	SIZ_000376	150x216	N
PRD_000066	합판도무송스티커	SIZ_000017	100x90	N
PRD_000066	합판도무송스티커	SIZ_000065	65x65	N
PRD_000066	합판도무송스티커	SIZ_000113	100x100	N
PRD_000066	합판도무송스티커	SIZ_000147	100x60	N
PRD_000066	합판도무송스티커	SIZ_000148	60x60	N
PRD_000066	합판도무송스티커	SIZ_000203	72x46	N
PRD_000066	합판도무송스티커	SIZ_000204	79x43	N
PRD_000066	합판도무송스티커	SIZ_000205	77x53	N
PRD_000066	합판도무송스티커	SIZ_000206	91x35	N
PRD_000066	합판도무송스티커	SIZ_000207	73x40	N
PRD_000066	합판도무송스티커	SIZ_000208	83x45	N
PRD_000066	합판도무송스티커	SIZ_000209	93x50	N
PRD_000066	합판도무송스티커	SIZ_000210	55x55	N
PRD_000066	합판도무송스티커	SIZ_000211	70x70	N
PRD_000066	합판도무송스티커	SIZ_000225	45x63	N
PRD_000066	합판도무송스티커	SIZ_000227	73x50	N
PRD_000066	합판도무송스티커	SIZ_000229	52x53	N
PRD_000066	합판도무송스티커	SIZ_000231	60x53	N
PRD_000066	합판도무송스티커	SIZ_000233	60x73	N
PRD_000066	합판도무송스티커	SIZ_000235	65x43	N
PRD_000066	합판도무송스티커	SIZ_000237	65x53	N
PRD_000066	합판도무송스티커	SIZ_000239	65x61	N
PRD_000066	합판도무송스티커	SIZ_000241	65x79	N
PRD_000066	합판도무송스티커	SIZ_000243	100x50	N
PRD_000066	합판도무송스티커	SIZ_000246	100x70	N
PRD_000066	합판도무송스티커	SIZ_000248	100x80	N
PRD_000172	만년다이어리(소프트커버)	SIZ_000251	300x214	N
PRD_000173	만년다이어리(하드커버)	SIZ_000181	426x303	N
PRD_000055	낱장 자유형 스티커	SIZ_000050	A4 (210X297)	N
PRD_000057	대형 자유형 스티커	SIZ_000199	400x600	N
PRD_000056	낱장 자유형 투명스티커	SIZ_000050	A4 (210X297)	N
