comp_cd,apply_ymd,siz_cd,clr_cd,mat_cd,coat_side_cnt,bdl_qty,min_qty,unit_price,note
COMP_PBK_BASE24P,2026-06-01,SIZ_000269,,MAT_000005,,,,15000,포토북 8 x 8 (200 x 200 mm) 하드커버 기본가(24P)
COMP_PBK_ADD2P,2026-06-01,SIZ_000269,,MAT_000005,,,,500,포토북 8 x 8 (200 x 200 mm) 하드커버 추가2P당
COMP_PBK_BASE24P,2026-06-01,SIZ_000269,,MAT_000006,,,,23000,포토북 8 x 8 (200 x 200 mm) 레더하드커버 기본가(24P)
COMP_PBK_ADD2P,2026-06-01,SIZ_000269,,MAT_000006,,,,500,포토북 8 x 8 (200 x 200 mm) 레더하드커버 추가2P당
COMP_PBK_BASE24P,2026-06-01,SIZ_000269,,MAT_000007,,,,12000,포토북 8 x 8 (200 x 200 mm) 소프트커버 기본가(24P)
COMP_PBK_ADD2P,2026-06-01,SIZ_000269,,MAT_000007,,,,500,포토북 8 x 8 (200 x 200 mm) 소프트커버 추가2P당
COMP_PBK_BASE24P,2026-06-01,SIZ_000274,,MAT_000005,,,,22000,포토북 10 x 10 (250 x 250 mm) 하드커버 기본가(24P)
COMP_PBK_ADD2P,2026-06-01,SIZ_000274,,MAT_000005,,,,1000,포토북 10 x 10 (250 x 250 mm) 하드커버 추가2P당
COMP_PBK_BASE24P,2026-06-01,SIZ_000274,,MAT_000006,,,,32000,포토북 10 x 10 (250 x 250 mm) 레더하드커버 기본가(24P)
COMP_PBK_ADD2P,2026-06-01,SIZ_000274,,MAT_000006,,,,1000,포토북 10 x 10 (250 x 250 mm) 레더하드커버 추가2P당
COMP_PBK_BASE24P,2026-06-01,SIZ_000170,,MAT_000005,,,,12000,포토북 A5 (148 x 210 mm) 하드커버 기본가(24P)
COMP_PBK_ADD2P,2026-06-01,SIZ_000170,,MAT_000005,,,,300,포토북 A5 (148 x 210 mm) 하드커버 추가2P당
COMP_PBK_BASE24P,2026-06-01,SIZ_000170,,MAT_000006,,,,19000,포토북 A5 (148 x 210 mm) 레더하드커버 기본가(24P)
COMP_PBK_ADD2P,2026-06-01,SIZ_000170,,MAT_000006,,,,300,포토북 A5 (148 x 210 mm) 레더하드커버 추가2P당
COMP_PBK_BASE24P,2026-06-01,SIZ_000170,,MAT_000007,,,,10000,포토북 A5 (148 x 210 mm) 소프트커버 기본가(24P)
COMP_PBK_ADD2P,2026-06-01,SIZ_000170,,MAT_000007,,,,300,포토북 A5 (148 x 210 mm) 소프트커버 추가2P당
COMP_PBK_BASE24P,2026-06-01,SIZ_000172,,MAT_000005,,,,16000,포토북 A4 (210 x 297 mm) 하드커버 기본가(24P)
COMP_PBK_ADD2P,2026-06-01,SIZ_000172,,MAT_000005,,,,600,포토북 A4 (210 x 297 mm) 하드커버 추가2P당
COMP_PBK_BASE24P,2026-06-01,SIZ_000172,,MAT_000006,,,,26000,포토북 A4 (210 x 297 mm) 레더하드커버 기본가(24P)
COMP_PBK_ADD2P,2026-06-01,SIZ_000172,,MAT_000006,,,,600,포토북 A4 (210 x 297 mm) 레더하드커버 추가2P당
COMP_PBK_BASE24P,2026-06-01,SIZ_000172,,MAT_000007,,,,13000,포토북 A4 (210 x 297 mm) 소프트커버 기본가(24P)
COMP_PBK_ADD2P,2026-06-01,SIZ_000172,,MAT_000007,,,,600,포토북 A4 (210 x 297 mm) 소프트커버 추가2P당
