comp_cd,mat_cd,siz_width,siz_height,authority_price,block
COMP_ACRYL_MIRROR3T,,90,30,10000,B03
COMP_ACRYL_MIRROR3T,,90,40,11800,B03
COMP_ACRYL_MIRROR3T,,90,60,15600,B03
COMP_ACRYL_MIRROR3T,,90,70,17600,B03
COMP_ACRYL_MIRROR3T,,90,80,19600,B03
COMP_ACRYL_MIRROR3T,,100,20,8400,B03
COMP_ACRYL_MIRROR3T,,100,30,10600,B03
COMP_ACRYL_COROTTO,,30,50,4400,B05
COMP_ACRYL_COROTTO,,30,80,6400,B05
COMP_ACRYL_COROTTO,,40,30,4400,B05
COMP_ACRYL_COROTTO,,40,60,5200,B05
COMP_ACRYL_COROTTO,,50,40,5200,B05
COMP_ACRYL_COROTTO,,50,70,6400,B05
COMP_ACRYL_COROTTO,,50,80,8000,B05
COMP_ACRYL_COROTTO,,60,30,5200,B05
COMP_ACRYL_COROTTO,,60,50,6400,B05
COMP_ACRYL_COROTTO,,70,30,5200,B05
COMP_ACRYL_COROTTO,,70,40,6400,B05
COMP_ACRYL_COROTTO,,70,60,8000,B05
COMP_ACRYL_COROTTO,,80,40,6400,B05
COMP_ACRYL_COROTTO,,80,60,8000,B05
COMP_ACRYL_COROTTO,,80,70,8400,B05
