prd_cd,mat_cd,usage_cd,dep_proc_cd,dflt_yn,disp_seq,reg_dt,upd_dt,_provenance
PRD_000069,MAT_000087,USAGE.01,,N,3,,,"IMPORT:무선내지● 스노우지 120g→MAT_000087 (R1 G-BK-1/2 내지 usage_cd=USAGE.01, seoljeong-import-map)"
PRD_000069,MAT_000095,USAGE.01,,N,4,,,"IMPORT:무선내지● 앙상블 100g→MAT_000095 (R1 G-BK-1/2 내지 usage_cd=USAGE.01, seoljeong-import-map)"
PRD_000069,MAT_000096,USAGE.01,,N,5,,,"IMPORT:무선내지● 앙상블 130g→MAT_000096 (R1 G-BK-1/2 내지 usage_cd=USAGE.01, seoljeong-import-map)"
PRD_000069,MAT_000104,USAGE.01,,N,6,,,"IMPORT:무선내지● 몽블랑 100g→MAT_000104 (R1 G-BK-1/2 내지 usage_cd=USAGE.01, seoljeong-import-map)"
PRD_000069,MAT_000105,USAGE.01,,N,7,,,"IMPORT:무선내지● 몽블랑 130g→MAT_000105 (R1 G-BK-1/2 내지 usage_cd=USAGE.01, seoljeong-import-map)"
PRD_000069,MAT_000074,USAGE.02,,Y,1,,,"IMPORT:무선표지 :: 코팅/오시● 백색모조지 220g→MAT_000074 (R1 G-BK-1/2 표지 usage_cd=USAGE.02, seoljeong-import-map)"
PRD_000069,MAT_000081,USAGE.02,,N,2,,,"IMPORT:무선표지 :: 코팅/오시● 아트지 250g→MAT_000081 (R1 G-BK-1/2 표지 usage_cd=USAGE.02, seoljeong-import-map)"
PRD_000069,MAT_000082,USAGE.02,,N,3,,,"IMPORT:무선표지 :: 코팅/오시● 아트지 300g→MAT_000082 (R1 G-BK-1/2 표지 usage_cd=USAGE.02, seoljeong-import-map)"
PRD_000069,MAT_000091,USAGE.02,,N,4,,,"IMPORT:무선표지 :: 코팅/오시● 스노우지 250g→MAT_000091 (R1 G-BK-1/2 표지 usage_cd=USAGE.02, seoljeong-import-map)"
PRD_000069,MAT_000092,USAGE.02,,N,5,,,"IMPORT:무선표지 :: 코팅/오시● 스노우지 300g→MAT_000092 (R1 G-BK-1/2 표지 usage_cd=USAGE.02, seoljeong-import-map)"
