prd_cd,dsc_tbl_cd,apply_bgn_ymd,note
PRD_000160,DSC_ACR_QTY,2026-06-01,
PRD_000161,DSC_ACR_QTY,2026-06-01,
PRD_000162,DSC_ACR_QTY,2026-06-01,
PRD_000163,DSC_ACR_QTY,2026-06-01,
PRD_000164,DSC_ACR_QTY,2026-06-01,
PRD_000165,DSC_ACR_QTY,2026-06-01,
PRD_000167,DSC_ACR_QTY,2026-06-01,
PRD_000168,DSC_ACR_QTY,2026-06-01,
PRD_000169,DSC_ACR_QTY,2026-06-01,
PRD_000170,DSC_ACR_QTY,2026-06-01,
PRD_000171,DSC_ACR_QTY,2026-06-01,
PRD_000166,DSC_ACRCARA_QTY,2026-06-01,
PRD_000230,DSC_FABRIC_QTY,2026-06-01,
PRD_000231,DSC_FABRIC_QTY,2026-06-01,
PRD_000232,DSC_FABRIC_QTY,2026-06-01,
PRD_000233,DSC_FABRIC_QTY,2026-06-01,
PRD_000234,DSC_FABRIC_QTY,2026-06-01,
PRD_000235,DSC_FABRIC_QTY,2026-06-01,
PRD_000236,DSC_FABRIC_QTY,2026-06-01,
PRD_000237,DSC_FABRIC_QTY,2026-06-01,
PRD_000238,DSC_FABRIC_QTY,2026-06-01,
PRD_000239,DSC_FABRIC_QTY,2026-06-01,
PRD_000240,DSC_FABRIC_QTY,2026-06-01,
PRD_000241,DSC_FABRIC_QTY,2026-06-01,
PRD_000242,DSC_FABRIC_QTY,2026-06-01,
PRD_000243,DSC_FABRIC_QTY,2026-06-01,
PRD_000244,DSC_FABRIC_QTY,2026-06-01,
PRD_000245,DSC_FABRIC_QTY,2026-06-01,
PRD_000246,DSC_FABRIC_QTY,2026-06-01,
PRD_000247,DSC_FABRIC_QTY,2026-06-01,
PRD_000248,DSC_FABRIC_QTY,2026-06-01,
PRD_000249,DSC_FABRIC_QTY,2026-06-01,
PRD_000250,DSC_FABRIC_QTY,2026-06-01,
PRD_000251,DSC_FABRIC_QTY,2026-06-01,
PRD_000252,DSC_FABRIC_QTY,2026-06-01,
PRD_000253,DSC_FABRIC_QTY,2026-06-01,
PRD_000254,DSC_FABRIC_QTY,2026-06-01,
PRD_000255,DSC_FABRIC_QTY,2026-06-01,
PRD_000256,DSC_FABRIC_QTY,2026-06-01,
PRD_000257,DSC_FABRIC_QTY,2026-06-01,
PRD_000258,DSC_FABRIC_QTY,2026-06-01,
PRD_000259,DSC_FABRIC_QTY,2026-06-01,
PRD_000260,DSC_FABRIC_QTY,2026-06-01,
PRD_000261,DSC_FABRIC_QTY,2026-06-01,
PRD_000262,DSC_FABRIC_QTY,2026-06-01,
PRD_000263,DSC_FABRIC_QTY,2026-06-01,
