comp_cd,apply_ymd,siz_cd,clr_cd,mat_cd,coat_side_cnt,bdl_qty,min_qty,unit_price,note,_provenance
COMP_POSTER_BANNER_NORMAL,2026-06-01,SIZ_000323,,,,,,8000.00,"일반현수막 가로900mm×세로900mm 완제품가[코팅포함가] (포스터사인 B26 B246, 면적매트릭스, 완제품비.06)",price-poster-sign-l1.csv:B26:B246
COMP_POSTER_BANNER_NORMAL,2026-06-01,SIZ_000403,,,,,,12000.00,"일반현수막 가로1500mm×세로1000mm 완제품가[코팅포함가] (포스터사인 B26 E247, 면적매트릭스, 완제품비.06)",price-poster-sign-l1.csv:B26:E247
COMP_POSTER_BANNER_NORMAL,2026-06-01,SIZ_000320,,,,,,8640.00,"일반현수막 가로900mm×세로1200mm 완제품가[코팅포함가] (포스터사인 B26 B248, 면적매트릭스, 완제품비.06)",price-poster-sign-l1.csv:B26:B248
COMP_BANNER_FIN_HEATCUT,2026-06-01,,,,,,,3000.00,"열재단 추가가격 flat (B26 K246)",price-poster-sign-l1.csv:B26:K246
COMP_BANNER_FIN_EYELET4,2026-06-01,,,,,,,3000.00,"타공(4개) 추가가격 flat (B26 K247)",price-poster-sign-l1.csv:B26:K247
COMP_BANNER_FIN_EYELET6,2026-06-01,,,,,,,4000.00,"타공(6개) 추가가격 flat (B26 K248)",price-poster-sign-l1.csv:B26:K248
COMP_BANNER_FIN_EYELET8,2026-06-01,,,,,,,5000.00,"타공(8개) 추가가격 flat (B26 K249)",price-poster-sign-l1.csv:B26:K249
COMP_BANNER_FIN_DTAPE,2026-06-01,,,,,,,3000.00,"양면테입 추가가격 flat (B26 K250)",price-poster-sign-l1.csv:B26:K250
COMP_BANNER_FIN_SEW,2026-06-01,,,,,,,4000.00,"봉미싱 추가가격 flat (B26 K251)",price-poster-sign-l1.csv:B26:K251
COMP_BANNER_ADD_QBANG4,2026-06-01,,,,,,,3000.00,"큐방(4개) 추가가격 flat (B26 N247)",price-poster-sign-l1.csv:B26:N247
COMP_BANNER_ADD_STRING4,2026-06-01,,,,,,,4000.00,"끈(4개) 추가가격 flat (B26 N248)",price-poster-sign-l1.csv:B26:N248
COMP_BANNER_ADD_LUMBER_LE900,2026-06-01,,,,,,,4000.00,"각목(세로변 900mm이하)+끈 추가가격 flat (B26 N249·U-3 세로변 기준)",price-poster-sign-l1.csv:B26:N249
COMP_BANNER_ADD_LUMBER_GT900,2026-06-01,,,,,,,8000.00,"각목(세로변 900mm초과)+끈 추가가격 flat (B26 N250·U-3 세로변 기준)",price-poster-sign-l1.csv:B26:N250
