prd_cd,opt_cd,comp_cd,add_price,note
PRD_000138,OP-GAGONG-YEOLJAEDAN,COMP_BANNER_FIN_HEATCUT,3000,가공 택1
PRD_000138,OP-GAGONG-TAGONG4,COMP_BANNER_FIN_EYELET4,3000,가공 택1
PRD_000138,OP-GAGONG-TAGONG6,COMP_BANNER_FIN_EYELET6,4000,가공 택1
PRD_000138,OP-GAGONG-TAGONG8,COMP_BANNER_FIN_EYELET8,5000,가공 택1
PRD_000138,OP-GAGONG-YANGMYEONTAPE,COMP_BANNER_FIN_DTAPE,3000,가공 택1
PRD_000138,OP-GAGONG-BONGMISING,COMP_BANNER_FIN_SEW,4000,가공 택1
PRD_000138,OP-CHUGA-NONE,,0,추가없음 센티넬 — comp 없음·합산 0
PRD_000138,OP-CHUGA-QBANG4,COMP_BANNER_ADD_QBANG4,3000,추가 택1
PRD_000138,OP-CHUGA-STRING4,COMP_BANNER_ADD_STRING4,4000,추가 택1
PRD_000138,OP-CHUGA-GAKMOK-LE900,COMP_BANNER_ADD_LUMBER_LE900,4000,추가 택1 · 세로변≤900
PRD_000138,OP-CHUGA-GAKMOK-GT900,COMP_BANNER_ADD_LUMBER_GT900,8000,추가 택1 · 세로변>900
