frm_cd,comp_cd,disp_seq,addtn_yn
PRF_BANNER_NORMAL,COMP_POSTER_BANNER_NORMAL,1,Y
PRF_BANNER_NORMAL,COMP_BANNER_FIN_HEATCUT,2,Y
PRF_BANNER_NORMAL,COMP_BANNER_FIN_EYELET4,3,Y
PRF_BANNER_NORMAL,COMP_BANNER_FIN_EYELET6,4,Y
PRF_BANNER_NORMAL,COMP_BANNER_FIN_EYELET8,5,Y
PRF_BANNER_NORMAL,COMP_BANNER_FIN_DTAPE,6,Y
PRF_BANNER_NORMAL,COMP_BANNER_FIN_SEW,7,Y
PRF_BANNER_NORMAL,COMP_BANNER_ADD_QBANG4,8,Y
PRF_BANNER_NORMAL,COMP_BANNER_ADD_STRING4,9,Y
PRF_BANNER_NORMAL,COMP_BANNER_ADD_LUMBER_LE900,10,Y
PRF_BANNER_NORMAL,COMP_BANNER_ADD_LUMBER_GT900,11,Y
