sheet,type,row_seq,ref,col,fill_rgb,fill_meaning,font_rgb,comment_author,comment_text,has_constraint_star,is_formula,formula,hyperlink,col_hidden,text
디지털인쇄,cell,4,C4,MES ITEM_CD,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,4,D4,상품명,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,4,E4,사이즈(필수),,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,4,F4,판수,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,4,G4,파일사양_블리드,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,4,H4,파일사양_작업사이즈,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,4,I4,파일사양_재단사이즈,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,4,J4,파일사양_출력용지규격,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,4,K4,파일사양_파일명약어,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,4,L4,파일사양_출력파일,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,4,M4,파일사양_폴더,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,4,N4,주문방법(필수)_업로드,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,4,O4,주문방법(필수)_편집기,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,4,P4,종이(필수),,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,4,Q4,인쇄(옵션),,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,4,R4,별색인쇄(옵션)_화이트,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,4,S4,별색인쇄(옵션)_클리어,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,4,T4,별색인쇄(옵션)_핑크,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,4,U4,별색인쇄(옵션)_금색,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,4,V4,별색인쇄(옵션)_은색,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,4,W4,코팅(옵션),,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,4,X4,커팅(옵션),,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,4,Y4,접지(옵션),,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,4,Z4,제작수량(필수)_건수(옵션),,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,4,AA4,제작수량(필수)_최소,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,4,AB4,제작수량(필수)_최대,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,4,AC4,제작수량(필수)_증가,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,4,AD4,후가공(옵션)_모서리,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,4,AE4,후가공(옵션)_오시,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,4,AF4,후가공(옵션)_미싱,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,4,AG4,후가공(옵션)_가변(텍스트),,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,4,AH4,후가공(옵션)_가변(이미지),,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,4,AI4,박(앞면) / 박(뒷면) / 형압 (옵션)_박/형압 가공,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,4,AJ4,박(앞면) / 박(뒷면) / 형압 (옵션)_크기,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,4,AK4,박(앞면) / 박(뒷면) / 형압 (옵션)_박칼라,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,4,AL4,추가상품(옵션)_추가상품,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,4,AM4,추가상품(옵션)_추가가격,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,4,AN4,가격공식,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,4,AO4,AO,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,4,AP4,AP,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,4,AQ4,AQ,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,4,AR4,AR,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,5,A5,구분,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,5,B5,ID,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,5,C5,MES ITEM_CD,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,5,D5,상품명,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,5,E5,사이즈(필수),,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,5,F5,판수,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,5,G5,파일사양_블리드,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,5,H5,파일사양_작업사이즈,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,5,I5,파일사양_재단사이즈,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,5,J5,파일사양_출력용지규격,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,5,K5,파일사양_파일명약어,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,5,L5,파일사양_출력파일,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,5,M5,파일사양_폴더,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,5,N5,주문방법(필수)_업로드,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,5,O5,주문방법(필수)_편집기,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,5,P5,종이(필수),,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,5,Q5,인쇄(옵션),,,FFA5A5A5,,,,,,,,
디지털인쇄,cell,5,R5,별색인쇄(옵션)_화이트,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,5,S5,별색인쇄(옵션)_클리어,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,5,T5,별색인쇄(옵션)_핑크,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,5,U5,별색인쇄(옵션)_금색,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,5,V5,별색인쇄(옵션)_은색,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,5,W5,코팅(옵션),,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,5,X5,커팅(옵션),,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,5,Y5,접지(옵션),,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,5,Z5,제작수량(필수)_건수(옵션),,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,5,AA5,제작수량(필수)_최소,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,5,AB5,제작수량(필수)_최대,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,5,AC5,제작수량(필수)_증가,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,5,AD5,후가공(옵션)_모서리,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,5,AE5,후가공(옵션)_오시,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,5,AF5,후가공(옵션)_미싱,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,5,AG5,후가공(옵션)_가변(텍스트),,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,5,AH5,후가공(옵션)_가변(이미지),,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,5,AI5,박(앞면) / 박(뒷면) / 형압 (옵션)_박/형압 가공,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,5,AJ5,박(앞면) / 박(뒷면) / 형압 (옵션)_크기,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,5,AK5,박(앞면) / 박(뒷면) / 형압 (옵션)_박칼라,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,5,AL5,추가상품(옵션)_추가상품,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,5,AM5,추가상품(옵션)_추가가격,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,5,AN5,가격공식,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,5,AO5,AO,,,Values must be of type <class 'str'>,,,,,,,,
