sheet,row_seq,ref,col,axis,meta_json
출력소재(IMPORT),4,A4,대분류 :: 구분,product,"{""font_rgb"": ""Values must be of type <class 'str'>"", ""is_formula"": true, ""formula"": ""=IFERROR(__xludf.DUMMYFUNCTION(\""\""\""COMPUTED_VALUE\""\""\""),\""디지털인쇄\"")""}"
출력소재(IMPORT),4,B4,중분류,product,"{""font_rgb"": ""Values must be of type <class 'str'>"", ""is_formula"": true, ""formula"": ""=IFERROR(__xludf.DUMMYFUNCTION(\""\""\""COMPUTED_VALUE\""\""\""),\""디지털인쇄용지\"")""}"
출력소재(IMPORT),4,C4,종이명,product,"{""font_rgb"": ""Values must be of type <class 'str'>"", ""is_formula"": true, ""formula"": ""=IFERROR(__xludf.DUMMYFUNCTION(\""\""\""COMPUTED_VALUE\""\""\""),\""백색모조지 100g\"")""}"
출력소재(IMPORT),4,D4,평량,product,"{""font_rgb"": ""Values must be of type <class 'str'>"", ""is_formula"": true, ""formula"": ""=IFERROR(__xludf.DUMMYFUNCTION(\""\""\""COMPUTED_VALUE\""\""\""),100.0)""}"
출력소재(IMPORT),4,E4,파일명약어,product,"{""font_rgb"": ""Values must be of type <class 'str'>"", ""is_formula"": true, ""formula"": ""=IFERROR(__xludf.DUMMYFUNCTION(\""\""\""COMPUTED_VALUE\""\""\""),\""백모조\"")""}"
출력소재(IMPORT),4,F4,구매정보,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
출력소재(IMPORT),4,G4,전지,product,"{""font_rgb"": ""Values must be of type <class 'str'>"", ""is_formula"": true, ""formula"": ""=IFERROR(__xludf.DUMMYFUNCTION(\""\""\""COMPUTED_VALUE\""\""\""),\""국전(939*636)\"")""}"
출력소재(IMPORT),4,H4,연당가,price,"{""font_rgb"": ""Values must be of type <class 'str'>"", ""is_formula"": true, ""formula"": ""=IFERROR(__xludf.DUMMYFUNCTION(\""\""\""COMPUTED_VALUE\""\""\""),61460.0)""}"
출력소재(IMPORT),4,I4,"가격
(국4절)",price,"{""font_rgb"": ""Values must be of type <class 'str'>"", ""is_formula"": true, ""formula"": ""=IFERROR(__xludf.DUMMYFUNCTION(\""\""\""COMPUTED_VALUE\""\""\""),30.73)""}"
출력소재(IMPORT),4,J4,가격(3절),price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
출력소재(IMPORT),4,K4,종이사이즈,product,"{""font_rgb"": ""Values must be of type <class 'str'>"", ""is_formula"": true, ""formula"": ""=IFERROR(__xludf.DUMMYFUNCTION(\""\""\""COMPUTED_VALUE\""\""\""),\""316x467\"")""}"
출력소재(IMPORT),4,L4,프리미엄엽서,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
출력소재(IMPORT),4,M4,스탠다드엽서,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
출력소재(IMPORT),4,N4,2단접지카드 / 3단접지카드 / 미니접지카드,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
출력소재(IMPORT),4,O4,프리미엄명함,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
출력소재(IMPORT),4,P4,소량전단지/접지리플렛 :: 소량전단지포스터/리플렛팜플렛 :: 코팅/오시/접지,product,"{""font_rgb"": ""Values must be of type <class 'str'>"", ""is_formula"": true, ""formula"": ""=IFERROR(__xludf.DUMMYFUNCTION(\""\""\""COMPUTED_VALUE\""\""\""),\""●\"")""}"
출력소재(IMPORT),4,Q4,중철내지,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
출력소재(IMPORT),4,R4,중철표지,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
출력소재(IMPORT),4,S4,무선내지,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
출력소재(IMPORT),4,T4,무선표지 :: 코팅/오시,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
출력소재(IMPORT),4,U4,트윈링내지,product,"{""font_rgb"": ""Values must be of type <class 'str'>"", ""is_formula"": true, ""formula"": ""=IFERROR(__xludf.DUMMYFUNCTION(\""\""\""COMPUTED_VALUE\""\""\""),\""●\"")""}"
출력소재(IMPORT),4,V4,트윈링표지 :: 코팅/오시,product,"{""font_rgb"": ""Values must be of type <class 'str'>"", ""is_formula"": true, ""formula"": ""=IFERROR(__xludf.DUMMYFUNCTION(\""\""\""COMPUTED_VALUE\""\""\""),\""●\"")""}"
출력소재(IMPORT),4,W4,탁상형캘린더,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
출력소재(IMPORT),4,X4,미니탁상형캘린더,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
출력소재(IMPORT),4,Y4,엽서캘린더,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
출력소재(IMPORT),4,Z4,벽걸이캘린더,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
출력소재(IMPORT),5,A5,대분류 :: 구분,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
출력소재(IMPORT),5,B5,중분류,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
출력소재(IMPORT),5,C5,종이명,product,"{""font_rgb"": ""Values must be of type <class 'str'>"", ""is_formula"": true, ""formula"": ""=IFERROR(__xludf.DUMMYFUNCTION(\""\""\""COMPUTED_VALUE\""\""\""),\""백색모조지 120g\"")""}"
출력소재(IMPORT),5,D5,평량,product,"{""font_rgb"": ""Values must be of type <class 'str'>"", ""is_formula"": true, ""formula"": ""=IFERROR(__xludf.DUMMYFUNCTION(\""\""\""COMPUTED_VALUE\""\""\""),120.0)""}"
출력소재(IMPORT),5,E5,파일명약어,product,"{""font_rgb"": ""Values must be of type <class 'str'>"", ""is_formula"": true, ""formula"": ""=IFERROR(__xludf.DUMMYFUNCTION(\""\""\""COMPUTED_VALUE\""\""\""),\""백모조\"")""}"
출력소재(IMPORT),5,F5,구매정보,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
출력소재(IMPORT),5,G5,전지,product,"{""font_rgb"": ""Values must be of type <class 'str'>"", ""is_formula"": true, ""formula"": ""=IFERROR(__xludf.DUMMYFUNCTION(\""\""\""COMPUTED_VALUE\""\""\""),\""국전(939*636)\"")""}"
출력소재(IMPORT),5,H5,연당가,price,"{""font_rgb"": ""Values must be of type <class 'str'>"", ""is_formula"": true, ""formula"": ""=IFERROR(__xludf.DUMMYFUNCTION(\""\""\""COMPUTED_VALUE\""\""\""),73750.0)""}"
출력소재(IMPORT),5,I5,"가격
(국4절)",price,"{""font_rgb"": ""Values must be of type <class 'str'>"", ""is_formula"": true, ""formula"": ""=IFERROR(__xludf.DUMMYFUNCTION(\""\""\""COMPUTED_VALUE\""\""\""),36.875)""}"
출력소재(IMPORT),5,J5,가격(3절),price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
출력소재(IMPORT),5,K5,종이사이즈,product,"{""font_rgb"": ""Values must be of type <class 'str'>"", ""is_formula"": true, ""formula"": ""=IFERROR(__xludf.DUMMYFUNCTION(\""\""\""COMPUTED_VALUE\""\""\""),\""316x467\"")""}"
출력소재(IMPORT),5,L5,프리미엄엽서,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
출력소재(IMPORT),5,M5,스탠다드엽서,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
출력소재(IMPORT),5,N5,2단접지카드 / 3단접지카드 / 미니접지카드,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
출력소재(IMPORT),5,O5,프리미엄명함,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
출력소재(IMPORT),5,P5,소량전단지/접지리플렛 :: 소량전단지포스터/리플렛팜플렛 :: 코팅/오시/접지,product,"{""font_rgb"": ""Values must be of type <class 'str'>"", ""is_formula"": true, ""formula"": ""=IFERROR(__xludf.DUMMYFUNCTION(\""\""\""COMPUTED_VALUE\""\""\""),\""●\"")""}"
출력소재(IMPORT),5,Q5,중철내지,product,"{""font_rgb"": ""Values must be of type <class 'str'>"", ""is_formula"": true, ""formula"": ""=IFERROR(__xludf.DUMMYFUNCTION(\""\""\""COMPUTED_VALUE\""\""\""),\""●\"")""}"
출력소재(IMPORT),5,R5,중철표지,product,"{""font_rgb"": ""Values must be of type <class 'str'>"", ""is_formula"": true, ""formula"": ""=IFERROR(__xludf.DUMMYFUNCTION(\""\""\""COMPUTED_VALUE\""\""\""),\""●\"")""}"
출력소재(IMPORT),5,S5,무선내지,product,"{""font_rgb"": ""Values must be of type <class 'str'>"", ""is_formula"": true, ""formula"": ""=IFERROR(__xludf.DUMMYFUNCTION(\""\""\""COMPUTED_VALUE\""\""\""),\""●\"")""}"
출력소재(IMPORT),5,T5,무선표지 :: 코팅/오시,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
출력소재(IMPORT),5,U5,트윈링내지,product,"{""font_rgb"": ""Values must be of type <class 'str'>"", ""is_formula"": true, ""formula"": ""=IFERROR(__xludf.DUMMYFUNCTION(\""\""\""COMPUTED_VALUE\""\""\""),\""●\"")""}"
출력소재(IMPORT),5,V5,트윈링표지 :: 코팅/오시,product,"{""font_rgb"": ""Values must be of type <class 'str'>"", ""is_formula"": true, ""formula"": ""=IFERROR(__xludf.DUMMYFUNCTION(\""\""\""COMPUTED_VALUE\""\""\""),\""●\"")""}"
출력소재(IMPORT),5,W5,탁상형캘린더,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
출력소재(IMPORT),5,X5,미니탁상형캘린더,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
출력소재(IMPORT),5,Y5,엽서캘린더,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
출력소재(IMPORT),5,Z5,벽걸이캘린더,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
출력소재(IMPORT),6,A6,대분류 :: 구분,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
