sheet,row_seq,ref,col,axis,meta_json
판걸이수,7,H7,디지털인쇄(3절),price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,7,I7,col_I,price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,7,J7,인쇄가능영역,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,7,K7,원형아이마크영역(완칼),product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,7,L7,격자아이마크영역(반칼),product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,8,A8,사이즈옵션명,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,8,B8,재단사이즈,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,8,E8,상품,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,8,F8,판걸이,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,8,G8,디지털인쇄(국4절),price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,8,H8,디지털인쇄(3절),price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,8,I8,col_I,price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,8,J8,인쇄가능영역,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,8,K8,원형아이마크영역(완칼),product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,8,L8,격자아이마크영역(반칼),product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,9,A9,사이즈옵션명,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,9,B9,재단사이즈,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,9,E9,상품,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,9,F9,판걸이,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,9,G9,디지털인쇄(국4절),price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,9,H9,디지털인쇄(3절),price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,9,I9,col_I,price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,9,J9,인쇄가능영역,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,9,K9,원형아이마크영역(완칼),product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,9,L9,격자아이마크영역(반칼),product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,10,A10,사이즈옵션명,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,10,B10,재단사이즈,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,10,E10,상품,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,10,F10,판걸이,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,10,G10,디지털인쇄(국4절),price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,10,H10,디지털인쇄(3절),price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,10,I10,col_I,price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,10,J10,인쇄가능영역,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,10,K10,원형아이마크영역(완칼),product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,10,L10,격자아이마크영역(반칼),product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,11,A11,사이즈옵션명,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,11,B11,재단사이즈,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,11,E11,상품,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,11,F11,판걸이,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,11,G11,디지털인쇄(국4절),price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,11,H11,디지털인쇄(3절),price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,11,I11,col_I,price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,11,J11,인쇄가능영역,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,11,K11,원형아이마크영역(완칼),product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,11,L11,격자아이마크영역(반칼),product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,12,A12,사이즈옵션명,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
