sheet,row_seq,prd_nm,_anchor_ffilled,_row_hidden,_work_size_col,_work_size_value,구분,ID,MES ITEM_CD,상품명,사이즈(필수),수량(필수)_최소,수량(필수)_최대,수량(필수)_증가,가격,cell_meta_json
상품악세사리(가격포함),3,OPP접착봉투,false,false,,,봉투/케이스,,012-0004,OPP접착봉투,70 x 200 mm (50장),1,100,1,1100,"{""ID"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""MES ITEM_CD"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""수량(필수)_최대"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""수량(필수)_증가"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""가격"": {""font_rgb"": ""Values must be of type <class 'str'>""}}"
상품악세사리(가격포함),4,OPP접착봉투,true,false,,,봉투/케이스,,012-0004,OPP접착봉투,80 x 100 mm (50장),1,100,1,1100,"{""ID"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""MES ITEM_CD"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""상품명"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""수량(필수)_최대"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""수량(필수)_증가"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""가격"": {""font_rgb"": ""Values must be of type <class 'str'>""}}"
상품악세사리(가격포함),5,OPP접착봉투,true,false,,,봉투/케이스,,012-0004,OPP접착봉투,80 x 120 mm (50장),1,100,1,1100,"{""ID"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""MES ITEM_CD"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""상품명"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""수량(필수)_최대"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""수량(필수)_증가"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""가격"": {""font_rgb"": ""Values must be of type <class 'str'>""}}"
상품악세사리(가격포함),6,OPP접착봉투,true,false,,,봉투/케이스,,012-0004,OPP접착봉투,80 x 180 mm (50장),1,100,1,1100,"{""ID"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""MES ITEM_CD"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""상품명"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""수량(필수)_최대"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""수량(필수)_증가"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""가격"": {""font_rgb"": ""Values must be of type <class 'str'>""}}"
상품악세사리(가격포함),7,OPP접착봉투,true,false,,,봉투/케이스,,012-0004,OPP접착봉투,90 x 120 mm (50장),1,100,1,1100,"{""ID"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""MES ITEM_CD"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""상품명"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""수량(필수)_최대"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""수량(필수)_증가"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""가격"": {""font_rgb"": ""Values must be of type <class 'str'>""}}"
상품악세사리(가격포함),8,OPP접착봉투,true,false,,,봉투/케이스,,012-0004,OPP접착봉투,100 x 100 mm (50장),1,100,1,1100,"{""ID"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""MES ITEM_CD"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""상품명"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""수량(필수)_최대"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""수량(필수)_증가"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""가격"": {""font_rgb"": ""Values must be of type <class 'str'>""}}"
상품악세사리(가격포함),9,OPP접착봉투,true,false,,,봉투/케이스,,012-0004,OPP접착봉투,100 x 200 mm (50장),1,100,1,1200,"{""ID"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""MES ITEM_CD"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""상품명"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""수량(필수)_최대"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""수량(필수)_증가"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""가격"": {""font_rgb"": ""Values must be of type <class 'str'>""}}"
상품악세사리(가격포함),10,OPP접착봉투,true,false,,,봉투/케이스,,012-0004,OPP접착봉투,110 x 160 mm (50장),1,100,1,1200,"{""ID"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""MES ITEM_CD"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""상품명"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""수량(필수)_최대"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""수량(필수)_증가"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""가격"": {""font_rgb"": ""Values must be of type <class 'str'>""}}"
상품악세사리(가격포함),11,OPP접착봉투,true,false,,,봉투/케이스,,012-0004,OPP접착봉투,130 x 200 mm (50장),1,100,1,1400,"{""ID"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""MES ITEM_CD"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""상품명"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""수량(필수)_최대"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""수량(필수)_증가"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""가격"": {""font_rgb"": ""Values must be of type <class 'str'>""}}"
상품악세사리(가격포함),12,OPP접착봉투,true,false,,,봉투/케이스,,012-0004,OPP접착봉투,160 x 230 mm (50장),1,100,1,1500,"{""ID"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""MES ITEM_CD"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""상품명"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""수량(필수)_최대"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""수량(필수)_증가"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""가격"": {""font_rgb"": ""Values must be of type <class 'str'>""}}"
상품악세사리(가격포함),13,OPP접착봉투,true,false,,,봉투/케이스,,012-0004,OPP접착봉투,230 x 350 mm (50장),1,100,1,3250,"{""ID"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""MES ITEM_CD"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""상품명"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""수량(필수)_최대"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""수량(필수)_증가"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""가격"": {""font_rgb"": ""Values must be of type <class 'str'>""}}"
상품악세사리(가격포함),14,OPP비접착봉투,true,false,,,봉투/케이스,,012-0004,OPP비접착봉투,60 x 90 mm (20장),1,100,1,600,"{""ID"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""MES ITEM_CD"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""사이즈(필수)"": {""fill_rgb"": ""FFFFFF00"", ""fill_meaning"": ""신규""}, ""수량(필수)_최소"": {""fill_rgb"": ""FFFFFF00"", ""fill_meaning"": ""신규""}, ""수량(필수)_최대"": {""fill_rgb"": ""FFFFFF00"", ""fill_meaning"": ""신규"", ""font_rgb"": ""Values must be of type <class 'str'>""}, ""수량(필수)_증가"": {""fill_rgb"": ""FFFFFF00"", ""fill_meaning"": ""신규"", ""font_rgb"": ""Values must be of type <class 'str'>""}, ""가격"": {""fill_rgb"": ""FFFFFF00"", ""fill_meaning"": ""신규"", ""font_rgb"": ""Values must be of type <class 'str'>""}}"
상품악세사리(가격포함),15,OPP비접착봉투,true,false,,,봉투/케이스,,012-0004,OPP비접착봉투,60 x 90 mm (50장),1,100,1,900,"{""ID"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""MES ITEM_CD"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""상품명"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""사이즈(필수)"": {""fill_rgb"": ""FFFFFF00"", ""fill_meaning"": ""신규""}, ""수량(필수)_최소"": {""fill_rgb"": ""FFFFFF00"", ""fill_meaning"": ""신규""}, ""수량(필수)_최대"": {""fill_rgb"": ""FFFFFF00"", ""fill_meaning"": ""신규"", ""font_rgb"": ""Values must be of type <class 'str'>""}, ""수량(필수)_증가"": {""fill_rgb"": ""FFFFFF00"", ""fill_meaning"": ""신규"", ""font_rgb"": ""Values must be of type <class 'str'>""}, ""가격"": {""fill_rgb"": ""FFFFFF00"", ""fill_meaning"": ""신규"", ""font_rgb"": ""Values must be of type <class 'str'>""}}"
상품악세사리(가격포함),16,OPP비접착봉투,true,false,,,봉투/케이스,,012-0005,OPP비접착봉투,80 x 100 mm (50장),1,100,1,1000,"{""ID"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""MES ITEM_CD"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""상품명"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""수량(필수)_최대"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""수량(필수)_증가"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""가격"": {""font_rgb"": ""Values must be of type <class 'str'>""}}"
