sheet,type,row_seq,ref,col,fill_rgb,fill_meaning,font_rgb,comment_author,comment_text,has_constraint_star,is_formula,formula,hyperlink,col_hidden,text
문구(가격포함),cell,4,W4,표지파일사양_출력파일,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,4,Y4,표지사양,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,4,Z4,표지인쇄사양,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,4,AB4,제본사양,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,4,AC4,가격,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,4,AD4,제작수량(필수)_최소,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,4,AE4,제작수량(필수)_최대,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,4,AF4,제작수량(필수)_증가,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,4,AG4,주문방법(필수)_업로드,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,4,AH4,주문방법(필수)_편집기,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,4,AI4,개별포장(옵션),,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,4,AJ4,구간할인적용테이블,,,FFFF9900,,,,,,,,
문구(가격포함),cell,4,AK4,COMMENT,,,FFFF9900,,,,,,,,
문구(가격포함),cell,5,A5,구분,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,5,B5,ID,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,5,C5,MES ITEM_CD,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,5,D5,상품명,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,5,E5,사이즈(필수),,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,5,F5,내지파일사양_MES ITEM_CD,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,5,G5,내지파일사양_블리드,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,5,H5,내지파일사양_작업사이즈,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,5,I5,내지파일사양_재단사이즈,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,5,J5,내지파일사양_파일명약어,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,5,K5,내지파일사양_출력파일,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,5,L5,내지파일사양_폴더,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,5,M5,내지(옵션),,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,5,N5,종이(옵션),,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,5,O5,내지인쇄사양,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,5,P5,페이지사양_최소,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,5,Q5,페이지사양_최대,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,5,R5,페이지사양_증가,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,5,S5,표지파일사양_MES ITEM_CD,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,5,T5,표지파일사양_블리드,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,5,U5,표지파일사양_작업사이즈,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,5,V5,표지파일사양_파일명약어,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,5,W5,표지파일사양_출력파일,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,5,X5,표지파일사양_폴더,,,Values must be of type <class 'str'>,,,,,,,,
