prd_cd,prd_nm,edge,remediation_class,note
PRD_000001,OPP접착봉투,Q1,review,초대량 저청구 검토(INFO_MAX): 'OPP접착봉투' max 100 > 최대구간 1×10
PRD_000002,OPP비접착봉투,Q1,review,초대량 저청구 검토(INFO_MAX): 'OPP비접착봉투' max 100 > 최대구간 1×10
PRD_000004,카드봉투,Q1,review,초대량 저청구 검토(INFO_MAX): '카드봉투' max 100 > 최대구간 1×10
PRD_000005,캘린더봉투,Q1,review,초대량 저청구 검토(INFO_MAX): '캘린더봉투' max 100 > 최대구간 1×10
PRD_000006,볼체인,Q1,review,초대량 저청구 검토(INFO_MAX): '볼체인' max 100 > 최대구간 1×10
PRD_000007,와이어링,Q1,review,초대량 저청구 검토(INFO_MAX): '와이어링' max 100 > 최대구간 1×10
PRD_000009,투명케이스,Q1,review,초대량 저청구 검토(INFO_MAX): '투명케이스' max 100 > 최대구간 1×10
PRD_000011,자석고정용고무판,Q1,review,초대량 저청구 검토(INFO_MAX): '자석고정용고무판' max 100 > 최대구간 1×10
PRD_000012,우드거치대,Q1,review,초대량 저청구 검토(INFO_MAX): '우드거치대' max 100 > 최대구간 1×10
PRD_000013,우드봉,Q1,review,초대량 저청구 검토(INFO_MAX): '우드봉' max 100 > 최대구간 1×10
PRD_000014,우드행거,Q1,review,초대량 저청구 검토(INFO_MAX): '우드행거' max 100 > 최대구간 1×10
PRD_000015,만년스탬프 리필잉크,Q1,review,초대량 저청구 검토(INFO_MAX): '만년스탬프 리필잉크' max 100 > 최대구간 1×10
PRD_000016,프리미엄엽서,E3,review,차원 누락(MISSING·proc_cd): 손님선택 2값이 단가행에 없음
PRD_000016,프리미엄엽서,E4,review,공정 오배선(PROC_MISMATCH): 코어 comp '무광코팅비' proc 가 상품 공정과 교집합 0
PRD_000016,프리미엄엽서,E4,review,공정 오배선(PROC_MISMATCH): 코어 comp '미싱비' proc 가 상품 공정과 교집합 0
PRD_000016,프리미엄엽서,E4,review,공정 오배선(PROC_MISMATCH): 코어 comp '별색인쇄비' proc 가 상품 공정과 교집합 0
PRD_000016,프리미엄엽서,E4,review,공정 오배선(PROC_MISMATCH): 코어 comp '오시비' proc 가 상품 공정과 교집합 0
PRD_000016,프리미엄엽서,E4,review,공정 오배선(PROC_MISMATCH): 코어 comp '유광코팅비' proc 가 상품 공정과 교집합 0
PRD_000017,코팅엽서,E4,review,공정 오배선(PROC_MISMATCH): 코어 comp '가변이미지' proc 가 상품 공정과 교집합 0
PRD_000017,코팅엽서,E4,review,공정 오배선(PROC_MISMATCH): 코어 comp '가변텍스트' proc 가 상품 공정과 교집합 0
PRD_000017,코팅엽서,E4,review,공정 오배선(PROC_MISMATCH): 코어 comp '미싱비' proc 가 상품 공정과 교집합 0
PRD_000017,코팅엽서,E4,review,공정 오배선(PROC_MISMATCH): 코어 comp '별색인쇄비' proc 가 상품 공정과 교집합 0
PRD_000017,코팅엽서,E4,review,공정 오배선(PROC_MISMATCH): 코어 comp '오시비' proc 가 상품 공정과 교집합 0
PRD_000018,스탠다드엽서,E3,review,차원 누락(MISSING·proc_cd): 손님선택 2값이 단가행에 없음
