size_option,work_size,product,pangeori_count,press_sheet,print_area
62 x 180 mm - 커팅형,72x190,인쇄배경지,8,316x467,
105 x 160 mm - 기본형,109x164,인쇄배경지,4,316x467,사방  5mm제외
74 x 74 mm - 기본형,78x78,인쇄배경지,24,316x467,사방  5mm제외
74 x 74 mm - 접지형,78x152,인쇄배경지,12,316x467,사방  5mm제외
74 x 109 mm - 기본형,78x113,인쇄배경지,16,316x467,사방  5mm제외
74 x 109 mm - 상하접지형,78x222,인쇄배경지,8,316x467,사방  5mm제외
80 x 80mm,84x84,인쇄해더택,15,316x467,사방  5mm제외
110 x 80mm,114x84,인쇄해더택,12,316x467,사방  5mm제외
140 x 80mm,144x84,인쇄해더택,10,316x467,사방  5mm제외
160 x 80mm,164x84,인쇄해더택,6,316x467,사방  5mm제외
40 x 80 mm,50x90,라벨택,24,316x467,
25 x 110 mm,35x120,라벨택,24,316x467,
A5 (148 x 210mm),152x214,전단지 / 책자내지,4,316x467,사방  5mm제외
A5 (210 x 148 mm),214x152,책자내지,4,316x467,사방  5mm제외
A4 (210 x 297mm),216x303,전단지 / 책자내지,2,316x467,사방  5mm제외
A4 (297 x 210 mm),303x216,책자내지,2,316x467,사방  5mm제외
A3 (297 x 420mm),303x426,전단지,1,316x467,사방  5mm제외
A3+ (300 x 440mm),306x446,전단지,1,316x467,사방  5mm제외
A5,214x152,접지리플렛,4,316x467,사방  5mm제외
A4,303x216,접지리플렛,2,316x467,사방  5mm제외
A3,426x303,접지리플렛,1,316x467,사방  5mm제외
3절,646x303,와이드 접지리플렛,1,330x660,사방  5mm제외
썬캡,320x404,썬캡,1,330x540,
A6 (105 x 148 mm),105x148,반칼스티커,8,317x440,
A5 (148 x 210 mm),148x210,반칼스티커,4,317x440,
A4 (210 x 297 mm),210x297,반칼스티커,2,317x440,
100 x 140 mm,104x144,반칼스티커,8,317x440,
124 x186 mm,128x190,반칼스티커,4,317x440,
90 x 190 mm,94x194,반칼스티커,6,317x440,
50 x 70 mm,50x70,소형반칼스티커,32,307x430,
70 x 50 mm,70x50,소형반칼스티커,32,307x430,
50 x 94 mm,50x94,소형반칼스티커,24,307x430,
94 x 50 mm,94x50,소형반칼스티커,24,307x430,
65 x 65 mm,65x65,소형반칼스티커,24,307x430,
80 x 80 mm,80x80,소형반칼스티커,15,307x430,
94 x 94 mm,94x94,소형반칼스티커,12,307x430,
75 x 94 mm,75x94,소형반칼스티커,15,307x430,
135 x 135 mm,135x135,소형반칼스티커,6,307x430,
140 x 100 mm,140x100,소형반칼스티커,8,307x430,
75 x 110 mm,75x110,스티커팩,16,330x470,사방  5mm제외
220 x 145 mm,224x149,탁상형캘린더,4,316x467,사방  5mm제외
130 x 220 mm,134x224,탁상형캘린더,4,316x467,사방  5mm제외
90 x 100 mm,94x104,미니탁상형캘린더,12,316x467,사방  5mm제외
148 x 60 mm,152x64,미니탁상형캘린더,12,316x467,사방  5mm제외
145 x 145 mm,149x149,엽서캘린더,6,316x467,사방  5mm제외
220 x 130 mm,224x134,엽서캘린더,4,316x467,사방  5mm제외
148 x 210 mm,152x214,엽서캘린더,4,316x467,사방  5mm제외
145 x 300 mm,149x304,엽서캘린더,3,316x467,사방  5mm제외
210 x 297 mm,214x301,벽결이캘린더,2,316x467,사방  5mm제외
210 x 420 mm,214x424,벽결이캘린더,1,316x467,사방  5mm제외
300 x 420 mm,304x424,벽결이캘린더,1,316x467,사방  5mm제외
300 x 625 mm,304x629,와이드벽걸이캘린더,1,330x660,사방  5mm제외
