size_option,work_size,product,pangeori_count,press_sheet,print_area
73 x 98 mm,75x100,엽서,18,316x467,사방  5mm제외
98 x 98 mm,100x100,엽서,12,316x467,사방  5mm제외
100 x 150 mm,102x152,엽서 / 엽서북내지,8,316x467,사방  5mm제외
135 x 135 mm,137x137,엽서 / 엽서북내지,6,316x467,사방  5mm제외
95 x 210 mm,97x212,엽서,6,316x467,사방  5mm제외
110 x 170 mm,112x172,엽서,4,316x467,사방  5mm제외
148 x 210 mm,150x212,엽서,4,316x467,사방  5mm제외
90 x 50 mm,92x52,명함,24,316x467,사방  5mm제외
90 x 55 mm,92x57,명함,21,316x467,사방  5mm제외
86 x 52 mm,88x57,명함,21,316x467,사방  5mm제외
90 x 50 mm,100x60,모양명함,18,316x467,
50 x 50 mm,60x60,"미니모양명함, 라벨택",35,316x467,
55 x 86 mm,57x88,포토카드,21,316x467,사방  5mm제외
148 x 68 mm,152x72,상품권,12,316x467,사방  5mm제외
148 x 75 mm,158x77,상품권,6,316x467,사방  5mm제외
300 x 100 mm,302x102,종이슬로건,4,316x467,사방  5mm제외
400 x 145 mm,402x147,종이슬로건,2,316x467,사방  5mm제외
50x90 mm - 2단세로접지,102x92,미니접지카드,12,316x467,사방  5mm제외
90x50 mm - 2단가로접지,92x102,미니접지카드,12,316x467,사방  5mm제외
52x86 mm - 2단세로접지,106x88,미니접지카드,12,316x467,사방  5mm제외
85x52 mm - 2단가로접지,88x106,미니접지카드,12,316x467,사방  5mm제외
100x150 mm - 2단세로접지,202x152,2단접지카드,4,316x467,사방  5mm제외
150x100 mm - 2단가로접지,152x202,2단접지카드,4,316x467,사방  5mm제외
135x135mm - 2단세로접지,274x139,2단접지카드,3,316x467,사방  5mm제외
135x135mm - 2단가로접지,139x274,2단접지카드,3,316x467,사방  5mm제외
110x170mm- 2단세로접지,224x174,2단접지카드,2,316x467,사방  5mm제외
170x110mm- 2단가로접지,174x224,2단접지카드,2,316x467,사방  5mm제외
100x150 mm - 3단세로접지,302x152,3단접지카드,3,316x467,사방  5mm제외
150x100 mm - 3단가로접지,152x302,3단접지카드,3,316x467,사방  5mm제외
135x135mm - 3단세로접지,407x139,3단접지카드,1,316x467,사방  5mm제외
135x135mm - 3단가로접지,139x407,3단접지카드,1,316x467,사방  5mm제외
600 x 150 mm,604x154,지그재그카드,2,330x660,사방  5mm제외
150 x 600 mm,154x604,지그재그카드,2,330x660,사방  5mm제외
76 x 100 mm - 기본형,80x104,인쇄배경지,12,316x467,사방  5mm제외
76 x 100 mm - 커팅형,86x110,인쇄배경지,9,316x467,
76 x 120 mm - 기본형,80x124,인쇄배경지,9,316x467,사방  5mm제외
76 x 120 mm - 커팅형,86x130,인쇄배경지,9,316x467,
86 x 120 mm - 기본형,90x124,인쇄배경지,9,316x467,사방  5mm제외
86 x 120 mm - 커팅형,96x130,인쇄배경지,9,316x467,
94 x 94 mm - 기본형,98x98,인쇄배경지,12,316x467,사방  5mm제외
94 x 94 mm - 커팅형,104x104,인쇄배경지,8,316x467,
62 x 180 mm - 기본형,66x184,인쇄배경지,8,316x467,사방  5mm제외
