prd_cd,prd_nm,current_siz,current_siz_nm,impos_yn,current_paper,target_press_sheet,target_siz,target_paper,action,siz_plate_refs,siz_prodsize_refs,siz_price_refs
PRD_000030,지그재그엽서,SIZ_000142,604x154,N,OUTPUT_PAPER_TYPE.03,330x660,SIZ_PROPOSE_3JEOL,OUTPUT_PAPER_TYPE.01,DELETE_THEN_INSERT_collapse,1,0,0
PRD_000030,지그재그엽서,SIZ_000143,154x604,N,OUTPUT_PAPER_TYPE.03,330x660,SIZ_PROPOSE_3JEOL,OUTPUT_PAPER_TYPE.01,DELETE_THEN_INSERT_collapse,1,0,0
PRD_000049,와이드 접지리플렛,SIZ_000186,635x303,N,OUTPUT_PAPER_TYPE.03,330x660,SIZ_PROPOSE_3JEOL,OUTPUT_PAPER_TYPE.01,DELETE_THEN_INSERT_collapse,1,0,0
PRD_000049,와이드 접지리플렛,SIZ_000188,644x303,N,OUTPUT_PAPER_TYPE.03,330x660,SIZ_PROPOSE_3JEOL,OUTPUT_PAPER_TYPE.01,DELETE_THEN_INSERT_collapse,1,0,0
PRD_000049,와이드 접지리플렛,SIZ_000190,646x303,N,OUTPUT_PAPER_TYPE.03,330x660,SIZ_PROPOSE_3JEOL,OUTPUT_PAPER_TYPE.01,DELETE_THEN_INSERT_collapse,1,0,0
PRD_000112,와이드벽걸이캘린더,SIZ_000292,304x629,N,OUTPUT_PAPER_TYPE.03,330x660,SIZ_PROPOSE_3JEOL,OUTPUT_PAPER_TYPE.01,DELETE_THEN_INSERT_collapse,1,0,0
PRD_000016,프리미엄엽서,SIZ_000499,316x467,Y,OUTPUT_PAPER_TYPE.01,316x467,SIZ_000499,OUTPUT_PAPER_TYPE.01,KEEP,1,0,870
PRD_000017,코팅엽서,SIZ_000112,75x100,N,OUTPUT_PAPER_TYPE.03,316x467,SIZ_000499,OUTPUT_PAPER_TYPE.01,DELETE_THEN_INSERT_collapse,2,0,0
PRD_000017,코팅엽서,SIZ_000113,100x100,N,,316x467,SIZ_000499,OUTPUT_PAPER_TYPE.01,DELETE_THEN_INSERT_collapse,11,0,3
PRD_000017,코팅엽서,SIZ_000114,102x152,N,,316x467,SIZ_000499,OUTPUT_PAPER_TYPE.01,DELETE_THEN_INSERT_collapse,7,0,0
PRD_000017,코팅엽서,SIZ_000115,137x137,N,,316x467,SIZ_000499,OUTPUT_PAPER_TYPE.01,DELETE_THEN_INSERT_collapse,7,0,0
PRD_000017,코팅엽서,SIZ_000116,97x212,N,,316x467,SIZ_000499,OUTPUT_PAPER_TYPE.01,DELETE_THEN_INSERT_collapse,1,0,0
PRD_000017,코팅엽서,SIZ_000117,112x172,N,,316x467,SIZ_000499,OUTPUT_PAPER_TYPE.01,DELETE_THEN_INSERT_collapse,1,0,0
PRD_000017,코팅엽서,SIZ_000118,150x212,N,,316x467,SIZ_000499,OUTPUT_PAPER_TYPE.01,DELETE_THEN_INSERT_collapse,6,0,0
PRD_000018,스탠다드엽서,SIZ_000112,75x100,N,OUTPUT_PAPER_TYPE.03,316x467,SIZ_000499,OUTPUT_PAPER_TYPE.01,DELETE_THEN_INSERT_collapse,2,0,0
PRD_000018,스탠다드엽서,SIZ_000113,100x100,N,,316x467,SIZ_000499,OUTPUT_PAPER_TYPE.01,DELETE_THEN_INSERT_collapse,11,0,3
PRD_000018,스탠다드엽서,SIZ_000114,102x152,N,,316x467,SIZ_000499,OUTPUT_PAPER_TYPE.01,DELETE_THEN_INSERT_collapse,7,0,0
PRD_000018,스탠다드엽서,SIZ_000115,137x137,N,,316x467,SIZ_000499,OUTPUT_PAPER_TYPE.01,DELETE_THEN_INSERT_collapse,7,0,0
PRD_000018,스탠다드엽서,SIZ_000118,150x212,N,,316x467,SIZ_000499,OUTPUT_PAPER_TYPE.01,DELETE_THEN_INSERT_collapse,6,0,0
PRD_000019,투명엽서,SIZ_000113,100x100,N,OUTPUT_PAPER_TYPE.03,316x467,SIZ_000499,OUTPUT_PAPER_TYPE.01,DELETE_THEN_INSERT_collapse,11,0,3
PRD_000019,투명엽서,SIZ_000114,102x152,N,,316x467,SIZ_000499,OUTPUT_PAPER_TYPE.01,DELETE_THEN_INSERT_collapse,7,0,0
PRD_000019,투명엽서,SIZ_000115,137x137,N,,316x467,SIZ_000499,OUTPUT_PAPER_TYPE.01,DELETE_THEN_INSERT_collapse,7,0,0
PRD_000019,투명엽서,SIZ_000118,150x212,N,,316x467,SIZ_000499,OUTPUT_PAPER_TYPE.01,DELETE_THEN_INSERT_collapse,6,0,0
PRD_000020,화이트인쇄엽서,SIZ_000113,100x100,N,OUTPUT_PAPER_TYPE.03,316x467,SIZ_000499,OUTPUT_PAPER_TYPE.01,DELETE_THEN_INSERT_collapse,11,0,3
PRD_000020,화이트인쇄엽서,SIZ_000114,102x152,N,,316x467,SIZ_000499,OUTPUT_PAPER_TYPE.01,DELETE_THEN_INSERT_collapse,7,0,0
PRD_000020,화이트인쇄엽서,SIZ_000115,137x137,N,,316x467,SIZ_000499,OUTPUT_PAPER_TYPE.01,DELETE_THEN_INSERT_collapse,7,0,0
PRD_000020,화이트인쇄엽서,SIZ_000118,150x212,N,,316x467,SIZ_000499,OUTPUT_PAPER_TYPE.01,DELETE_THEN_INSERT_collapse,6,0,0
PRD_000021,핑크별색엽서,SIZ_000113,100x100,N,OUTPUT_PAPER_TYPE.03,316x467,SIZ_000499,OUTPUT_PAPER_TYPE.01,DELETE_THEN_INSERT_collapse,11,0,3
PRD_000021,핑크별색엽서,SIZ_000114,102x152,N,,316x467,SIZ_000499,OUTPUT_PAPER_TYPE.01,DELETE_THEN_INSERT_collapse,7,0,0
PRD_000021,핑크별색엽서,SIZ_000115,137x137,N,,316x467,SIZ_000499,OUTPUT_PAPER_TYPE.01,DELETE_THEN_INSERT_collapse,7,0,0
PRD_000021,핑크별색엽서,SIZ_000118,150x212,N,,316x467,SIZ_000499,OUTPUT_PAPER_TYPE.01,DELETE_THEN_INSERT_collapse,6,0,0
PRD_000022,금은별색엽서,SIZ_000113,100x100,N,OUTPUT_PAPER_TYPE.03,316x467,SIZ_000499,OUTPUT_PAPER_TYPE.01,DELETE_THEN_INSERT_collapse,11,0,3
PRD_000022,금은별색엽서,SIZ_000114,102x152,N,,316x467,SIZ_000499,OUTPUT_PAPER_TYPE.01,DELETE_THEN_INSERT_collapse,7,0,0
PRD_000022,금은별색엽서,SIZ_000115,137x137,N,,316x467,SIZ_000499,OUTPUT_PAPER_TYPE.01,DELETE_THEN_INSERT_collapse,7,0,0
