prd_cd,prd_nm,jeonji_value,target_jeonji_siz,current_plate_rows,target_plate_rows_after,action
PRD_000016,프리미엄엽서,316x467,SIZ_000499,1,1,CORRECT
PRD_000017,코팅엽서,316x467,SIZ_000499,7,1,CORRECT
PRD_000018,스탠다드엽서,316x467,SIZ_000499,5,1,CORRECT
PRD_000019,투명엽서,316x467,SIZ_000499,4,1,CORRECT
PRD_000020,화이트인쇄엽서,316x467,SIZ_000499,4,1,CORRECT
PRD_000021,핑크별색엽서,316x467,SIZ_000499,4,1,CORRECT
PRD_000022,금은별색엽서,316x467,SIZ_000499,4,1,CORRECT
PRD_000024,포토카드,316x467,SIZ_000499,1,1,CORRECT
PRD_000025,투명포토카드,316x467,SIZ_000499,1,1,CORRECT
PRD_000026,종이슬로건,316x467,SIZ_000499,2,1,CORRECT
PRD_000027,2단접지카드,316x467,SIZ_000499,6,1,CORRECT
PRD_000028,미니접지카드,316x467,SIZ_000499,2,1,CORRECT
PRD_000029,3단접지카드,316x467,SIZ_000499,4,1,CORRECT
PRD_000030,지그재그엽서,미지정,UNRESOLVED,2,,BLOCKED_unresolved
PRD_000031,프리미엄명함,316x467,SIZ_000499,3,1,CORRECT
PRD_000032,코팅명함,316x467,SIZ_000499,2,1,CORRECT
PRD_000033,스탠다드명함,316x467,SIZ_000499,2,1,CORRECT
PRD_000034,펄명함,316x467,SIZ_000499,1,1,CORRECT
PRD_000035,모양명함,316x467,SIZ_000499,1,1,CORRECT
PRD_000036,미니모양명함,316x467,SIZ_000499,1,1,CORRECT
PRD_000037,오리지널박명함,316x467,SIZ_000499,1,1,CORRECT
PRD_000038,형압명함,316x467,SIZ_000499,1,1,CORRECT
PRD_000039,투명명함,316x467,SIZ_000499,1,1,CORRECT
PRD_000040,화이트인쇄명함,316x467,SIZ_000499,1,1,CORRECT
PRD_000041,스탠다드 쿠폰/상품권,316x467,SIZ_000499,2,1,CORRECT
PRD_000042,프리미엄 쿠폰/상품권,316x467,SIZ_000499,2,1,CORRECT
PRD_000043,인쇄배경지(OPP봉투타입),316x467,SIZ_000499,11,1,CORRECT
PRD_000044,인쇄배경지(투명케이스타입),316x467,SIZ_000499,4,1,CORRECT
PRD_000045,인쇄헤더택,316x467,SIZ_000499,4,1,CORRECT
PRD_000046,라벨/택,316x467,SIZ_000499,3,1,CORRECT
PRD_000062,반칼팬시스티커,미지정,UNRESOLVED,3,,BLOCKED_unresolved
PRD_000063,반칼팬시투명스티커,미지정,UNRESOLVED,3,,BLOCKED_unresolved
PRD_000064,소량자유형스티커,316x467,SIZ_000499,7,1,CORRECT
PRD_000065,스티커팩,미지정,UNRESOLVED,1,,BLOCKED_unresolved
PRD_000067,타투스티커,미지정,UNRESOLVED,1,,BLOCKED_unresolved
PRD_000094,엽서북,316x467,SIZ_000499,6,1,CORRECT
PRD_000108,탁상형캘린더,316x467,SIZ_000499,2,1,CORRECT
PRD_000109,미니탁상형캘린더,316x467,SIZ_000499,2,1,CORRECT
PRD_000110,엽서캘린더,316x467,SIZ_000499,6,1,CORRECT
PRD_000111,벽걸이캘린더,316x467,SIZ_000499,3,1,CORRECT
PRD_000112,와이드벽걸이캘린더,미지정,UNRESOLVED,1,,BLOCKED_unresolved
PRD_000145,미니배너,316x467,SIZ_000499,2,1,CORRECT
PRD_000146,아크릴키링,316x467,SIZ_000499,8,1,CORRECT
PRD_000147,아크릴마그넷,316x467,SIZ_000499,7,1,CORRECT
PRD_000148,아크릴뱃지,316x467,SIZ_000499,3,1,CORRECT
PRD_000149,아크릴집게,316x467,SIZ_000499,3,1,CORRECT
PRD_000150,아크릴스마트톡,316x467,SIZ_000499,3,1,CORRECT
PRD_000151,맥세이프 스마트톡,316x467,SIZ_000499,3,1,CORRECT
PRD_000157,아크릴네임택,316x467,SIZ_000499,2,1,CORRECT
PRD_000158,아크릴 포카키링,316x467,SIZ_000499,1,1,CORRECT
PRD_000164,아크릴코롯토,316x467,SIZ_000499,0,1,CORRECT
PRD_000165,포카코롯토,316x467,SIZ_000499,0,1,CORRECT
PRD_000169,아크릴입체블럭,316x467,SIZ_000499,0,1,CORRECT
PRD_000170,아크릴쉐이커★,316x467,SIZ_000499,0,1,CORRECT
