prd_cd,siz_cd,dflt_plt_yn,output_paper_typ_cd,del_yn
PRD_000016,SIZ_000499,N,OUTPUT_PAPER_TYPE.01,N
PRD_000017,SIZ_000112,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000017,SIZ_000113,Y,NULL,N
PRD_000017,SIZ_000114,Y,NULL,N
PRD_000017,SIZ_000115,Y,NULL,N
PRD_000017,SIZ_000116,Y,NULL,N
PRD_000017,SIZ_000117,Y,NULL,N
PRD_000017,SIZ_000118,Y,NULL,N
PRD_000018,SIZ_000112,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000018,SIZ_000113,Y,NULL,N
PRD_000018,SIZ_000114,Y,NULL,N
PRD_000018,SIZ_000115,Y,NULL,N
PRD_000018,SIZ_000118,Y,NULL,N
PRD_000019,SIZ_000113,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000019,SIZ_000114,Y,NULL,N
PRD_000019,SIZ_000115,Y,NULL,N
PRD_000019,SIZ_000118,Y,NULL,N
PRD_000020,SIZ_000113,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000020,SIZ_000114,Y,NULL,N
PRD_000020,SIZ_000115,Y,NULL,N
PRD_000020,SIZ_000118,Y,NULL,N
PRD_000021,SIZ_000113,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000021,SIZ_000114,Y,NULL,N
PRD_000021,SIZ_000115,Y,NULL,N
PRD_000021,SIZ_000118,Y,NULL,N
PRD_000022,SIZ_000113,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000022,SIZ_000114,Y,NULL,N
PRD_000022,SIZ_000115,Y,NULL,N
PRD_000022,SIZ_000118,Y,NULL,N
PRD_000023,SIZ_000113,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000024,SIZ_000120,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000025,SIZ_000120,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000026,SIZ_000121,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000026,SIZ_000122,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000027,SIZ_000023,Y,NULL,N
PRD_000027,SIZ_000024,Y,NULL,N
PRD_000027,SIZ_000123,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000027,SIZ_000125,Y,NULL,N
PRD_000027,SIZ_000128,Y,NULL,N
PRD_000027,SIZ_000130,Y,NULL,N
PRD_000028,SIZ_000131,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000028,SIZ_000134,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000029,SIZ_000136,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000029,SIZ_000138,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000029,SIZ_000140,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000029,SIZ_000141,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000030,SIZ_000142,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000030,SIZ_000143,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000031,SIZ_000144,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000031,SIZ_000145,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000031,SIZ_000146,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000032,SIZ_000144,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000032,SIZ_000146,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000033,SIZ_000144,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000033,SIZ_000146,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000034,SIZ_000144,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000035,SIZ_000147,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000036,SIZ_000148,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000038,SIZ_000144,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000039,SIZ_000144,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000040,SIZ_000144,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000041,SIZ_000149,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000041,SIZ_000150,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000042,SIZ_000149,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000042,SIZ_000150,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000043,SIZ_000002,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000043,SIZ_000151,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000043,SIZ_000152,Y,NULL,N
PRD_000043,SIZ_000153,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000043,SIZ_000154,Y,NULL,N
PRD_000043,SIZ_000155,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000043,SIZ_000156,Y,NULL,N
PRD_000043,SIZ_000157,Y,NULL,N
PRD_000043,SIZ_000158,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000043,SIZ_000159,Y,NULL,N
