prd_cd,prd_nm,siz_cd,dflt_plt_yn,output_paper_typ_cd,del_yn,note
PRD_000034,펄명함,SIZ_000499,Y,OUTPUT_PAPER_TYPE.01,N,[PLATE] 출력용지규격 316x467(국4절) collapse
PRD_000035,모양명함,SIZ_000499,Y,OUTPUT_PAPER_TYPE.01,N,[PLATE] 출력용지규격 316x467(국4절) collapse
PRD_000036,미니모양명함,SIZ_000499,Y,OUTPUT_PAPER_TYPE.01,N,[PLATE] 출력용지규격 316x467(국4절) collapse
PRD_000038,형압명함,SIZ_000499,Y,OUTPUT_PAPER_TYPE.01,N,[PLATE] 출력용지규격 316x467(국4절) collapse
PRD_000039,투명명함,SIZ_PROPOSE_TUMYEONG,Y,OUTPUT_PAPER_TYPE.01,N,[PLATE] 출력용지규격 315x467(투명 PET) collapse
PRD_000040,화이트인쇄명함,SIZ_000499,Y,OUTPUT_PAPER_TYPE.01,N,[PLATE] 출력용지규격 316x467(국4절) collapse
PRD_000041,스탠다드 쿠폰/상품권,SIZ_000499,Y,OUTPUT_PAPER_TYPE.01,N,[PLATE] 출력용지규격 316x467(국4절) collapse
PRD_000042,프리미엄 쿠폰/상품권,SIZ_000499,Y,OUTPUT_PAPER_TYPE.01,N,[PLATE] 출력용지규격 316x467(국4절) collapse
PRD_000043,인쇄배경지(OPP봉투타입),SIZ_000499,Y,OUTPUT_PAPER_TYPE.01,N,[PLATE] 출력용지규격 316x467(국4절) collapse
PRD_000044,인쇄배경지(투명케이스타입),SIZ_000499,Y,OUTPUT_PAPER_TYPE.01,N,[PLATE] 출력용지규격 316x467(국4절) collapse
PRD_000045,인쇄헤더택,SIZ_000499,Y,OUTPUT_PAPER_TYPE.01,N,[PLATE] 출력용지규격 316x467(국4절) collapse
PRD_000046,라벨/택,SIZ_000499,Y,OUTPUT_PAPER_TYPE.01,N,[PLATE] 출력용지규격 316x467(국4절) collapse
PRD_000047,소량전단지,SIZ_000499,Y,OUTPUT_PAPER_TYPE.01,N,[PLATE] 출력용지규격 316x467(국4절) collapse
PRD_000048,접지리플렛,SIZ_000499,Y,OUTPUT_PAPER_TYPE.01,N,[PLATE] 출력용지규격 316x467(국4절) collapse
PRD_000049,와이드 접지리플렛,SIZ_PROPOSE_3JEOL,Y,OUTPUT_PAPER_TYPE.01,N,[PLATE] 출력용지규격 330x660(3절) collapse
PRD_000108,탁상형캘린더,SIZ_000499,Y,OUTPUT_PAPER_TYPE.01,N,[PLATE] 출력용지규격 316x467(국4절) collapse
PRD_000109,미니탁상형캘린더,SIZ_000499,Y,OUTPUT_PAPER_TYPE.01,N,[PLATE] 출력용지규격 316x467(국4절) collapse
PRD_000110,엽서캘린더,SIZ_000499,Y,OUTPUT_PAPER_TYPE.01,N,[PLATE] 출력용지규격 316x467(국4절) collapse
PRD_000111,벽걸이캘린더,SIZ_000499,Y,OUTPUT_PAPER_TYPE.01,N,[PLATE] 출력용지규격 316x467(국4절) collapse
PRD_000112,와이드벽걸이캘린더,SIZ_PROPOSE_3JEOL,Y,OUTPUT_PAPER_TYPE.01,N,[PLATE] 출력용지규격 330x660(3절) collapse
