prd_cd,prd_nm,siz_cd,dflt_plt_yn,output_paper_typ_cd,del_yn,note
PRD_000017,코팅엽서,SIZ_000499,Y,OUTPUT_PAPER_TYPE.01,N,[PLATE] 출력용지규격 316x467(국4절) collapse
PRD_000018,스탠다드엽서,SIZ_000499,Y,OUTPUT_PAPER_TYPE.01,N,[PLATE] 출력용지규격 316x467(국4절) collapse
PRD_000019,투명엽서,SIZ_PROPOSE_TUMYEONG,Y,OUTPUT_PAPER_TYPE.01,N,[PLATE] 출력용지규격 315x467(투명 PET) collapse
PRD_000020,화이트인쇄엽서,SIZ_000499,Y,OUTPUT_PAPER_TYPE.01,N,[PLATE] 출력용지규격 316x467(국4절) collapse
PRD_000021,핑크별색엽서,SIZ_000499,Y,OUTPUT_PAPER_TYPE.01,N,[PLATE] 출력용지규격 316x467(국4절) collapse
PRD_000022,금은별색엽서,SIZ_000499,Y,OUTPUT_PAPER_TYPE.01,N,[PLATE] 출력용지규격 316x467(국4절) collapse
PRD_000023,모양엽서,SIZ_000499,Y,OUTPUT_PAPER_TYPE.01,N,[PLATE] 출력용지규격 316x467(국4절) collapse
PRD_000024,포토카드,SIZ_000499,Y,OUTPUT_PAPER_TYPE.01,N,[PLATE] 출력용지규격 316x467(국4절) collapse
PRD_000025,투명포토카드,SIZ_PROPOSE_TUMYEONG,Y,OUTPUT_PAPER_TYPE.01,N,[PLATE] 출력용지규격 315x467(투명 PET) collapse
PRD_000026,종이슬로건,SIZ_000499,Y,OUTPUT_PAPER_TYPE.01,N,[PLATE] 출력용지규격 316x467(국4절) collapse
PRD_000027,2단접지카드,SIZ_000499,Y,OUTPUT_PAPER_TYPE.01,N,[PLATE] 출력용지규격 316x467(국4절) collapse
PRD_000028,미니접지카드,SIZ_000499,Y,OUTPUT_PAPER_TYPE.01,N,[PLATE] 출력용지규격 316x467(국4절) collapse
PRD_000029,3단접지카드,SIZ_000499,Y,OUTPUT_PAPER_TYPE.01,N,[PLATE] 출력용지규격 316x467(국4절) collapse
PRD_000030,지그재그엽서,SIZ_PROPOSE_3JEOL,Y,OUTPUT_PAPER_TYPE.01,N,[PLATE] 출력용지규격 330x660(3절) collapse
PRD_000031,프리미엄명함,SIZ_000499,Y,OUTPUT_PAPER_TYPE.01,N,[PLATE] 출력용지규격 316x467(국4절) collapse
PRD_000032,코팅명함,SIZ_000499,Y,OUTPUT_PAPER_TYPE.01,N,[PLATE] 출력용지규격 316x467(국4절) collapse
PRD_000033,스탠다드명함,SIZ_000499,Y,OUTPUT_PAPER_TYPE.01,N,[PLATE] 출력용지규격 316x467(국4절) collapse
