siz_cd,work_dim,in_plate,in_prodsize,in_compprice,disposition
SIZ_000192,238.00x262.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000193,262.00x238.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000194,510.00x387.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000195,313.00x400.00,t,t,f,PRESERVE_other_ref
SIZ_000200,104.00x144.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000201,128.00x190.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000202,94.00x194.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000250,150.00x214.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000251,300.00x214.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000252,213.00x303.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000254,214.00x150.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000256,303.00x213.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000259,611.00x374.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000260,622.00x374.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000261,636.00x374.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000262,218.00x160.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000263,152.00x102.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000264,318.00x110.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000265,288.00x145.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000267,74.00x124.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000270,203.00x203.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000272,460.00x235.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000273,420.00x213.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000275,254.00x254.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000277,556.00x285.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000278,352.00x248.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000279,314.00x224.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000280,472.00x334.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000281,440.00x313.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000282,224.00x149.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000283,134.00x224.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000284,94.00x104.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000285,152.00x64.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000286,149.00x149.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000287,224.00x134.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000288,149.00x304.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000289,214.00x301.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000290,214.00x424.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000291,304.00x424.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000292,304.00x629.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000303,426.00x600.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000305,207.00x207.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000307,207.00x258.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000309,283.00x283.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000311,283.00x334.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000312,290.00x377.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000313,377.00x500.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000337,24.00x24.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000338,34.00x34.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000339,34.00x44.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000340,44.00x44.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000341,44.00x54.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000342,54.00x54.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000343,64.00x64.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000345,74.00x64.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000347,64.00x24.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000349,74.00x29.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000351,84.00x34.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000362,124.00x124.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000363,124.00x184.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000376,150.00x216.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000378,94.00x149.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000381,186.00x261.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000382,216.00x154.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000383,57.00x91.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000385,85.00x140.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000387,105.00x176.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000389,130.00x228.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000390,112.00x112.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000391,110.00x110.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000392,190.00x80.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000393,94.00x193.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000394,110.00x185.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000395,290.00x290.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000397,450.00x450.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000398,280.00x200.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000400,1000.00x700.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000401,320.00x860.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000403,1500.00x1000.00,t,f,t,PRESERVE_other_ref
SIZ_000404,30.00x124.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000405,30.00x215.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000407,65.00x100.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000408,205.00x292.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000409,240.00x182.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000410,715.00x315.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000411,160.00x153.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000412,81.00x105.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000414,416.00x274.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000416,528.00x364.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000417,160.00x230.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000418,230.00x330.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000427,45.00x102.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000428,17.00x320.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000429,56.00x166.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000430,82.00x128.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000431,74.00x119.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000432,196.00x140.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000433,220.00x300.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000434,260.00x340.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000435,220.00x294.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000436,260.00x374.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000437,440.00x160.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000438,520.00x200.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000439,240.00x334.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000440,290.00x334.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000441,323.00x210.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000442,640.00x230.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000443,640.00x250.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000444,444.00x287.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000445,368.00x544.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000446,412.00x594.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000447,260.00x380.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000448,70.00x100.00,t,t,t,PRESERVE_other_ref
SIZ_000449,100.00x40.00,t,t,t,PRESERVE_other_ref
SIZ_000450,180.00x240.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000451,220.00x530.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000452,260.00x630.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000453,444.00x155.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000454,524.00x195.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000455,744.00x285.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000456,220.00x330.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000457,260.00x390.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000458,210.00x520.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000459,250.00x620.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000460,320.00x820.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000461,380.00x454.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000462,130.00x240.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000463,130.00x194.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000464,140.00x254.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000465,120.00x220.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000466,165.00x187.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000467,200.00x187.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000468,220.00x110.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000469,220.00x190.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000470,220.00x194.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000471,220.00x210.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000472,270.00x214.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000473,220.00x234.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000474,240.00x210.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000475,330.00x640.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000476,760.00x440.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000477,280.00x610.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000478,380.00x1010.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000479,390.00x910.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000480,430.00x830.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000481,340.00x800.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000482,260.00x300.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000483,530.00x900.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000484,320.00x300.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000485,400.00x1040.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000486,220.00x580.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000487,220.00x780.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000488,360.00x580.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000489,380.00x880.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000490,380.00x690.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000491,440.00x810.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000493,50.00x30.00,t,f,t,PRESERVE_other_ref
SIZ_000495,60.00x40.00,t,f,t,PRESERVE_other_ref
SIZ_000497,80.00x50.00,t,f,t,PRESERVE_other_ref
SIZ_000500,165.00x115.00,f,t,f,PRESERVE_other_ref
