siz_cd,work_dim,in_plate,in_prodsize,in_compprice,disposition
SIZ_000112,75.00x100.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000114,102.00x152.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000115,137.00x137.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000116,97.00x212.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000117,112.00x172.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000118,150.00x212.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000120,57.00x88.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000121,302.00x102.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000122,402.00x147.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000123,202.00x152.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000125,152.00x202.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000128,224.00x174.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000130,174.00x224.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000131,92.00x104.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000132,50.00x90.00,t,t,t,PRESERVE_other_ref
SIZ_000134,88.00x106.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000136,300.00x152.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000138,152.00x300.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000140,407.00x139.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000141,139.00x407.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000142,604.00x154.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000143,154.00x604.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000144,92.00x52.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000145,92.00x57.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000146,88.00x54.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000149,152.00x72.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000150,152.00x79.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000151,80.00x104.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000152,86.00x110.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000153,80.00x124.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000154,86.00x130.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000155,90.00x124.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000156,96.00x130.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000157,104.00x104.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000158,66.00x184.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000159,72.00x190.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000160,115.00x170.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000161,78.00x78.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000162,78.00x152.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000163,78.00x113.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000164,78.00x222.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000165,84.00x84.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000166,114.00x84.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000167,144.00x84.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000168,164.00x84.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000169,35.00x120.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000171,152.00x214.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000173,216.00x303.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000175,303.00x426.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000177,306.00x446.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000178,214.00x152.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000179,303.00x216.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000180,302.00x216.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000181,426.00x303.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000182,425.00x303.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000184,424.00x303.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000186,635.00x303.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000188,644.00x303.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000190,646.00x303.00,t,f,f,ORPHAN_CANDIDATE_after_correction
SIZ_000191,225.00x193.00,t,f,f,ORPHAN_CANDIDATE_after_correction
