prd_cd,prd_nm,plate_siz_cd,work_size,output_paper_typ_cd,press_sheet,lossless_verdict,reproducible_via_product_size
PRD_000016,프리미엄엽서,SIZ_000499,316x467,OUTPUT_PAPER_TYPE.01,316x467,JEONJI_ROW,
PRD_000017,코팅엽서,SIZ_000112,75x100,OUTPUT_PAPER_TYPE.03,316x467,REPRODUCIBLE,SIZ_000001(73x98)
PRD_000017,코팅엽서,SIZ_000116,97x212,,316x467,REPRODUCIBLE,SIZ_000005(95x210)
PRD_000017,코팅엽서,SIZ_000113,100x100,,316x467,REPRODUCIBLE,SIZ_000002(98x98)
PRD_000017,코팅엽서,SIZ_000114,102x152,,316x467,REPRODUCIBLE,SIZ_000003(100x150)
PRD_000017,코팅엽서,SIZ_000117,112x172,,316x467,REPRODUCIBLE,SIZ_000006(110x170)
PRD_000017,코팅엽서,SIZ_000115,137x137,,316x467,REPRODUCIBLE,SIZ_000004(135x135)
PRD_000017,코팅엽서,SIZ_000118,150x212,,316x467,REPRODUCIBLE,SIZ_000007(148x210)
PRD_000018,스탠다드엽서,SIZ_000112,75x100,OUTPUT_PAPER_TYPE.03,316x467,REPRODUCIBLE,SIZ_000001(73x98)
PRD_000018,스탠다드엽서,SIZ_000113,100x100,,316x467,REPRODUCIBLE,SIZ_000002(98x98)
PRD_000018,스탠다드엽서,SIZ_000114,102x152,,316x467,REPRODUCIBLE,SIZ_000003(100x150)
PRD_000018,스탠다드엽서,SIZ_000115,137x137,,316x467,REPRODUCIBLE,SIZ_000004(135x135)
PRD_000018,스탠다드엽서,SIZ_000118,150x212,,316x467,REPRODUCIBLE,SIZ_000007(148x210)
PRD_000019,투명엽서,SIZ_000113,100x100,OUTPUT_PAPER_TYPE.03,316x467,REPRODUCIBLE,SIZ_000002(98x98)
PRD_000019,투명엽서,SIZ_000114,102x152,,316x467,REPRODUCIBLE,SIZ_000003(100x150)
PRD_000019,투명엽서,SIZ_000115,137x137,,316x467,REPRODUCIBLE,SIZ_000004(135x135)
PRD_000019,투명엽서,SIZ_000118,150x212,,316x467,REPRODUCIBLE,SIZ_000007(148x210)
PRD_000020,화이트인쇄엽서,SIZ_000113,100x100,OUTPUT_PAPER_TYPE.03,316x467,REPRODUCIBLE,SIZ_000002(98x98)
PRD_000020,화이트인쇄엽서,SIZ_000114,102x152,,316x467,REPRODUCIBLE,SIZ_000003(100x150)
PRD_000020,화이트인쇄엽서,SIZ_000115,137x137,,316x467,REPRODUCIBLE,SIZ_000004(135x135)
PRD_000020,화이트인쇄엽서,SIZ_000118,150x212,,316x467,REPRODUCIBLE,SIZ_000007(148x210)
PRD_000021,핑크별색엽서,SIZ_000113,100x100,OUTPUT_PAPER_TYPE.03,316x467,REPRODUCIBLE,SIZ_000002(98x98)
PRD_000021,핑크별색엽서,SIZ_000114,102x152,,316x467,REPRODUCIBLE,SIZ_000003(100x150)
PRD_000021,핑크별색엽서,SIZ_000115,137x137,,316x467,REPRODUCIBLE,SIZ_000004(135x135)
PRD_000021,핑크별색엽서,SIZ_000118,150x212,,316x467,REPRODUCIBLE,SIZ_000007(148x210)
PRD_000022,금은별색엽서,SIZ_000113,100x100,OUTPUT_PAPER_TYPE.03,316x467,REPRODUCIBLE,SIZ_000002(98x98)
PRD_000022,금은별색엽서,SIZ_000114,102x152,,316x467,REPRODUCIBLE,SIZ_000003(100x150)
PRD_000022,금은별색엽서,SIZ_000115,137x137,,316x467,REPRODUCIBLE,SIZ_000004(135x135)
PRD_000022,금은별색엽서,SIZ_000118,150x212,,316x467,REPRODUCIBLE,SIZ_000007(148x210)
PRD_000023,모양엽서,SIZ_000113,100x100,OUTPUT_PAPER_TYPE.03,316x467,NOT_REPRODUCIBLE,
PRD_000024,포토카드,SIZ_000120,57x88,OUTPUT_PAPER_TYPE.03,316x467,REPRODUCIBLE,SIZ_000012(55x86)
PRD_000025,투명포토카드,SIZ_000120,57x88,OUTPUT_PAPER_TYPE.03,316x467,REPRODUCIBLE,SIZ_000012(55x86)
PRD_000026,종이슬로건,SIZ_000121,302x102,OUTPUT_PAPER_TYPE.03,316x467,REPRODUCIBLE,SIZ_000015(300x100)
PRD_000026,종이슬로건,SIZ_000122,402x147,OUTPUT_PAPER_TYPE.03,316x467,REPRODUCIBLE,SIZ_000016(400x145)
PRD_000027,2단접지카드,SIZ_000024,139x274,,316x467,NOT_REPRODUCIBLE,
PRD_000027,2단접지카드,SIZ_000125,152x202,,316x467,NOT_REPRODUCIBLE,
PRD_000027,2단접지카드,SIZ_000130,174x224,,316x467,NOT_REPRODUCIBLE,
PRD_000027,2단접지카드,SIZ_000123,202x152,OUTPUT_PAPER_TYPE.03,316x467,NOT_REPRODUCIBLE,
