comp_cd,apply_ymd,from_siz_cd,to_siz_cd,clr_cd,mat_cd,coat_side_cnt,bdl_qty,min_qty,unit_price,old_comp_price_id
COMP_COAT_GLOSSY,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,"","",2,"",5000,300.00,180
COMP_COAT_GLOSSY,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,"","",2,"",70,1800.00,128
COMP_COAT_GLOSSY,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,"","",2,"",700,480.00,160
COMP_COAT_GLOSSY,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,"","",2,"",900,420.00,164
COMP_COAT_MATTE,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,"","",1,"",1,3000.00,93
COMP_COAT_MATTE,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,"","",1,"",10,1500.00,105
COMP_COAT_MATTE,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,"","",1,"",100,750.00,129
COMP_COAT_MATTE,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,"","",1,"",1000,200.00,165
COMP_COAT_MATTE,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,"","",1,"",1000000,150.00,181
COMP_COAT_MATTE,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,"","",1,"",150,600.00,133
COMP_COAT_MATTE,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,"","",1,"",1500,180.00,169
COMP_COAT_MATTE,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,"","",1,"",2,2500.00,97
COMP_COAT_MATTE,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,"","",1,"",20,1200.00,109
COMP_COAT_MATTE,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,"","",1,"",200,450.00,137
COMP_COAT_MATTE,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,"","",1,"",250,450.00,141
COMP_COAT_MATTE,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,"","",1,"",2500,170.00,173
COMP_COAT_MATTE,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,"","",1,"",30,1200.00,113
COMP_COAT_MATTE,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,"","",1,"",300,380.00,145
COMP_COAT_MATTE,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,"","",1,"",40,1050.00,117
COMP_COAT_MATTE,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,"","",1,"",400,300.00,149
COMP_COAT_MATTE,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,"","",1,"",5,2000.00,101
COMP_COAT_MATTE,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,"","",1,"",50,1050.00,121
COMP_COAT_MATTE,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,"","",1,"",500,270.00,153
COMP_COAT_MATTE,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,"","",1,"",5000,150.00,177
COMP_COAT_MATTE,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,"","",1,"",70,900.00,125
COMP_COAT_MATTE,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,"","",1,"",700,240.00,157
COMP_COAT_MATTE,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,"","",1,"",900,210.00,161
COMP_COAT_MATTE,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,"","",2,"",1,6000.00,94
COMP_COAT_MATTE,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,"","",2,"",10,3000.00,106
COMP_COAT_MATTE,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,"","",2,"",100,1500.00,130
COMP_COAT_MATTE,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,"","",2,"",1000,400.00,166
COMP_COAT_MATTE,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,"","",2,"",1000000,300.00,182
COMP_COAT_MATTE,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,"","",2,"",150,1200.00,134
COMP_COAT_MATTE,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,"","",2,"",1500,360.00,170
COMP_COAT_MATTE,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,"","",2,"",2,5000.00,98
COMP_COAT_MATTE,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,"","",2,"",20,2400.00,110
COMP_COAT_MATTE,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,"","",2,"",200,900.00,138
COMP_COAT_MATTE,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,"","",2,"",250,900.00,142
COMP_COAT_MATTE,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,"","",2,"",2500,340.00,174
COMP_COAT_MATTE,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,"","",2,"",30,2400.00,114
COMP_COAT_MATTE,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,"","",2,"",300,760.00,146
COMP_COAT_MATTE,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,"","",2,"",40,2100.00,118
COMP_COAT_MATTE,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,"","",2,"",400,600.00,150
COMP_COAT_MATTE,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,"","",2,"",5,4000.00,102
COMP_COAT_MATTE,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,"","",2,"",50,2100.00,122
COMP_COAT_MATTE,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,"","",2,"",500,540.00,154
COMP_COAT_MATTE,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,"","",2,"",5000,300.00,178
COMP_COAT_MATTE,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,"","",2,"",70,1800.00,126
COMP_COAT_MATTE,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,"","",2,"",700,480.00,158
COMP_COAT_MATTE,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,"","",2,"",900,420.00,162
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000002,"","","",1,3500.00,927
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000002,"","","",10,500.00,963
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000002,"","","",100,270.00,1015
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000002,"","","",1000,95.00,1067
