prd_cd,상품명,상품군,등급,축,근거
PRD_000279,메쉬 에코백,굿즈파우치,L1,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000278,메쉬 토트백,굿즈파우치,L1,사이즈,축 needed=Y이나 라이브 미적재
PRD_000278,메쉬 토트백,굿즈파우치,L1,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000128,메쉬프린트,실사,L3,공정,축 needed=Y이나 라이브 미적재
PRD_000128,메쉬프린트,실사,L3,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000139,메쉬현수막,실사,L3,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000140,무광시트커팅,실사,L3,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000204,미니CD앨범,굿즈파우치,L1,사이즈,축 needed=Y이나 라이브 미적재
PRD_000204,미니CD앨범,굿즈파우치,L1,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000197,미니매트,굿즈파우치,L1,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000145,미니배너,실사,L3,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000144,미니보드스탠딩,실사,L3,자재,축 needed=Y이나 라이브 미적재
PRD_000144,미니보드스탠딩,실사,L3,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000227,미니우치와키링,굿즈파우치,L1,공정,축 needed=Y이나 라이브 미적재
PRD_000227,미니우치와키링,굿즈파우치,L1,사이즈,축 needed=Y이나 라이브 미적재
PRD_000227,미니우치와키링,굿즈파우치,L1,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000028,미니접지카드,디지털인쇄,L3,공정,축 needed=Y이나 라이브 미적재
PRD_000143,미러아크릴스티커,실사,L3,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000206,반팔티셔츠,굿즈파우치,L1,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000120,방수포스터,실사,L3,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000219,밴드톡,굿즈파우치,L1,자재,축 needed=Y이나 라이브 미적재
PRD_000219,밴드톡,굿즈파우치,L1,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000195,벨벳쿠션,굿즈파우치,L1,사이즈,축 needed=Y이나 라이브 미적재
PRD_000195,벨벳쿠션,굿즈파우치,L1,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000006,볼체인,상품악세사리,L1(기성),사이즈,축 needed=Y이나 라이브 미적재
PRD_000050,봉투제작,디지털인쇄,L2+,사이즈,축 needed=Y이나 라이브 미적재
PRD_000187,블랙사각손거울,굿즈파우치,L1,자재,축 needed=Y이나 라이브 미적재
PRD_000187,블랙사각손거울,굿즈파우치,L1,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000186,사각손거울,굿즈파우치,L1,자재,축 needed=Y이나 라이브 미적재
PRD_000186,사각손거울,굿즈파우치,L1,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000065,스티커팩,스티커,L3,공정,축 needed=Y이나 라이브 미적재
PRD_000208,슬로건,굿즈파우치,L1,사이즈,축 needed=Y이나 라이브 미적재
PRD_000208,슬로건,굿즈파우치,L1,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000154,아크릴 머리끈,아크릴,L4,공정,축 needed=Y이나 라이브 미적재
PRD_000154,아크릴 머리끈,아크릴,L4,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000153,아크릴명찰(골드실버),아크릴,L3,공정,축 needed=Y이나 라이브 미적재
PRD_000226,아크릴쉐이커코롯토,굿즈파우치,L2+,사이즈,축 needed=Y이나 라이브 미적재
PRD_000226,아크릴쉐이커코롯토,굿즈파우치,L2+,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
