comp_cd,apply_ymd,siz_cd,mat_cd,min_qty,unit_price,note,src_col,src_row
STK_KISSCUT_PRINT,2026-09-02,SIZ_000057,MAT_000609,500,4500.00,권위 스티커 r41 c14 · 묶음 유포/비코팅/미색,c14,41
STK_KISSCUT_PRINT,2026-09-02,SIZ_000057,MAT_000609,100000,4500.00,권위 스티커 r42 c14 · 묶음 유포/비코팅/미색,c14,42
STK_KISSCUT_PRINT,2026-09-02,SIZ_000057,MAT_000611,1,6700.00,권위 스티커 r7 c14 · 묶음 유포/비코팅/미색,c14,7
STK_KISSCUT_PRINT,2026-09-02,SIZ_000057,MAT_000611,2,6700.00,권위 스티커 r8 c14 · 묶음 유포/비코팅/미색,c14,8
STK_KISSCUT_PRINT,2026-09-02,SIZ_000057,MAT_000611,3,6500.00,권위 스티커 r9 c14 · 묶음 유포/비코팅/미색,c14,9
STK_KISSCUT_PRINT,2026-09-02,SIZ_000057,MAT_000611,4,6500.00,권위 스티커 r10 c14 · 묶음 유포/비코팅/미색,c14,10
STK_KISSCUT_PRINT,2026-09-02,SIZ_000057,MAT_000611,5,6400.00,권위 스티커 r11 c14 · 묶음 유포/비코팅/미색,c14,11
STK_KISSCUT_PRINT,2026-09-02,SIZ_000057,MAT_000611,6,6300.00,권위 스티커 r12 c14 · 묶음 유포/비코팅/미색,c14,12
STK_KISSCUT_PRINT,2026-09-02,SIZ_000057,MAT_000611,8,6300.00,권위 스티커 r13 c14 · 묶음 유포/비코팅/미색,c14,13
STK_KISSCUT_PRINT,2026-09-02,SIZ_000057,MAT_000611,10,6300.00,권위 스티커 r14 c14 · 묶음 유포/비코팅/미색,c14,14
STK_KISSCUT_PRINT,2026-09-02,SIZ_000057,MAT_000611,15,6200.00,권위 스티커 r15 c14 · 묶음 유포/비코팅/미색,c14,15
STK_KISSCUT_PRINT,2026-09-02,SIZ_000057,MAT_000611,20,6200.00,권위 스티커 r16 c14 · 묶음 유포/비코팅/미색,c14,16
STK_KISSCUT_PRINT,2026-09-02,SIZ_000057,MAT_000611,25,6100.00,권위 스티커 r17 c14 · 묶음 유포/비코팅/미색,c14,17
STK_KISSCUT_PRINT,2026-09-02,SIZ_000057,MAT_000611,30,6100.00,권위 스티커 r18 c14 · 묶음 유포/비코팅/미색,c14,18
STK_KISSCUT_PRINT,2026-09-02,SIZ_000057,MAT_000611,38,6000.00,권위 스티커 r19 c14 · 묶음 유포/비코팅/미색,c14,19
STK_KISSCUT_PRINT,2026-09-02,SIZ_000057,MAT_000611,40,6000.00,권위 스티커 r20 c14 · 묶음 유포/비코팅/미색,c14,20
STK_KISSCUT_PRINT,2026-09-02,SIZ_000057,MAT_000611,50,5900.00,권위 스티커 r21 c14 · 묶음 유포/비코팅/미색,c14,21
STK_KISSCUT_PRINT,2026-09-02,SIZ_000057,MAT_000611,60,5900.00,권위 스티커 r22 c14 · 묶음 유포/비코팅/미색,c14,22
