comp_cd,proc_cd,siz_width,siz_height,min_qty,unit_price,grade,authority_source
COMP_FOIL_SETUP_LARGE,PROC_000038,130,30,,11000,,"price-foil-large-l1.csv B01 동판비[가로130][세로30] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000038,130,50,,15000,,"price-foil-large-l1.csv B01 동판비[가로130][세로50] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000038,130,70,,20000,,"price-foil-large-l1.csv B01 동판비[가로130][세로70] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000038,130,90,,26000,,"price-foil-large-l1.csv B01 동판비[가로130][세로90] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000038,130,110,,32000,,"price-foil-large-l1.csv B01 동판비[가로130][세로110] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000038,130,130,,38000,,"price-foil-large-l1.csv B01 동판비[가로130][세로130] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000038,130,150,,43000,,"price-foil-large-l1.csv B01 동판비[가로130][세로150] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000038,130,170,,49000,,"price-foil-large-l1.csv B01 동판비[가로130][세로170] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000038,150,30,,11000,,"price-foil-large-l1.csv B01 동판비[가로150][세로30] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000038,150,50,,17000,,"price-foil-large-l1.csv B01 동판비[가로150][세로50] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000038,150,70,,23000,,"price-foil-large-l1.csv B01 동판비[가로150][세로70] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000038,150,90,,30000,,"price-foil-large-l1.csv B01 동판비[가로150][세로90] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000038,150,110,,37000,,"price-foil-large-l1.csv B01 동판비[가로150][세로110] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000038,150,130,,43000,,"price-foil-large-l1.csv B01 동판비[가로150][세로130] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000038,150,150,,50000,,"price-foil-large-l1.csv B01 동판비[가로150][세로150] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000038,150,170,,56000,,"price-foil-large-l1.csv B01 동판비[가로150][세로170] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000038,170,30,,12000,,"price-foil-large-l1.csv B01 동판비[가로170][세로30] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000038,170,50,,19000,,"price-foil-large-l1.csv B01 동판비[가로170][세로50] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000038,170,70,,27000,,"price-foil-large-l1.csv B01 동판비[가로170][세로70] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000038,170,90,,34000,,"price-foil-large-l1.csv B01 동판비[가로170][세로90] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000038,170,110,,42000,,"price-foil-large-l1.csv B01 동판비[가로170][세로110] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000038,170,130,,49000,,"price-foil-large-l1.csv B01 동판비[가로170][세로130] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000038,170,150,,56000,,"price-foil-large-l1.csv B01 동판비[가로170][세로150] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000038,170,170,,64000,,"price-foil-large-l1.csv B01 동판비[가로170][세로170] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000039,30,30,,11000,,"price-foil-large-l1.csv B01 동판비[가로30][세로30] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000039,30,50,,11000,,"price-foil-large-l1.csv B01 동판비[가로30][세로50] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000039,30,70,,11000,,"price-foil-large-l1.csv B01 동판비[가로30][세로70] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000039,30,90,,11000,,"price-foil-large-l1.csv B01 동판비[가로30][세로90] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000039,30,110,,11000,,"price-foil-large-l1.csv B01 동판비[가로30][세로110] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000039,30,130,,11000,,"price-foil-large-l1.csv B01 동판비[가로30][세로130] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000039,30,150,,11000,,"price-foil-large-l1.csv B01 동판비[가로30][세로150] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000039,30,170,,12000,,"price-foil-large-l1.csv B01 동판비[가로30][세로170] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000039,50,30,,11000,,"price-foil-large-l1.csv B01 동판비[가로50][세로30] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000039,50,50,,11000,,"price-foil-large-l1.csv B01 동판비[가로50][세로50] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000039,50,70,,11000,,"price-foil-large-l1.csv B01 동판비[가로50][세로70] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000039,50,90,,11000,,"price-foil-large-l1.csv B01 동판비[가로50][세로90] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000039,50,110,,12000,,"price-foil-large-l1.csv B01 동판비[가로50][세로110] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000039,50,130,,15000,,"price-foil-large-l1.csv B01 동판비[가로50][세로130] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000039,50,150,,17000,,"price-foil-large-l1.csv B01 동판비[가로50][세로150] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000039,50,170,,19000,,"price-foil-large-l1.csv B01 동판비[가로50][세로170] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000039,70,30,,11000,,"price-foil-large-l1.csv B01 동판비[가로70][세로30] verbatim"
