sql_file,step,target_row_key,source_authority
05_groups,05,PRD_000016/인쇄 → OPT_000005,L1 인쇄(옵션) + attr-map 패밀리① 도수
06_options,06,PRD_000016/단면 opt_id1,L1 인쇄 + live print_options
06_options,06,PRD_000016/양면 opt_id2,L1 인쇄 + live print_options
05_groups,05,PRD_000016/종이 → OPT_000006,L1 종이(필수) + live materials
06_options,06,PRD_000016/종이 MAT_000074,live materials USAGE.07
06_options,06,PRD_000016/종이 MAT_000082,live materials USAGE.07
06_options,06,PRD_000016/종이 MAT_000092,live materials USAGE.07
06_options,06,PRD_000016/종이 MAT_000101,live materials USAGE.07
06_options,06,PRD_000016/종이 MAT_000109,live materials USAGE.07
06_options,06,PRD_000016/종이 MAT_000113,live materials USAGE.07
06_options,06,PRD_000016/종이 MAT_000114,live materials USAGE.07
06_options,06,PRD_000016/종이 MAT_000115,live materials USAGE.07
06_options,06,PRD_000016/종이 MAT_000116,live materials USAGE.07
06_options,06,PRD_000016/종이 MAT_000117,live materials USAGE.07
06_options,06,PRD_000016/종이 MAT_000118,live materials USAGE.07
06_options,06,PRD_000016/종이 MAT_000120,live materials USAGE.07
06_options,06,PRD_000016/종이 MAT_000121,live materials USAGE.07
06_options,06,PRD_000016/종이 MAT_000123,live materials USAGE.07
06_options,06,PRD_000016/종이 MAT_000124,live materials USAGE.07
06_options,06,PRD_000016/종이 MAT_000125,live materials USAGE.07
06_options,06,PRD_000016/종이 MAT_000126,live materials USAGE.07
06_options,06,PRD_000016/종이 MAT_000127,live materials USAGE.07
06_options,06,PRD_000016/종이 MAT_000128,live materials USAGE.07
06_options,06,PRD_000016/종이 MAT_000129,live materials USAGE.07
06_options,06,PRD_000016/종이 MAT_000130,live materials USAGE.07
05_groups,05,PRD_000016/모서리 → OPT_000007,L1 후가공_모서리 + live 027/028
06_options,06,PRD_000016/모서리 직각,live processes PROC_000027
06_options,06,PRD_000016/모서리 둥근,live processes PROC_000028
05_groups,05,PRD_000016/후가공 → OPT_000008,L1 후가공 다중 + live processes
06_options,06,PRD_000016/후가공 오시,live processes PROC_000029
06_options,06,PRD_000016/후가공 미싱,live processes PROC_000030
06_options,06,PRD_000016/후가공 가변텍스트,live processes PROC_000031
06_options,06,PRD_000016/후가공 가변이미지,live processes PROC_000032
05_groups,05,PRD_000017/인쇄 → OPT_000009,L1 인쇄(옵션) + attr-map 패밀리① 도수
06_options,06,PRD_000017/단면 opt_id1,L1 인쇄 + live print_options
06_options,06,PRD_000017/양면 opt_id2,L1 인쇄 + live print_options
05_groups,05,PRD_000017/종이 → OPT_000010,L1 종이(필수) + live materials
