prd_cd,siz_cd,dflt_yn,disp_seq
PRD_000066,SIZ_000212,Y,1
PRD_000066,SIZ_000213,Y,1
PRD_000066,SIZ_000214,Y,1
PRD_000066,SIZ_000215,Y,1
PRD_000066,SIZ_000216,Y,1
PRD_000066,SIZ_000217,Y,1
PRD_000066,SIZ_000218,Y,1
PRD_000066,SIZ_000219,Y,1
PRD_000066,SIZ_000220,Y,1
PRD_000066,SIZ_000221,Y,1
PRD_000066,SIZ_000222,Y,1
PRD_000066,SIZ_000223,Y,1
PRD_000066,SIZ_000224,Y,1
PRD_000066,SIZ_000226,Y,1
PRD_000066,SIZ_000228,Y,1
PRD_000066,SIZ_000230,Y,1
PRD_000066,SIZ_000232,Y,1
PRD_000066,SIZ_000234,Y,1
PRD_000066,SIZ_000236,Y,1
PRD_000066,SIZ_000238,Y,1
PRD_000066,SIZ_000240,Y,1
PRD_000066,SIZ_000242,Y,1
PRD_000066,SIZ_000244,Y,1
PRD_000066,SIZ_000245,Y,1
PRD_000066,SIZ_000247,Y,1
PRD_000066,SIZ_000249,Y,1
