artifact,output_kind,output_key,source,source_detail
01_siz_register.sql,siz_insert,SIZ_000501,t_prd_product_sizes_066_circle.BLOCKED.csv+code-row-preload.md§2,원형10x10|cut 10.00x10.00|diam 10mm|8EA
01_siz_register.sql,siz_insert,SIZ_000502,t_prd_product_sizes_066_circle.BLOCKED.csv+code-row-preload.md§2,원형15x15|cut 15.00x15.00|diam 15mm|8EA
01_siz_register.sql,siz_insert,SIZ_000503,t_prd_product_sizes_066_circle.BLOCKED.csv+code-row-preload.md§2,원형20x20|cut 20.00x20.00|diam 20mm|6EA
01_siz_register.sql,siz_insert,SIZ_000504,t_prd_product_sizes_066_circle.BLOCKED.csv+code-row-preload.md§2,원형25x25|cut 25.00x25.00|diam 25mm|3EA
01_siz_register.sql,siz_insert,SIZ_000505,t_prd_product_sizes_066_circle.BLOCKED.csv+code-row-preload.md§2,원형30x30|cut 30.00x30.00|diam 30mm|2EA
01_siz_register.sql,siz_insert,SIZ_000506,t_prd_product_sizes_066_circle.BLOCKED.csv+code-row-preload.md§2,원형40x40|cut 40.00x40.00|diam 40mm|2EA
01_siz_register.sql,siz_insert,SIZ_000507,t_prd_product_sizes_066_circle.BLOCKED.csv+code-row-preload.md§2,원형45x45|cut 45.00x45.00|diam 45mm|1EA
01_siz_register.sql,siz_insert,SIZ_000508,t_prd_product_sizes_066_circle.BLOCKED.csv+code-row-preload.md§2,원형50x50|cut 50.00x50.00|diam 50mm|1EA
01_siz_register.sql,siz_insert,SIZ_000509,t_prd_product_sizes_066_circle.BLOCKED.csv+code-row-preload.md§2,원형55x55|cut 55.00x55.00|diam 55mm|1EA
01_siz_register.sql,siz_insert,SIZ_000510,t_prd_product_sizes_066_circle.BLOCKED.csv+code-row-preload.md§2,원형60x60|cut 60.00x60.00|diam 60mm|1EA
02_component_prices.sql,price_insert,comp_price_id=2956,t_prc_component_prices.csv,line:2957|SIZ_PENDING_GP_원형10mm->SIZ_000501|mat:MAT_000084|min_qty:1000
02_component_prices.sql,price_insert,comp_price_id=2957,t_prc_component_prices.csv,line:2958|SIZ_PENDING_GP_원형10mm->SIZ_000501|mat:MAT_000153|min_qty:1000
02_component_prices.sql,price_insert,comp_price_id=2958,t_prc_component_prices.csv,line:2959|SIZ_PENDING_GP_원형15mm->SIZ_000502|mat:MAT_000084|min_qty:1000
02_component_prices.sql,price_insert,comp_price_id=2959,t_prc_component_prices.csv,line:2960|SIZ_PENDING_GP_원형15mm->SIZ_000502|mat:MAT_000153|min_qty:1000
02_component_prices.sql,price_insert,comp_price_id=2960,t_prc_component_prices.csv,line:2961|SIZ_PENDING_GP_원형20mm->SIZ_000503|mat:MAT_000084|min_qty:1000
02_component_prices.sql,price_insert,comp_price_id=2961,t_prc_component_prices.csv,line:2962|SIZ_PENDING_GP_원형20mm->SIZ_000503|mat:MAT_000153|min_qty:1000
02_component_prices.sql,price_insert,comp_price_id=2962,t_prc_component_prices.csv,line:2963|SIZ_PENDING_GP_원형25mm->SIZ_000504|mat:MAT_000084|min_qty:1000
02_component_prices.sql,price_insert,comp_price_id=2963,t_prc_component_prices.csv,line:2964|SIZ_PENDING_GP_원형25mm->SIZ_000504|mat:MAT_000153|min_qty:1000
02_component_prices.sql,price_insert,comp_price_id=2964,t_prc_component_prices.csv,line:2965|SIZ_PENDING_GP_원형30mm->SIZ_000505|mat:MAT_000084|min_qty:1000
02_component_prices.sql,price_insert,comp_price_id=2965,t_prc_component_prices.csv,line:2966|SIZ_PENDING_GP_원형30mm->SIZ_000505|mat:MAT_000153|min_qty:1000
